﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา ทุกสถานที่ที่เจ้าสบายใจล้วนสามารถเป็นบ้านได้
XYSH-2_6_6,{yell}What have you done to Brother Zi Tian?,{yell}แกทำอะไรกับน้องจื่อเทียน?
XYSH-2_6_7,"Brother Zi Tian is doing very well, Leader Huo, there's no need to worry.",พี่จื่อเทียนยังอยู่ดี ขอประมุขฮั่วอย่าเพิ่งเป็นกังวล
XYSH-2_6_8,"I, Huo, need to see Brother Zi Tian safe and sound before I can agree to the request in Sect Leader Fang's letter.",ข้า ฮั่วซื่อเหล่า ต้องการเห็นว่าพี่น้องจื่อเทียนปลอดภัยเสียก่อน จึงจะสามารถตกลงตามคำขอในจดหมายของประมุขฟางได้
XYSH-2_6_9,"Since you don't trust me, then so be it. When you figure out the pros and cons, come find me.",ถ้าเจ้าไม่ไว้ใจข้า ก็แล้วแต่เจ้า เมื่อเจ้าเข้าใจถึงผลประโยชน์และความสัมพันธ์แล้ว ค่อยกลับมาหาข้าอีก
XYSH-2_6_10,"Wait! Go back and tell Fang Xiaoian that I will send someone to deliver the item, and I hope he keeps his word!",เดี๋ยวก่อน! กลับไปบอกฟางเสี่ยวเทียน ว่าข้าจะส่งของไปให้ หวังว่าเขาจะรักษาคำพูด!
XYSH-2_6_11,"Also, if Brother Zi Tian is missing even a single hair, my Cold Skin Gang will never stop fighting with the Divine Flame Sect !",นอกจากนี้ ถ้าพี่จื่อเทียน มีขนแม้แต่เส้นเดียวไม่ครบ พรรคมังสาเหมันต์ กับ นิกายเพลิงศักดิ์สิทธิ์ จะได้ต่อสู้จนตายกันไปข้างหนึ่งแน่!
XYSH-2_6_12,I'll take my leave.,ข้าขอตัวลา
XYSH-2_7_1,"The letter has been delivered, and Huo Shilou has agreed to the sect leader's request.",จดหมายส่งถึงแล้ว และ ฮั่วซื่อเหล่าได้ตอบรับตามคำขอของท่านประมุขแล้ว
XYSH-2_7_2,"Hahaha, Huo Shilou's weakness is his brother under Helper, it's too easy to manipulate. Zi Tian is useless now, let him go, so as not to waste the food of the Divine Flame Sect .",ฮ่าฮ่าฮ่า จุดอ่อนของฮั่วซื่อเหล่า ก็คือพวกพ้องของเขานั่นเอง จัดการได้ง่ายเกินไปแล้ว จื่อเทียนคนนี้เก็บไว้ก็ไม่มีประโยชน์อะไร เปลืองอาหารของนิกายเพลิงศักดิ์สิทธิ์เปล่าๆ ปล่อยเขากลับไปเถอะ
XYLP-1_1_1,"{PlayerSurName} Brother, you finally came, I've been waiting for you!",น้อง{PlayerSurName} เจ้ามาสักที ข้ารอเจ้าอยู่พอดีเลย!
XYLP-1_1_2,"Boss, this is the brother {PlayerSurName} I mentioned to you!\nIf it weren't for his help at the Chang'an Inn, I might have fallen into the hands of the Divine Flame Sect .","ท่านหัวหน้า นี่คือน้อง{PlayerSurName}ที่ข้าเล่าให้ท่านฟังไงล่ะ!\nถ้าไม่ได้เขาช่วยไว้ที่โรงเตี๊ยม ข้าคงไม่รอดพ้นจากเงื้อมมือของนิกายเพลิงศักดิ์สิทธิ์ไปได้แน่"
XYLP-1_1_3,"Brother {PlayerSurName}, this is our Cold Skin Gang's boss, Huo Shilou!",น้อง{PlayerSurName} นี่คือหัวหน้าของพรรคมังสาเหมันต์เรา ฮั่วซื่อเหล่า!
XYLP-1_1_4,Greetings to Boss Huo.,คารวะท่านฮั่ว
XYLP-1_1_5,"Brother {PlayerSurName}, you have helped Brother Coin many times, so we are all brothers, no need to be polite.",น้อง{PlayerSurName} เจ้าได้ช่วยน้องสือเอาไว้ ถือว่าเราต่างเป็นพี่น้องกันไม่จำเป็นต้องสุภาพอันใดนัก
XYLP-1_1_6,"Brother {PlayerSurName}, you must be tired from the journey. You can rest at the inn in the city. Brother {PlayerSurName} is one of us, so the accommodation is free of charge.",น้อง{PlayerSurName} เจ้าคงเหนื่อยจากการเดินทางเป็นแน่ เจ้าสามารถไปเข้าพักที่โรงเตี๊ยมได้เลย ในเมื่อน้อง{PlayerSurName}เป็นพวกเราแล้วก็นับว่าไม่ต้องจ่ายเงินอันใด
XYLP-1_1_7,"Thank you, Boss Huo.",ขอบคุณท่านฮั่วมากจริงๆ
XYLP-1_2_1,Why hasn't Brother Coin returned yet?,ทำไมน้องสือยังไม่กลับมาอีกนะ?
XYLP-1_2_2,Did he encounter any trouble on the way?,หรือว่าเจอปัญหาหรือเปล่า?
XYLP-1_2_3,I shouldn't have let him go alone.,ข้าไม่น่าปล่อยเขาไปคนเดียวเลย
XYLP-1_2_4,Sigh...,เฮ้อ...
M1005-1_1_1,"A Mountain cave is found here, for some reason, there is a heat wave coming, as if there is something extremely hot in the Mountain cave.",ณ ที่แห่งนี้ พบถ้ำลึกลับแห่งหนึ่ง ไม่รู้ว่าเพราะอะไรแต่รู้สึกถึงคลื่นความร้อนที่พวยพุ่งออกมาปะทะใบหน้า ราวกับว่าภายในถ้ำนั้นมีสิ่งที่แผ่ความร้อนรุนแรงยิ่งนักอยู่
R10108-5_1_1,"{PlayerSurName} young hero, can you do me a small favor?",จอมยุทธน้อย{PlayerSurName} รบกวนท่านช่วยอะไรข้าเล็กน้อยได้ไหม?
R10108-5_1_2,There is a letter that I need you to deliver to a woman with the surname Feng in the Divine Flame Sect .,นี่คือจดหมายที่ข้าอยากให้เจ้านำไปส่งให้สตรีแซ่ เฟิง ในนิกายเพลิงศักดิ์สิทธิ์
R10108-5_2_1,"Why do you think I would go to the Divine Flame Sect ? Besides, I don't even know where the Divine Flame Sect  is.",ทำไมเจ้าถึงคิดว่าข้าจะไปนิกายเพลิงศักดิ์สิทธิ์เล่า? อีกอย่างข้าก็ไม่รู้ด้วยซ้ำว่านิกายเพลิงศักดิ์สิทธิ์อยู่ที่ไหน
R10108-5_2_2,"That's not a problem, if you don't know where the Divine Flame Sect  is, I'll tell you.",นั่นไม่ใช่ปัญหา ถ้าเจ้าไม่รู้ ไว้ข้าจะบอกให้เจ้าเองว่านิกายเพลิงศักดิ์สิทธิ์อยู่ที่ใด
R10108-5_3_1,Why do you think I would go to the Divine Flame Sect ?,ทำไมเจ้าถึงคิดว่าข้าจะไปนิกายเพลิงศักดิ์สิทธิ์กันเล่า?
R10108-5_4_1,"Vagabonds coming to the Western Regions will inevitably have Relations with the Divine Flame Sect  sooner or later, whether they are friends or enemies depends on their own fate.",เหล่าจอมยุทธที่เดินทางมายังแดนตะวันตก ไม่ช้าก็เร็วต้องไปข้องเกี่ยวกับนิกายเพลิงศักดิ์สิทธิ์อยู่ดี ไม่ว่าจะเป็นมิตรหรือศัตรูก็ตามขึ้นอยู่กับโชคชะตาของพวกเขา
R10108-5_4_2,"I'll give it a try, but let me make it clear in advance, if I become an enemy with the Divine Flame Sect , I won't deliver the letter willingly.",ข้าจะลองแล้วกัน แต่ข้าบอกไว้ก่อนเลยว่าถ้าข้าดันไปเป็นศัตรูกับนิกายเพลิงศักดิ์สิทธิ์ ข้าคงส่งจดหมายนี้ไม่ได้
R10108-5_4_3,"That's natural, it's just a desperate attempt, if the message can be delivered, that's good, if not, then let it be.",ไม่เป็นไร แค่ลองดูเฉยๆก็พอแล้ว ถ้าส่งได้ก็ดี ไม่ได้ก็ช่างมันไป
R10108-5_5_1,This is a letter from the Innkeeper of Chang'an Inn for you.,นี่คือจดหมายของ เถ้าแก่เนี้ยของโรงเตี๊ยมฉางอัน ที่มอบให้เจ้า
R10108-5_5_2,"Thank you, young hero, for your hard work.",ขอบคุณจอมยุทธน้อย ลำบากท่านแล้ว
R10108-5_5_3,(Take the letter),(รับจดหมาย)
R10108-5_5_4,I see...,อย่างนี้นี่เอง...
R10108-5_5_5,I didn't expect the Xuanwu Envoy to be so shameless...,ข้าไม่คิดว่าทูตเต่าดำจะทำตัวหน้าอับอายเช่นนี้...
R10108-5_5_6,"(She is so engrossed in reading this letter, I better not disturb her for now)",(นางดูพะอืดพะอมหลังจากอ่านจดหมาย ข้าไม่ควรไปกวนนางตอนนี้)
M5061-0_1_1,"Hmm? What's that...\nThere seems to be a wisp of smoke over there. Was there something there before?","หืมม? นั่นอะไร...\nดูเหมือนจะมีควันจางๆ ลอยอยู่ตรงนั้น เกิดเรื่องอะไรขึ้นนะ?"
M5061-0_1_2,"I'm a bit curious, let's go check it out.",น่าสงสัยจริงๆ ลองไปดูหน่อยดีกว่า
M5061-0_2_1,"Huh? Where's the Plum Blossom Village that was here before? I clearly remember it being here, but now it's suddenly gone.",หืม?! ตรงนี้เป็นที่ตั้งหมู่บ้านดอกเหมยใช่ไหมนะ? ข้าจำได้แม่นว่าหมู่บ้านตั้งอยู่ที่นี่ แต่ตอนนี้มันหายไปแล้ว
M5061-0_2_2,"Hmm? Young man, are you looking for something?",หื๊อ? พี่ชาย เจ้ากำลังมองหาบางอย่างอยู่ใช่ไหม?
M5061-0_2_3,"Traveling salesman, the thing is, I clearly remember there being a village here, but now I can't find it no matter what...",พี่ซิงชาง เรื่องมันเป็นแบบนี้ ข้าจำได้ชัดเจนว่ามีหมู่บ้านอยู่ที่นี่ แต่ตอนนี้ข้าหามันไม่เจอแล้ว.....
M5061-0_2_4,"A village? Young man, you must be dreaming. There's no village here.",หมู่บ้าน? พี่ชาย เจ้าคงกำลังฝันอยู่แน่ๆ ที่นี่ไม่มีหมู่บ้าน
M5061-0_2_5,Dreaming? But I clearly remember the Plum Blossom Village being here...,ฝันไปงั้นหรือ? แต่ข้าจำได้แม่นเลยว่าหมู่บ้านดอกเหมยอยู่ตรงนี้นี่...
M5061-0_2_6,Plum Blossom Village? Isn't that...,หมู่บ้านดอกเหมย? นั่นไม่ใช่...
M5061-0_2_7,"Sir, do you know this name?",พี่ชาย ท่านรู้จักชื่อนี้ไหม?
M5061-0_2_8,"Ah no no no.\nHey young man, I advise you to stay in a proper inn next time, don't sleep outdoors anymore.","อ่า ไม่ ไม่ ไม่เลย\nเฮ้ พี่ชาย ข้าแนะนำให้ท่านหาโรงเตี๊ยมดีๆสักที่สำหรับการเข้าพักครั้งต่อไป และอย่านอนในที่โล่งอีก"
M5061-0_2_9,Could it really have been just a dream?,มันจะเป็นเพียงแค่ความฝันจริงๆเหรอ?
M5061-1_1_1,Is this position okay?,ตำแหน่งนี้ดีไหม?
M5061-1_1_2,Let me see... a little higher.,ไหนให้ข้าดูซิ... อืม... สูงขึ้นอีกหน่อย
M5061-1_1_3,Like this?,แบบนี้หรือ?
M5061-1_1_4,"Good, right here!",ดี ตรงนั้นแหละ!
M5061-1_1_5,Heave ho...,ไอ้หยา...
M5061-1_1_6,Crack,กร๊อบ
M5061-1_1_7,"Old Wang, are you okay!",เฒ่าหวัง เป็นอะไรมากไหม!
M5061-1_1_8,"My, my back...",หลัง หลังข้า...
M5061-1_1_9,"This, this is not a joke! You better go rest, I'll figure out the lantern...",นี่ไม่ใช่เรื่องตลกนะ! เจ้ากลับไปพักผ่อนก่อนเถอะ โคมไฟนี้เดี๋ยวข้าหาวิธีจัดการเอง.....
M5061-1_1_10,Did you two encounter something hard?,ท่านทั้งสองมีเรื่องลำบากอันใดหรือขอรับ?
M5061-1_1_11,"You're too kind, as you can see, we're hanging lanterns.",เจ้าช่างมีน้ำใจเสียจริง อย่างที่เห็นน่ะแหละ เรากำลังแขวนโคมไฟอยู่น่ะ
M5061-1_1_12,"Sigh, this old body is no good...",เฮ้อ พอแก่แล้วร่างกายไม่ดีเลย.....
M5061-1_1_13,"Since you're here, if you have time, could you help hang the lanterns?",ไหนๆเจ้าก็มาที่นี่แล้ว หากไม่เป็นการรบกวน เจ้าช่วยแขวนโคมไฟให้หน่อยได้ไหม?
M5061-1_1_14,"No problem, leave it to me.",ไม่ต้องห่วง ปล่อยให้เป็นหน้าที่ข้าเถอะ
M5061-1_2_1,"Under the direction of the Village Head, you efficiently hang all the lanterns in the village.",ภายใต้คำขอของหัวหน้าหมู่บ้าน เจ้ารีบแขวนโคมไฟทั้งหมดในหมู่บ้านทันที
M5061-1_2_2,"Phew... finally, all are hung.",ฟู่ว.....ในที่สุดก็เสร็จเสียที
M5061-1_2_3,"Thank you so much, if it weren't for your help, we really wouldn't know what to do.",ขอบคุณมาก ถ้าไม่ได้รับความช่วยเหลือจากเจ้า พวกเราก็ไม่รู้ว่าจะทำอย่างไรดี
M5061-1_2_4,"I've been wanting to ask since earlier, why are you two hanging the lanterns? Where are the young people in the village?",ข้าอยากถามตั้งแต่เมื่อกี้แล้ว ว่าทำไมท่านทั้งสองต้องมาแขวนโคมไฟด้วยล่ะขอรับ? คนหนุ่มสาวในหมู่บ้านไปไหนกันหมดหรือ?
M5061-1_2_5,"Sigh, the young people have all run away to the city to pursue their dreams, leaving only the old and children in the village.",เฮ้อ คนหนุ่มสาวต่างออกจากหมู่บ้านไปเข้าเมืองเพื่อตามความฝันกันหมดแล้ว ตอนนี้ในหมู่บ้านเหลือเพียงคนแก่แล้วก็เด็กๆเท่านั้นแหละ
M5061-1_2_6,"Isn't it the New Year? The young people should be coming back from the city.\nWe old men just want to decorate the village to welcome the young people home.","ตอนนี้เข้าปีใหม่แล้วไม่ใช่หรือ ถึงเวลาที่คนหนุ่มสาวต้องกลับจากเมืองแล้ว\nคนแก่อย่างพวกเราแค่อยากจะตกแต่งหมู่บ้าน และต้อนรับคนหนุ่มสาวที่กลับบ้านน่ะ"
M5061-1_2_7,So that's how it is...,เป็นเช่นนี้นี่เองสินะ.....
M5061-1_2_8,"Since the young hero is here at this time, it must be fate.\nIf the young hero doesn't mind, stay in the village for the New Year.","ในเมื่อท่านจอมยุทธ์น้อยมาที่นี้ในเวลานี้ คงเป็นโชคชะตานำพามา\nหากท่านจอมยุทธ์น้อยไม่รังเกียจ สามารถพักผ่อนในหมู่บ้าน และร่วมเฉลิมฉลองปีใหม่ไปด้วยกันได้นะ"
M5061-1_2_9,Is... is that okay?,นี่... มันจะดีหรือขอรับ?
M5061-1_2_10,"No relations, the young people haven't come back yet, everyone in the village is preparing for the New Year. The village has been quiet for too long, we also want to be a little lively.",ไม่เป็นไรหรอก ตอนนี้พวกคนหนุ่มสาวยังไม่กลับมา ชาวบ้านในหมู่บ้านกำลังเตรียมตัวสำหรับเทศกาลปีใหม่ หมู่บ้านเงียบสงบมานาน พวกเราก็อยากให้มีความคึกคักสักหน่อย
M5061-1_2_11,"Well then, I'll respectfully comply.",เช่นนั้น ก็เอาตามที่ท่านว่าเถิด
M5061-1_2_12,"Wait until <color=#c44b0e>all the young people are back, and we will hold the New Year's party</color>. Please don't miss it.",เมื่อ<color=#c44b0e>คนหนุ่มสาวทุกคนกลับมา เราจะจัดงานเลี้ยงปีใหม่กัน</color> ท่านอย่าได้พลาดมาร่วมงานเชียวล่ะ
M5061-1_2_13,When will they be able to come back?,พวกเขาจะกลับมากันเมื่อไหร่ล่ะขอรับ?
M5061-1_2_14,"I'm not sure, it could be a few shichen, or a day...",ข้าก็ไม่แน่ใจ อาจจะสักสองสามชั่วยาม หรือไม่ก็อาจจะเป็นวัน.....
M5061-1_2_15,Is there anything I can help with?,เช่นนั้นมีอะไรให้ข้าช่วยเหลืออีกไหมขอรับ?
M5061-1_2_16,"Celebrating the New Year requires a lot of firecrackers, but Liu Lao Si, who makes firecrackers, is not sure what he's thinking, the number of firecrackers he provides is far from enough. If the young hero wants to help, you might start with him.",การฉลองปีใหม่ต้องใช้ประทัดเป็นจำนวนมาก แต่หลิวเหล่าซือ ผู้ทำประทัดไม่แน่ใจว่าเขาคิดอะไรอยู่ และจำนวนประทัดที่เตรียมไว้ยังไม่เพียงพอ หากท่านจอมยุทธ์น้อยต้องการช่วย ท่านควรจะไปช่วยเขาเป็นคนแรก
M5061-1_2_17,"Okay, I'll go check it out.",ได้เลย ข้าจะไปดูสักหน่อย
M5061-2_1_1,Oh... my back...,โอย... หลังข้า...
M5061-2_1_2,"Are you okay, old man?",ท่านลุง อาการของท่านเป็นอย่างไรบ้าง?
M5061-2_1_3,"Ah, I can't deny my age...\nBack in the day, let alone hanging lanterns, even climbing the city gate was nothing, sigh...","อา ข้าคงฝืนสังขารไม่ไหวสินะ.....\nสมัยก่อน อย่าว่าแต่ขึ้นไปแขวนโคมไฟเลย แม้แต่กำแพงเมืองข้าก็ปีนได้สบายมาก เฮ้อ....."
M5061-2_1_4,"Oh, it hurts...\nI can't move at all, it hurts as soon as I move...","โอ๊ย เจ็บจัง...\nขยับตัวแทบไม่ได้เลย ขยับตัวทีไรก็เจ็บ..."
M5061-2_2_1,"Old man, I know a little about medical, let me take a look.",ท่านผู้เฒ่า ข้าพอมีความรู้เรื่องการแพทย์อยู่บ้าง ให้ข้าดูอาการสักหน่อยนะ
M5061-2_2_2,"Okay, you take a look.",ได้เลย เจ้าลองดูสิ
M5061-2_2_3,(Gently touches the old man's waist),(แตะเอวชายชราเบาๆ)
M5061-2_2_4,"Miss Wang You, how is the old man's injury?",แม่นางหวังหยู อาการบาดเจ็บของชายชราเป็นยังไงบ้าง?
M5061-2_2_5,"It's just a strain from overexertion, it didn't hurt the bones.\nJust need to use gold needles and apply some medicine, it can be relieved, but the old man has an old injury, so the needle placement needs to be careful.","เป็นเพียงการใช้แรงไม่เหมาะสมจึงทำให้เกิดการบาดเจ็บเล็กน้อย แต่ไม่ได้ทำให้กระดูกเสียหาย\nเพียงใช้เข็มทองและทายาภายนอก ก็จะช่วยบรรเทาอาการได้ แต่เนื่องจากชายชรามีบาดแผลเก่าอยู่ก่อน จึงต้องใช้ความระมัดระวังเป็นพิเศษในการใช้เข็ม"
M5061-2_2_6,"{PlayerName}, I'll stay here to treat the old man for now, if you want to run away from the village, I'll follow you.",{PlayerName} ข้าจะอยู่ที่นี่ชั่วคราวเพื่อดูแลบาดแผลของชายชรา หากเจ้าต้องการออกจากหมู่บ้าน ข้าจะตามเจ้าไปทันที
M5061-2_2_7,Okay.,ตกลง
M5061-2_3_1,"{PlayerName}, I'm treating the old man, please don't disturb me for now.\nIf you want to run away from the village, I'll follow you.","{PlayerName} ข้ากำลังรักษาอาการบาดเจ็บของชายชรา โปรดอย่ารบกวนข้าในตอนนี้\nหากเจ้าต้องการออกจากหมู่บ้าน ข้าจะตามเจ้าไปทันที"
M5061-2_4_1,"You seem to have twisted it, let me massage it for you?",ดูเหมือนท่านจะมีอาการเคล็ด ให้ข้าช่วยนวดสักหน่อยดีไหม?
M5061-2_4_2,"Okay, be gentle...",เอาสิ แต่เบาๆหน่อยนะท่าน.....
M5061-2_4_3,"Don't worry, although I'm not good at medical, I'm good at massage and bone setting.",ไม่ต้องห่วง แม้ว่าข้าจะไม่ถนัดเรื่องการแพทย์ แต่ข้าก็สามารถนวดและจัดกระดูกได้เป็นอย่างดีเลยล่ะ
M5061-2_4_4,(Gently presses the old man's lower back),(ค่อยๆ กดแผ่นหลังส่วนล่างของผู้เฒ่า)
M5061-2_4_5,"It's indeed a sprain, but you should have an old injury, so I need to be careful when massaging you.",เป็นอาการเอวเคล็ดจริงๆ แต่ท่านน่าจะมีอาการบาดเจ็บเก่าอยู่แล้ว ดังนั้นข้าจะนวดอย่างระมัดระวังนะ
M5061-2_4_6,"{PlayerName}, I need to stay here to heal him for now, but I'll follow you when you run away from the village.",{PlayerName} ข้าจะอยู่ที่นี่เพื่อรักษาท่านผู้เฒ่า หากเจ้าต้องการออกจากหมู่บ้าน ข้าค่อยตามเจ้าไปนะ
M5061-2_5_1,"{PlayerName}, I can't be distracted for now.\nIf you want to run away from the village, I'll follow you.","{PlayerName} ตอนนี้ข้าต้องการสมาธิเพื่อจะไม่ฟุ้งซ่าน\nถ้าหากเจ้าต้องการจะออกจากหมู่บ้าน ข้าจะตามเจ้าไปทันที"
M5061-2_6_1,"I know a little about medical, let me take a look at the old man?",ข้าพอมีทักษะด้านการแพทย์อยู่บ้าง ขอให้ข้าได้ดูอาการหน่อยได้ไหม?
M5061-2_6_2,"Okay, you take a look.",ได้เลย เจ้าลองดูสิ
M5061-2_6_3,"The bone... is fine.\nThe muscles are tense, old man, you should have a strain.","กระดูก.....สบายดี\nกล้ามแน่นนะลุง คงจะเกร็งสินะ"
M5061-2_6_4,"This feeling... old man, do you have an old injury on your waist?",ความรู้สึกนี้.....ท่านลุงมีอาการบาดเจ็บจากแผลเก่าแถวๆเอวหรือเปล่า?
M5061-2_6_5,Yes... I fell off the roof when I was young.,ใช่แล้ว.....ข้าตกหลังคาตอนเด็กๆ
M5061-2_6_6,"Your injury is not serious, old man, but because of the old injury, it will take extra time to treat.",อาการบาดเจ็บของท่านไม่ได้ร้ายแรง มันเป็นเพียงอาการบาดเจ็บแผลเก่า ดังนั้นจะต้องใช้เวลาอีกสักหน่อยในการจัดการกับมัน
M5061-2_6_7,"If you have something to do, young hero, go ahead, don't spend too much time on me.",ท่านจอมยุทธน้อย ถ้ามีอะไรต้องทำก็ไปทำซะก่อน อย่ามาเสียเวลากับข้าอยู่คนเดียวมากเกินไป
M5061-2_6_8,Should I treat the old man's injury?,เจ้าต้องการรักษาอาการบาดเจ็บของชายชราหรือไม่?
M5061-2_7_1,"Then I'll leave it to you, young hero.",งั้นขอฝากท่านจอมยุทธน้อยด้วย
M5061-2_8_1,"You carefully heal the old man's waist.\nTwo shichen later...","เจ้าปฏิบัติต่อเอวของชายชราอย่างระมัดระวัง\nสองชั่วยามต่อมา....."
M5061-2_8_2,"Young hero, your medical skills are not bad, my waist doesn't hurt at all now.",ทักษะทางการแพทย์ของท่านจอมยุทธน้อยนั้นดีมาก ข้าไม่เจ็บเอวเลย
M5061-2_8_3,"I've only temporarily treated you, for the next three months, you must not lift heavy objects or engage in farming.",ข้าแค่จัดการให้ท่านชั่วคราว ในอีกสามเดือนข้างหน้า ท่านจะต้องไม่ยกของหนักหรือทำฟาร์ม
M5061-2_8_4,"I understand, I will definitely be more careful.",เข้าใจแล้ว ข้าจะใส่ใจให้มากขึ้นอย่างแน่นอน
M5061-2_9_1,"It's a pity that I don't know medical skills, otherwise I could heal the old man.",น่าเสียดายที่ข้าไม่มีทักษะทางการแพทย์ ไม่เช่นนั้นข้าคงจะสามารถรักษาชายชราคนนี้ได้
M5061-2_9_2,"It's okay, young hero, don't worry about it, I'll be fine in a few days.",ไม่เป็นไร ท่านจอมยุทธน้อยไม่ต้องกังวล อีกไม่กี่วันข้าก็สบายดีแล้ว
M5061-3_1_1,"Big brother, do you have time now?",พี่ชาย ตอนนี้ท่านว่างหรือเปล่า?
M5061-3_1_2,"Hmm? What's the matter, little friend?",หืม? มีอะไรให้ช่วยงั้นหรือเด็กๆ?
M5061-3_1_3,"We want to build a snowman, but the head of the snowman is too big, we can't lift it.",พวกเราอยากสร้างตุ๊กตาหิมะ แต่หัวของตุ๊กตาหิมะมันใหญ่เหลือเกิน พวกเรายกไม่ไหวน่ะ
M5061-3_1_4,"Big brother, you look very strong, can you help us lift the head of the snowman?",พี่ชาย ท่านดูแข็งแรงมาก ท่านช่วยยกหัวตุ๊กตาหิมะไปวางไว้ด้านบนได้ไหม?
M5061-3_1_5,"What's so difficult about this, it's a piece of cake~",จะไปยากอะไร แค่นี้เรื่องกล้วยๆ~
M5061-3_1_6,A moment later.,สักครู่ต่อมา
M5061-3_1_7,Big brother is really amazing~,พี่ชายสุดยอดจริงๆ~
M5061-3_1_8,"Thank you, big brother~",ขอบคุณพี่ชายมากๆเลย~
M5061-3_1_9,"It's just a small effort, it's nothing.",เรื่องเล็กน้อยน่ะ ไม่เป็นไร
M5061-3_1_10,"With this, the snowman is almost done.",ตอนนี้ตุ๊กตาหิมะเกือบจะเสร็จแล้ว
M5061-3_1_11,"No, no, it still lacks a nose and eyes!",ไม่ ไม่ ยังขาดจมูกแล้วก็ตานะ!
M5061-3_1_12,"Uh, right.",อ๊ะ จริงด้วย
M5061-3_1_13,What are you going to use for the snowman's nose and eyes?,แล้วจะใช้อะไรทำจมูกและตาให้ตุ๊กตาหิมะล่ะ?
M5061-3_1_14,Uh... this...,อื้อ.....นั่นก็......
M5061-3_1_15,"I know! Last year, my dad used coal balls for the eyes and a carrot for the nose when he built a snowman for me!",ข้ารู้! เมื่อปีก่อน ท่านพ่อปั้นตุ๊กตาหิมะให้ข้าโดยใช้ก้อนถ่านเป็นดวงตา และให้แครอททำจมูกล่ะ!
M5061-3_1_16,That's right! And branches for arms!,ใช่แล้ว! และใช้กิ่งไม้ทำเป็นแขน!
M5061-3_1_17,"Carrot, branch and coal balls...",แครอท กิ่งไม้ และก้อนถ่าน.....
M5061-3_1_18,"These are common things, we can find them ourselves~",พวกมันล้วนเป็นของธรรมดา พวกเราจะไปหามันเอง~
M5061-3_2_1,"It looks like fun, can I play with them, big brother?",ดูน่าสนุกจังเลยพี่ใหญ่ ให้ข้าเล่นกับพวกเขาได้มั้ย?
M5061-3_2_2,"Of course, but when it's time to leave, you must follow me obediently.",แน่นอน เจ้าเล่นเต็มที่ไปเลย แต่เจ้าต้องตามข้ามาอย่างเชื่อฟังเมื่อข้าออกจากที่นี่
M5061-3_2_3,Yay! Big brother is the best!,เย้! พี่ใหญ่ดีกับข้าที่สุดเลย!
M5061-3_3_1,"Big brother, building a snowman is so much fun~",พี่ใหญ่ สร้างตุ๊กตาหิมะสนุกจังเลย~
M5061-3_4_1,Is this snow... I want to play too!,หิมะเหรอ... เว่ยเอ๋อก็อยากเล่นเหมือนกัน!
M5061-3_4_2,"Okay, be careful, or the sisters in your workshop won't let me off.",ได้สิ แต่เว่ยเอ๋อต้องระวังตัวเองด้วยนะ ไม่งั้นพี่สาวเจ้าจะไม่ปล่อยข้าแน่ๆ
M5061-3_4_3,"Don't worry, big brother, if you leave the village, I will follow you~",ไม่ต้องกังวลนะพี่ใหญ่ ถ้าพี่จะออกจากหมู่บ้านเมื่อไหร่ เว่ยเอ๋อจะตามท่านไปทันทีเลย~
M5061-3_5_1,"Big brother, do you want to build a snowman with me~",พี่ใหญ่ ท่านอยากปั้นตุ๊กตาหิมะกับเว่ยเอ๋อมั้ย~
M5061-3_6_1,"Big brother, do you want to come and build a snowman?",พี่ชาย มาปั้นตุ๊กตาหิมะด้วยกันมั้ย?
M5061-3_7_1,"Big brother, have you found the body part of the snowman?",พี่ชาย เจอชิ้นส่วนของตุ๊กตาหิมะหรือยัง?
M5061-3_8_1,"Thank you, big brother, we'll go and put it on right away~",ขอบคุณพี่ชาย พวกเราจะเอาไปติดเดี๋ยวนี้~
M5061-3_9_1,It's done~,เสร็จแล้ว
M5061-3_9_2,"Wait, there's still one piece missing~",เดี๋ยวก่อน ยังมีอีกที่หายไป~
M5061-3_9_3,Job well done~,เสร็จแล้ว~
M5061-3_9_4,"Wow, it looks just like me~",ว้าว เหมือนข้าเลย~
M5061-3_9_5,"Thank you, big brother, without your help, we wouldn't have been able to build this snowman~",ขอบคุณพี่ใหญ่ ด้วยความช่วยเหลือของพี่ พวกเราเลยสร้างตุ๊กตาหิมะตัวนี้ได้~
M5061-3_9_6,"Daddy says we should thank those who help us, but we don't have anything to give to big brother.",ท่านพ่อบอกว่าเราควรขอบคุณคนอื่นที่ช่วยเหลือ แต่พวกเราไม่มีอะไรจะมอบให้พี่ใหญ่ของเรา
M5061-3_9_7,"Don't worry about it, your happiness is the best gift for me.",ไม่ต้องกังวล ความสุขของพวกเจ้าคือของขวัญที่ดีที่สุดสำหรับพี่ใหญ่
M5061-4_1_1,"Are you interested in firecrackers, young hero?",จอมยุทธน้อย สนใจประทัดงั้นหรือ?
