﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10020-3_7_4,"...I'm not used to you speaking so normally all of a sudden.\nWhat exactly do you want to do by going southeast this time?"
R10020-3_7_5,"The rich merchant from Persia killed the Troupe Leader and then fled back to Persia. I heard that he returned to Phoenix Woods Harbor these days, so..."
R10020-3_7_6,"From what that guy said, the Troupe Leader should have died of illness?"
R10020-3_7_7,"He did die of illness, but that guy threatened the Troupe Leader by buying up all the medicine in the medical hall, leaving the Troupe Leader without treatment..."
R10020-3_7_8,Buying up all the medicine... this guy is really ruthless.
R10020-3_7_9,"The Troupe Leader believed that the troupe was the result of everyone's hard work, not his alone, so he chose to die unyielding..."
R10020-3_7_10,But after the Troupe Leader died... after he died...
R10020-3_7_11,Feng Xizi? What's wrong with you?
R10020-3_7_12,"\n|(Opera Monologue) My lord? Where is this place? Am I dreaming?"
R10020-3_7_13,"...It seems her madness has returned.\nWell, I'll go ask that rich merchant again."
R10020-3_7_14,"Feng Xizi, come with me."
R10020-3_7_15,As you wish~
R10020-3_8_1,"I knew you would come back, I've been waiting for a long time!"
R10020-3_8_2,"Hmph, don't think I'm easy to deal with!"
R10020-3_8_3,It seems that there's no need to ask you anything.
R10020-3_8_4,"Kill that man and leave the feathered dress, I want him to perform for me!"
R10020-3_8_5,"(In opera tone) You're just a bunch of ants, not worth my attention!\nMy lord, let me clear a path for you!"
R10020-3_9_1,"Please, spare my life..."
R10020-3_9_2,Tell me everything about the Troupe Leader.
R10020-3_9_3,Didn't I tell you before...
R10020-3_9_4,"But you didn't mention that you bought all the medicine from the medical hall, leaving the Troupe Leader without any."
R10020-3_9_5,I just wanted to do a favor and give the medicine to the Troupe Leader...
R10020-3_9_6,"You wanted to take over the troupe, how could the Troupe Leader accept your offer?"
R10020-3_9_7,"So I thought... if I did this, he would have no choice... who knew he would rather die..."
R10020-3_9_8,What happened then?
R10020-3_9_9,Then... the Troupe Leader died of illness...
R10020-3_9_10,I'm asking what you did with the medicine afterwards?
R10020-3_9_11,"Oh, the medicine... the Troupe Leader didn't want it, so I threw it all away."
R10020-3_9_12,Threw it away?
R10020-3_9_13,"You buried the medicine in the mud by the river! By the time I dug them up, they were already moldy and infested!"
R10020-3_9_14,That was the Troupe Leader's... (In opera tone) life-saving medicine!
R10020-3_9_15,……
R10020-3_9_16,"I have another question, how did you know what disease the Troupe Leader had and what medicine to prescribe?"
R10020-3_9_17,The... Doctor told me.
R10020-3_9_18,"How could the Doctor from the medical hall tell you? Even if he did, how could he let you buy all the herbs?"
R10020-3_9_19,"{yell} Ahhh, my arm..."
R10020-3_9_20,"If you lie again, the next thing to break will be your leg."
R10020-3_9_21,"I... I was bewitched, I poisoned the Troupe Leader with Perth's medicine..."
R10020-3_9_22,I knew it.
R10020-3_9_23,"Feng Xizi, he's yours now, do as you please."
R10020-3_9_24,"You turn and leave, leaving Feng Xizi and the Perth Merchant in the room.\nYou close the door, and the screams of the Perth Merchant can be heard from inside.\nA shichen later, the screams stop, and the room is silent."
R10020-3_10_1,...Is it over?
R10020-3_10_2,"My revenge is complete, thank you, my lord. If you ever need me in the future, I will not hesitate to give my life."
R10020-3_10_3,"Good, I look forward to your performance."
R10020-4_1_1,"(In opera tone) My heart belongs to my lord, how could I fall for someone else?"
R10020-4_2_1,(In opera tone) Who is this upstart? Stay away from my consort!
R10020-4_3_1,"(In opera tone) At your command, my lord~"
R10020-4_4_1,"(In opera tone) There are so many talents around my lord, I'm afraid there's no place for me."
TMR-1_1_1,"Ye Pengju, our long-standing rivalry is finally coming to an end."
TMR-1_1_2,"Wanyan Wuzhu, it's too early to declare victory."
TMR-1_1_3,"Uncertain outcome? Ye Pengju, look around, how many people do you have left? If you could join forces with the Chu Xiang army, maybe you would have a chance. But now, with one order from me, your Ye Family Battalion will be crushed!"
TMR-1_1_4,"But I admire your heroism. If you surrender, I can recommend you to the emperor to be a king of a different surname, how about it?"
TMR-1_1_5,The Ye Family Battalion only has brave men who would rather die than surrender!
TMR-1_1_6,"Besides, the outcome is still uncertain!"
TMR-1_1_7,Glory and success are within reach!
TMR-1_1_8,"Wanyan Wuzhu, meet your end!"
TMR-1_1_9,"There are actually ambushes, but Ye Pengju, I, the marshal, also have reinforcements!"
TMR-1_1_10,"Tie Mianren, you're finally here."
TMR-1_1_11,Nine Factions Sect... you really are working with the Yan people...
TMR-1_1_12,"No, Wanyan Wuzhu, I'm afraid I'll have to disappoint you."
TMR-1_1_13,"Tie Mianren, what is this..."
TMR-1_1_14,"Drive out the invaders, rescue Chuxiang City!"
TMR-1_2_1,"Wanyan Wuzhu, you were right about one thing, our long-standing rivalry is indeed coming to an end."
TMR-1_2_2,"Ha, I never thought that I, who have been wise all my life, would end up defeated by a fickle villain like Tie Mianren!"
TMR-1_2_3,"Ye Pengju, you and I are both upright heroes, don't end up defeated by villains like me."
TMR-1_2_4,I will keep that in mind.
TMR-1_2_5,What are you waiting for? Get started!
TMR-1_2_6,"Tie Mianren, your contribution to the defense of Chuxiang City is undeniable. But I, the marshal, want to ask, according to the information I received earlier, it seems that you were working with the Yan Yun Iron Army?"
TMR-1_2_7,"Marshal Ye, as you said, I was indeed working with them before, but after being scolded by these fellow martial artists, I have suddenly enlightened and corrected my mistakes."
TMR-1_2_8,"Good, there's no greater virtue than a prodigal son returning to the right path. With your help, we can expect to reclaim our lost territory soon! It's just a shame that the late emperor won't get to see it..."
TMR-1_2_9,"You have made great contributions to this battle and will soon become a hero in the eyes of the people of Chuxiang City. Prepare to accept the people's praise, I will lead the army back to camp first."
TMR-1_2_10,"Ye Pengju led the army back to the camp without any intention of taking credit, as if they had just done something they were supposed to do.\nYou enter Chuxiang City, and the people of the city welcome you..."
TMR-1_3_1,"I didn't expect that without the old rival, a group of defeated soldiers would be so tenacious."
TMR-1_3_2,"Wanyan Wuzhu! As long as there is one person left in our Ye Family Battalion, we will never let you step into Chuxiang City!"
TMR-1_3_3,"Don't worry, soon there will be no one left in your Ye Family Battalion, and then I, the marshal, will offer the entire Chuxiang City as a sacrifice to your marshal!"
TMR-1_3_4,"Tie Mianren, you're late, I'm about to take Chuxiang City."
TMR-1_3_5,"No, I arrived just in time!"
TMR-1_3_6,"Tie Mianren, what is this..."
TMR-1_3_7,"Drive out the invaders, rescue Chuxiang City!"
TMR-1_4_1,"Ha, I never thought that I, who have been wise all my life, would end up defeated by a fickle villain like you!"
TMR-1_4_2,"No, you were defeated by your own ignorance and arrogance."
TMR-1_4_3,Don't think about attacking Zhao country in your next life.
TMR-1_4_4,"Thank you, Tie Mianren, for your help. This victory is all thanks to you."
TMR-1_4_5,"You, with only a remnant of your forces, dared to resist the Yan Yun Iron Army. This spirit is even more admirable."
TMR-1_4_6,"Not at all, we just wanted to fulfill Marshal Ye's last wish..."
TMR-1_4_7,"After this battle, you should be a great hero in the eyes of the people of Chuxiang City. Please enter the city, we won't stay here for long."
TMR-1_4_8,Aren't you going into the city with us?
TMR-1_4_9,"Marshal Ye is dead, we have gathered forces without authorization, which is a capital crime, how can we enter the city?"
TMR-1_4_10,"...General, please accept my salute."
TMR-1_4_11,I dare not. Farewell.
TMR-1_4_12,Risking a capital crime to protect Chuxiang City... I'm the same.
TMR-1_5_1,"What a great hero!|So majestic!|Truly extraordinary!|Thank you, great hero|Chuxiang City is always protected by great heroes|A real man should be like this|Amazing!|I heard he commands a group of heroes...|He doesn't look very strong though"
TMR-1_5_2,We really owe him a lot this time|Lay down the butcher's knife and become a Buddha on the spot|A prodigal who returns is more precious than gold|Nine Factions Sect has changed|I really didn't expect this.|Being able to correct past mistakes is good.
TMR-1_5_3,What is the meaning of this...
TMR-1_6_1,"Thanks to the heroic efforts of Tie Mianren and his allies, Chuxiang City was spared from destruction this time!"
TMR-1_6_2,"These civilians have come to welcome you, the great hero, of their own accord."
TMR-1_6_3,Great hero... Me?
TMR-1_6_4,"Yes, in my opinion as a General, your actions are no less heroic than his!"
TMR-1_6_5,……
TMR-1_6_6,……
TMR-1_6_7,"(That's right, people from the Nine Factions Sect...)"
TMR-1_6_8,"(Qin Huizhi must already know about my betrayal... Given his style, he's probably already ordered my execution...)"
TMR-1_6_9,...Hero?
TMR-1_6_10,Huh? What did you just say?
TMR-1_6_11,"I have prepared a banquet in your honor, I hope you won't decline."
TMR-1_6_12,"Thank you for your kindness, but I must take my leave now, farewell!"
TMR-1_7_1,"Thanks to the heroic efforts of Tie Mianren and his allies, Chuxiang City was spared from destruction this time!"
TMR-1_7_2,"These civilians have come to welcome you, the great hero, of their own accord."
TMR-1_7_3,Great hero... Me?
TMR-1_7_4,"Yes, in my opinion as a Prefecture, your actions are no less heroic than his!"
TMR-1_7_5,……
TMR-1_7_6,……
TMR-1_7_7,The camera returns to the protagonist.
TMR-1_7_8,"(That's right, people from the Nine Factions Sect...)"
TMR-1_7_9,"(Qin Huizhi must already know about my betrayal... Given his style, he's probably already ordered my execution...)"
TMR-1_7_10,...Hero?
TMR-1_7_11,Huh? What did you just say?
TMR-1_7_12,"The Prefecture has prepared a banquet in your honor, I hope you won't decline."
TMR-1_7_13,"Thank you for your kindness, but I must take my leave now, farewell!"
TMR-1_8_1,"You've committed the greatest crime in the world, but also done the greatest good.\nYet the world only knows of your crime, and only knows of Tie Mianren's good deeds.\nNeither the martial world nor the temples can accommodate you.\nThe Nine Factions Sect can't accommodate Tie Mianren either.\nYou stumble and accidentally return to this dilapidated temple.\nIn the vast martial world, the only place that can accommodate you is this dilapidated temple that can't even block the wind or rain..."
TMR-1_8_2,"Taking advantage of the fact that no one has found you yet, you simply settle down in this dilapidated temple.\nIn the morning, you hunt wild game in the nearby forest, and at night, you roast it to eat, living a rather adventurous life.\nTime passes day by day, you put the matters of the martial world behind you, as if you have no relation to it."
TMR-1_8_3,"You thought you would live out your life like this, until..."
TMR-1_9_1,"So you're here, you've made it hard for me to find you."
TMR-1_9_2,Master?! How come you're here?
TMR-1_9_3,"Don't call me master, you left the sect yourself, don't you remember?"
TMR-1_9_4,I...
TMR-1_9_5,"You caused a big trouble and hid in such a place, making it hard for me to find you."
TMR-1_9_6,"...The righteous martial arts factions know that I killed the emperor, and the Nine Factions Sect says I betrayed them, and issued a kill order against me..."
TMR-1_9_7,"No matter where I go, there are people holding knives wanting my life, I can't even sleep peacefully..."
TMR-1_9_8,"Luckily, this place hasn't been discovered, otherwise I would really have nowhere to go."
TMR-1_9_9,This is what I was most worried about when you joined the Nine Factions Sect.
TMR-1_9_10,"At that time, you were new to the martial world, your heart was not bad but you lacked experience, and you were easily swayed by people with ulterior motives, believing only what you wanted to believe."
TMR-1_9_11,"People like you, even if they are sold, will still help count the money..."
TMR-1_9_12,But the fact that you can pull back from the brink shows that there is hope for you.
TMR-1_10_1,You!? Are you here to kill me?
TMR-1_10_2,Kill you? Why would I want to kill you?
TMR-1_10_3,Isn't it because I killed the old emperor!
TMR-1_10_4,"It seems you know that killing the emperor was wrong, that's good, it seems there is hope for you."
TMR-1_10_5,...You're really not here to kill me?
TMR-1_10_6,"Why is your mind full of fighting and killing, did Qin Huizhi make you stupid?"
TMR-1_10_7,Then what are you here for...
TMR-1_10_8,"I just came to see how the child who once had a brief encounter with me, but took the wrong path due to a moment's thought, is doing now."
TMR-1_10_9,……
TMR-1_10_10,"You probably don't know my name yet. To earn your trust, I'll tell you."
TMR-1_10_11,My name is Yan Gexing. I have quite a deep connection with the Nine Factions Sect.
TMR-1_10_12,Yan Gexing...
TMR-1_10_13,"What do you think? It's a decent name, isn't it? Have you heard of me from Qin Huizhi?"
TMR-1_10_14,No...
TMR-1_11_1,"Since there is hope for you, I am willing to save you.\nThere happens to be a clear path in front of you right now!"
TMR-1_11_2,A clear path?
TMR-1_11_3,Several major events have occurred in the martial arts world while you were in seclusion here.
TMR-1_11_4,"Firstly, Duke Kang and Duke Qi ascended to the throne one after another. Duke Kang established the era name Jianyan, and Duke Qi established the era name Long Xing."
TMR-1_11_5,"The Yan Yun Iron Army has just been annihilated, and these two princes are so eager to ascend to the throne, it must have been premeditated for a long time."
TMR-1_11_6,"Is this the path for me? You're not suggesting that I should assassinate the king again, are you..."
TMR-1_11_7,Who asked you to assassinate the king! Can you forget everything you learned from Qin Huizhi!
TMR-1_11_8,Well...
TMR-1_11_9,The real path for you is this second event.
TMR-1_12_1,"After Duke Kang ascended to the throne, he immediately dismissed Ye Pengju, the commander of the Ye Family Battalion, and imprisoned him in the Supreme Court, accusing him of ""holding troops for personal gain and intending to rebel""."
TMR-1_12_2,"How is that possible, Marshal Ye assisted Chuxiang City, facing the Yan Yun army without fear, how could he be such a person?!"
TMR-1_12_3,"Good, there is still hope for you."
TMR-1_12_4,"Marshal Ye's situation is very dangerous now, if no one intervenes, he may be wrongfully killed in the Supreme Court."
TMR-1_12_5,"And to save Marshal Ye is not something that can be accomplished by one person, those martial arts factions will also fear the power of the court and dare not intervene."
TMR-1_12_6,"At this time, we need someone with high prestige, who can rally the righteous factions with a wave of his arm..."
TMR-1_12_7,"You're right, but where can we find such a person..."
TMR-1_12_8,"Of course there is, and one is right in front of me!"
TMR-1_12_9,You mean...
TMR-1_12_10,"Of course I'm talking about Tie Mianren!\nNow, Tie Mianren's deeds of commanding the righteous martial arts factions to guard Chuxiang City are known to all, this task can only be entrusted to you!"
TMR-1_12_11,"I see, you want me to put on this Tie Mianren's clothes again to rescue Marshal Ye, is this my path?"
TMR-1_13_1,"After Duke Kang ascended to the throne, he immediately arrested all the remaining troops of the Ye Family Battalion and imprisoned them in the Supreme Court, accusing them of ""gathering without permission and intending to rebel""."
TMR-1_13_2,"How is that possible, the remnants of the Ye Family Battalion were there to guard Chuxiang City, how could they be planning a rebellion!"
TMR-1_13_3,"Good, there is still hope for you."
TMR-1_13_4,"But the official handling this case is very determined, these troops are in a very dangerous situation, if no one intervenes, they may be wrongfully killed in the Supreme Court."
TMR-1_13_5,"At this time, we need someone with high prestige, who can rally the righteous factions with a wave of his arm..."
TMR-1_13_6,"You're right, but where can we find such a person..."
TMR-1_13_7,"Of course there is, and one is right in front of me!"
TMR-1_13_8,You mean...
TMR-1_13_9,"Of course I'm talking about Tie Mianren!\nNow, Tie Mianren's deeds of commanding the righteous martial arts factions to guard Chuxiang City are known to all, this task can only be entrusted to you!"
TMR-1_13_10,"I see, you want me to put on this Tie Mianren's clothes again to rescue Marshal Ye's troops, is this my path?"
TMR-1_14_1,This is just the first step on your path! Our ultimate goal is to reorganize the Nine Factions Sect and get the Nine Factions Sect back on track!
TMR-1_14_2,Nine Factions Sect? Do you have relations with the Nine Factions Sect?
TMR-1_14_3,"Hehe, did Qin Huizhi tell you about the founding of the Nine Factions Sect?"
TMR-1_14_4,No.
TMR-1_14_5,"The Nine Factions Sect was originally founded by me and my senior brother. Our initial intention was to protect the downtrodden. But later, the sect became a mix of good and bad, causing trouble everywhere, as if they wanted to stir up chaos in the world..."
TMR-1_14_6,"My senior brother and I had a disagreement about the future direction of the Nine Factions Sect, so I was forced to run away. Later, the Nine Factions Sect became more and more reckless, even disregarding the three major sects, which eventually led to their joint suppression."
TMR-1_14_7,"My senior brother was obsessed with passive skills and had no intention of managing the Nine Factions Sect, so he left everything to his disciple. And it was his disciple who, while expanding the Nine Factions Sect, also led the Nine Factions Sect into an irreparable situation."
TMR-1_14_8,"And his disciple, guess who it is?"
TMR-1_14_9,Could it be Qin Huizhi?
TMR-1_14_10,"That's right, it's this Qin Huizhi! If you obediently become my disciple, you should call yourself uncle in terms of seniority!"
TMR-1_14_11,I didn't expect such a connection...
TMR-1_14_12,"Because of this, I can no longer allow Nine Factions Sect to run rampant. I must clean up Nine Factions Sect and return it to its original intention."
TMR-1_14_13,"But whether it's me or my senior brother, we are all old. Nine Factions Sect needs a younger generation to take charge."
TMR-1_14_14,"After much thought, you are the best candidate. When you and the reborn Nine Factions Sect are praised by others, it will be time for you to remove your mask."
TMR-1_14_15,"I see, but what does this have to do with me going to the Supreme Court?"
TMR-1_14_16,"My senior brother was imprisoned in a secret place by the three religions. Although I found out the location of this place a few days ago, it is heavily guarded by the three religions and I have no chance to approach."
TMR-1_14_17,"But this time you go to the Supreme Court, the focus of the three religions will be on you, and I can take the opportunity to rescue my senior brother."
TMR-1_14_18,"By then, the three of us can reorganize Nine Factions Sect!"
TMR-1_14_19,I see.
TMR-1_14_20,Then let's wish each other success.
TMR-1_14_21,……
TMR-1_14_22,Tie Mianren's clothes...
TMR-1_14_23,I once wanted to destroy this piece of clothing.
TMR-1_14_24,But now it seems that some things can only be done by wearing it.
TMR-1_15_1,"Qin Huizhi, watch closely, what I lost, I will take back with my own hands!"
TMR-1_16_1,Let these guys see how powerful we are!
TMR-1_17_1,"Yan dog, go back to your hometown!"
TMR-1_18_1,Today is the end of your life!
TMR-1_19_1,"How dare you, Yan people, lay hands on Chuxiang City!"
TMR-1_20_1,Today I will avenge my father!
TMR-1_21_1,Let you see how powerful I am!
TMR-1_22_1,Let Monk Me make a big fuss!
TMR-2_1_1,There is no one here...
TMR-2_2_1,"As the guard said, the trial has already started, I should go to the Supreme Court as soon as possible."
TMR-2_3_1,Could it be that the trial has already started? I should go to the Supreme Court as soon as possible!
TMR-2_4_1,"Ye Pengju, now someone is accusing you of intending to rebel, this is solid evidence, what else do you have to say?"
TMR-2_4_2,"This is absolutely absurd, how can such testimony convict me!"
TMR-2_4_3,"Royal decree, once Ye Pengju's treason is confirmed, he will be immediately sent to Fengbo Pavilion for execution..."
TMR-2_4_4,Stop!
TMR-2_4_5,Tie Mianren?!
TMR-2_4_6,"(I didn't expect the person in charge of this case to be Qin Huizhi... No, it's not time to take revenge on him, I have to hold on...)"
TMR-2_4_7,How come you are here?
TMR-2_4_8,"Marshal Ye is a loyal and good man in the world today, but he is treated unfairly. Why can't I come to uphold justice for him?"
TMR-2_4_9,How can you mess around in the court?!
TMR-2_4_10,"Mess around? No, I am a reasonable person. I believe this court is also a place of reason, not a place where bandits roam in the outskirts, right?","พูดอะไรน่ะ? ไม่, ข้าเป็นคนมีเหตุผล และข้าก็เชื่อว่าศาลนี้ก็เป็นที่ที่มีเหตุผลเช่นกัน ไม่ใช่ที่รกร้าง หรือซ่องโจรอย่างที่เจ้าพูดหรอกนะ ใช่ไหม?"
TMR-2_4_11,What do you mean by that? This is contempt for the court!
TMR-2_5_1,I probably know better than Lord Qin about how to deal with contempt for the court.
TMR-2_5_2,So you are a constable from the Crime Investigation Bureau...
TMR-2_5_3,"Oh, isn't this Constable Luo from the Crime Investigation Bureau? What brings you to the Supreme Court without permission?"
TMR-2_5_4,"Luo Tianxiong, on behalf of the Crime Investigation Bureau, is here to help Tie Mianren uphold justice! The Crime Investigation Bureau is here, ready to arrest those who frame the loyal and good people at any time."
TMR-2_5_5,Are you from the Crime Investigation Bureau here to arrest me?
TMR-2_5_6,"Who framed the loyal and good, we have not yet determined. But Lord Qin, in your high position, must know a lot. What you just said will be considered an important clue."
TMR-2_5_7,Hmph!
TMR-2_5_8,"Humph, I really didn't expect that the Crime Investigation Bureau, which originated from the court, would stand on the side of Jianghu today."
TMR-2_5_9,What I didn't expect even more is that the people protected by the Ye Family Battalion are actually standing in the court that is judging the Ye Family Battalion.
TMR-2_5_10,Thank you for the assistance of the Crime Investigation Bureau!
TMR-2_6_1,Amitabha.
TMR-2_6_2,Old monk has seen all the donors.
TMR-2_6_3,Even the Shifa Temple is involved...
TMR-2_6_4,"I have been spiritually connected with Marshal Ye for many years. Now that I hear that Marshal Ye is being tried by the Supreme Court, I respond to Tie Mianren's call to see this friend and also to see the thunderous methods of the masters in the court."
TMR-2_6_5,……
TMR-2_6_6,Thank you for the assistance of Master Hui Yuan!
TMR-2_7_1,Hmph!
TMR-2_7_2,"The plaque in this court reads ""Mirror Hanging High"", but I don't see any mirrors in this court."
TMR-2_7_3,"Tie Mianren, do you know where the mirror is?"
TMR-2_7_4,Please enlighten me.
TMR-2_7_5,"This bright mirror hanging high, in the hearts of the world's people."
TMR-2_7_6,"Now I have to tell you all, this bright mirror... is also kept in my scabbard!"
TMR-2_7_7,"Thank you, Master Zhong Yangzi, for your help!"
TMR-2_8_1,"Tie Mianren is a chivalrous hero, how can we not come to help?"
TMR-2_8_2,Master of Lengxiang Gate has met Tie Mianren!
TMR-2_8_3,Lengxiang Sect? What is this unheard of small sect?
TMR-2_8_4,"Even if Lengxiang Gate is small, we know right from wrong. Besides, if the two adults feel that it is not enough..."
TMR-2_8_5,The whole Xuan Kong Pavilion is also willing to lend a hand to Tie Mianren!
TMR-2_8_6,"We, the Green Snake Gang, naturally have to join in the fun!"
TMR-2_8_7,"Even if the Flying Feather Gang is destroyed today, we have to voice our grievances for Marshal Ye!"
TMR-2_8_8,The sword of Taihua Sect will always swing for the side of justice!
TMR-2_8_9,"Tie Mianren, are you gathering so many Vagabonds to rebel in the court by gathering so many Vagabonds?"
TMR-2_8_10,"I dare not, I just want to fight for justice for Marshal Ye."
TMR-2_8_11,Justice? What a righteous Tie Mianren you are.
TMR-2_8_12,"Enough talk, Qin Huizhi, the whole world is waiting to see the result of this judgment. Justice is in the hearts of the people, I hope your judgment can live up to your own conscience, and also live up to the hearts of the people of the world!"
TMR-2_8_13,Yes!|Hurry up and make the judgment!|We are all watching you!|Do you have a conscience!|Marshal Ye is innocent!
TMR-2_8_14,"After the trial of this court, the case of Ye Family BattalionYe Pengju's rebellion is based on ""unfounded"" evidence. Although the evidence is not true, the suspicion is unforgivable."
TMR-2_8_15,"Considering Marshal Ye's many years of campaigning and meritorious service, I order Ye Pengju to be demoted to a civilian, released from his shackles, and sent back to the people with the suspicion of a crime. When the evidence is fully established, he will be recalled for retrial!"
TMR-2_8_16,"Tie Mianren, are you satisfied with this trial?"
TMR-2_8_17,"As expected of Lord Qin, you make sense. If the evidence is not true, what crime is there? It's only right to retry when your evidence is fully established."
TMR-2_8_18,Marshal Ye has suffered.
TMR-2_9_1,"You, the remnants of the Ye Family Battalion, have gathered the remnants without authorization, intending to rebel, the evidence is conclusive, do you have anything to say?"
TMR-2_9_2,"I, the Guardian of the Homeland, what crime have I committed!"
TMR-2_9_3,"Royal decree, once the rebellion of the remnants of the Ye Family Battalion is confirmed, all members will be immediately taken to Fengbo Pavilion for execution..."
TMR-2_9_4,Stop!
TMR-2_9_5,Tie Mianren?!
TMR-2_9_6,"(I didn't expect the person in charge of this case to be Qin Huizhi... No, it's not time to take revenge on him, I have to hold on...)"
TMR-2_9_7,How come you are here?
TMR-2_9_8,"Marshal Ye is a loyal and good man in the world today. Although he is dead, his troops still respect his will, the Guardian of the Homeland. If they are treated unfairly, why can't I come to fight for justice for them?"
TMR-2_9_9,How can you mess around in the court?!
TMR-2_9_10,"Mess around? No, I am a reasonable person. I believe this court is also a place of reason, not a place where bandits roam in the outskirts, right?","พูดอะไรน่ะ? ไม่, ข้าเป็นคนมีเหตุผล และข้าก็เชื่อว่าศาลนี้ก็เป็นที่ที่มีเหตุผลเช่นกัน ไม่ใช่ที่รกร้าง หรือซ่องโจรอย่างที่เจ้าพูดหรอกนะ ใช่ไหม?"
TMR-2_9_11,What do you mean by that? This is contempt for the court!
TMR-2_10_1,So you are a constable from the Crime Investigation Bureau...
TMR-2_10_2,"Oh, isn't this Constable Luo from the Crime Investigation Bureau? What brings you to the Supreme Court without permission?"
TMR-2_10_3,"Luo Tianxiong, on behalf of the Crime Investigation Bureau, is here to help Tie Mianren uphold justice! The Crime Investigation Bureau is here, ready to arrest those who frame the loyal and good people at any time."
TMR-2_10_4,Are you from the Crime Investigation Bureau here to arrest me?
TMR-2_10_5,"Who framed the loyal and good, we have not yet determined. But Lord Qin, in your high position, must know a lot. What you just said will be considered an important clue."
TMR-2_10_6,Hmph!
TMR-2_10_7,"Humph, I really didn't expect that the Crime Investigation Bureau, which originated from the court, would stand on the side of Jianghu today."
TMR-2_10_8,What I didn't expect even more is that the people protected by the Ye Family Battalion are actually standing in the court that is judging the Ye Family Battalion.
TMR-2_10_9,Thank you for the assistance of the Crime Investigation Bureau!
TMR-2_11_1,Old monk has seen all the donors.
TMR-2_11_2,Even the Shifa Temple is involved...
TMR-2_11_3,"The old monk has been spiritually connected with Marshal Ye for many years, and his death has made me sigh. Now that the remnants of the Ye family are being tried by the Supreme Court, I responded to Tie Mianren's call to see the thunderous methods of the masters in the hall."
TMR-2_11_4,……
TMR-2_11_5,Thank you for the assistance of Master Hui Yuan!
TMR-2_12_1,Hmph!
TMR-2_12_2,"The plaque in this court reads ""Mirror Hanging High"", but I don't see any mirrors in this court."
TMR-2_12_3,"Tie Mianren, do you know where the mirror is?"
TMR-2_12_4,Please enlighten me.
TMR-2_12_5,"This bright mirror hanging high, in the hearts of the world's people."
TMR-2_12_6,"Now I have to tell you all, this bright mirror... is also kept in my scabbard!"
TMR-2_12_7,"Thank you, Master Zhong Yangzi, for your help!"
TMR-2_13_1,"Tie Mianren is a chivalrous hero, how can we not come to help?"
TMR-2_13_2,Master of Lengxiang Gate has met Tie Mianren!
TMR-2_13_3,Lengxiang Sect? What is this unheard of small sect?
TMR-2_13_4,"Even if Lengxiang Gate is small, we know right from wrong. Besides, if the two adults feel that it is not enough..."
TMR-2_13_5,The whole Xuan Kong Pavilion is also willing to lend a hand to Tie Mianren!
TMR-2_13_6,"We, the Green Snake Gang, naturally have to join in the fun!"
TMR-2_13_7,"Even if the Flying Feather Gang is destroyed today, we must fight for justice for the Ye Family Battalion!"
TMR-2_13_8,The sword of Taihua Sect will always swing for the side of justice!
TMR-2_13_9,"Tie Mianren, are you gathering so many Vagabonds to rebel in the court by gathering so many Vagabonds?"
TMR-2_13_10,"I dare not, I just want to fight for justice for the Ye Family Battalion."
TMR-2_13_11,Justice? What a righteous Tie Mianren you are.
TMR-2_13_12,"Enough talk, Qin Huizhi, the whole world is waiting to see the result of this judgment. Justice is in the hearts of the people, I hope your judgment can live up to your own conscience, and also live up to the hearts of the people of the world!"
TMR-2_13_13,Yes!|Hurry up and make the judgment!|We are all watching you!|Do you have a conscience!|Marshal Ye is innocent!
TMR-2_13_14,"After the trial of this court, the evidence of the rebellion of the remnants of the Ye Family Battalion is ""unfounded"", although the evidence is not true, the suspicion is unforgivable."
TMR-2_13_15,"The official, considering the many years of fighting and high merits of the Ye Family Battalion, orders all the remnants to be demoted to civilians, released from bondage, and sent back to the people with the suspicion of crime, waiting for the evidence to be detailed, and then recalled for retrial!"
TMR-2_13_16,"Tie Mianren, are you satisfied with this trial?"
TMR-2_13_17,"As expected of Lord Qin, you make sense. If the evidence is not true, what crime is there? It's only right to retry when your evidence is fully established."
TMR-2_13_18,General has suffered.
TMR-2_14_1,"Wait, is this Supreme Court a place where you can come and go as you please?"
TMR-2_14_2,"Qin Huizhi, do you have anything else to say?"
TMR-2_14_3,"Heh, of course! Heroes of the rivers and lakes, do you know who this Tie Mianren really is?"
TMR-2_14_4,...Is it important who I am?
TMR-2_14_5,"Tie Mianren, you can get so many righteous people in the rivers and lakes to stand up for you with a wave of your arm, such a reputation can be compared to the Jianghu Master."
TMR-2_14_6,"But if everyone in the world knows that these righteous sects are following a person who dares not show his true face, what would the world think?"
TMR-2_14_7,This...|If it's really like this...|Why don't we see for ourselves?|Could it really be...
TMR-2_14_8,"(The heads of these small sects are already wavering. If they know that I am {PlayerName} who killed the former emperor, the situation here might really reverse...)"
TMR-2_14_9,"What's wrong, Tie Mianren? Don't you dare to take off your mask?"
TMR-2_14_10,"(I can't take off the mask at this time, but I can't ignore this request... What should I do...)"
TMR-2_14_11,What are you waiting for? Can't your true face be shown? Are you actually a great villain who is utterly wicked?
TMR-2_14_12,(Damn Qin Huizhi...)
TMR-2_14_13,"Haha, this scene, it's really like that year!"
