﻿M5003-4_1_1_1,I didn't expect there to be a Tea Stall here... ,ข้าไม่คิดว่าจะมีร้านชาอยู่ที่นี่...
JLM-4_6_5,"Master, there's some reason for this... Anyway, I'm disguised as this now, in the eyes of others, I am the Nine Factions Sect Master.",ท่านอาจารย์ปู่ เรื่องนี้มีที่มา… กล่าวโดยสรุปก็คือตอนนี้ข้าปลอมตัวเป็นเขา ในสายตาของคนอื่น ข้าก็คือประมุขนิกายเก้าฝ่าย
JLM-4_6_6,"Tsk, you kids are really making things complicated.",เฮอะ… เด็กพวกนี้นี่ช่างทำเรื่องยุ่งยากเสียจริง
JLM-4_6_7,"Forget it, I haven't moved my muscles for a long time, it's just right to try them on these Yan dogs! Good disciple, you should also move faster, so that I don't have to kill all those Yan dogs by myself!",เอาเถอะ ช่างมันเถิด! ข้าไม่ได้ออกแรงมานานแล้ว พวกสุนัขเยี่ยนเหล่านั้นก็ถือเป็นเป้าซ้อมมือที่ดี! ศิษย์หลานที่ดีของข้า รีบขยับตัวหน่อยเถอะ มิฉะนั้นข้าคงฆ่าพวกมันหมดเสียก่อนที่เจ้าจะได้ลงมือ!
JLM-4_6_8,Master is indeed extraordinary... ,ท่านอาจารย์ปู่ของข้าช่างไร้เทียมทานจริงๆ…
JLM-4_6_9,But why is Qin Huizhi playing both sides? It seems that I have to ask him about this after this matter.,แต่เหตุใดฉินฮุ่ยจือจึงเล่นเกมสองหน้า? หลังจบเรื่องนี้ ข้าคงต้องไปถามเขาให้รู้เรื่อง…
JLM-4_7_1,"{PlayerName}, why are you alone? Where is your master?",{PlayerName}! เหตุใดจึงมีแค่เจ้า? อาจารย์ปู่ของเจ้าล่ะ?
JLM-4_7_1_1,"Master, my master... he was Obsessed, his MP exploded and he died... \nI was incompetent and couldn't stop him... ","อาจารย์… อาจารย์ปู่… เขาธาตุไฟเข้าแทรก พลังภายในระเบิดจนตัวแตกสิ้นชีพไปแล้ว…\nเป็นความผิดของข้าเอง… ข้าไม่สามารถหยุดเขาได้…"
JLM-4_7_2_1,"Master, my master... he was out of his mind and attacked me, I had to... I had to... ",อาจารย์… อาจารย์ปู่… เขาคลุ้มคลั่งและลงมือกับข้า ข้าจึง… จึงต้องป้องกันตัว…
JLM-4_8_1,You useless thing! Don't you even know what you're here for?!,เจ้าโง่! เจ้ารู้หรือไม่ว่าไปทำภารกิจนี้เพื่ออะไร?!
JLM-4_8_2,I know I was wrong... ,ศิษย์ผิดไปแล้ว…
JLM-4_8_3,Did he tell you where the supreme Manual of the three religions he stole before is?,แล้วเขาได้บอกเจ้าหรือไม่ว่า คัมภีร์ลับของสามสำนักใหญ่ที่เขาขโมยมาอยู่ที่ไหน?
JLM-4_8_4,"No, the master did not reveal... ",ไม่ได้… ท่านอาจารย์ปู่มิได้กล่าวถึงเลย…
JLM-4_8_5,"You didn't save the person, and you didn't find out where the Manual is! You--",คนก็ช่วยไม่ได้ คัมภีร์ก็ไม่รู้ว่าอยู่ไหน! เจ้า—
JLM-4_8_6,"If it weren't for the urgency of the situation, I would have executed you on the spot!",หากไม่ใช่เพราะสถานการณ์เร่งด่วน ข้าคงลงมือสังหารเจ้าตรงนี้แล้ว!
JLM-4_8_7,Urgent situation?,สถานการณ์เร่งด่วน?
JLM-4_8_8,"Those ungrateful Yan people are attacking Lin'an City. As the sect leader, I order you to go and rescue Lin'an City immediately. To prevent further complications, Wanyan Wuzhu and others must not be spared!",พวกสุนัขเยี่ยนโง่เง่ากำลังล้อมโจมตีเมืองหลินอัน! ข้าสั่งให้เจ้ารีบไปช่วยเมืองหลินอันโดยเร็ว! เพื่อป้องกันปัญหาภายหลัง หวันเหยียนอู๋จูและพวกของมันต้องถูกกำจัดให้สิ้นซาก!
JLM-4_8_9,But aren't we cooperating with the Yan Yun Iron Army... ,แต่… พวกเราไม่ได้ร่วมมือกับกองทัพเหล็กเยี่ยนหยุนหรอกหรือ?
JLM-4_8_10,"... You don't need to know so much, just know that Duke Kang has been kind to us.",…เจ้าไม่จำเป็นต้องรู้มาก สิ่งที่เจ้าต้องรู้เพียงอย่างเดียวคือ ท่านอ๋องคังมีบุญคุณกับเรา!
JLM-4_9_1,Duke Kang? But didn't Duke Kang already die... ,อ๋องคัง? แต่…อ๋องคังมิใช่ว่าสิ้นพระชนม์ไปแล้วหรือ...
JLM-4_9_2,Do you want the Sect Master to settle this account with you in detail?,เจ้าต้องให้ข้าคิดบัญชีกับเจ้าตรงนี้เลยหรือ?
JLM-4_9_1_1,"In short, you go quickly, if there is any mistake, I will definitely take your head!",สรุปแล้ว เจ้าจงรีบไปเดี๋ยวนี้! หากยังมีข้อผิดพลาดอีกเพียงครั้งเดียว ข้าจะตัดหัวเจ้าเป็นการชดใช้!
JLM-4_9_1_2,I understand... ,ศิษย์ทราบแล้ว...
JLM-4_10_1,"(The Yan Yun Iron Army is besieging Lin'an City, should I go out of the city to meet the enemy now?)",(กองทัพเหล็กเยี่ยนหยุนกำลังล้อมโจมตีเมืองหลินอัน พวกเราควรออกไปเผชิญหน้าศัตรูตอนนี้หรือไม่?)
JLM-4_option1_1,Go out of the city to meet the enemy. <color=#c44b0e>(Start the battle directly)</color>,ออกไปเผชิญหน้าศัตรู! <color=#c44b0e>(เริ่มการต่อสู้ทันที)</color>
JLM-4_option1_2,Prepare again.,เตรียมตัวให้พร้อมก่อน
JLM-4-1_1_1_1,"Duke Kang, look at the people around you, your situation is hopeless, Lin'an City is about to fall, do you still want to resist to the end?",อ๋องคัง! มองดูคนรอบตัวท่านเถิด บัดนี้อำนาจของท่านหมดสิ้นแล้ว เมืองหลินอันก็ใกล้จะแตกในไม่ช้า ท่านยังคิดจะดิ้นรนอย่างไร้ความหมายอยู่อีกหรือ?
JLM-4-1_1_1_2,"If you surrender, I can still let you be a peaceful prince.",หากท่านยอมทิ้งเมืองและสวามิภักดิ์ ข้ายังสามารถให้ท่านเป็นอ๋องสุขสำราญได้
JLM-4-1_1_1_3,"Wanyan Wuzhu, don't even think about making me a slave of a defeated country!",หวันเหยียนอู๋จู! อย่าคิดว่าข้าจะยอมเป็นเชลยขายชาติที่ไร้เกียรติ!
JLM-4-1_1_1_4,"Today, I swear to live and die with Lin'an City!",วันนี้ข้าจะอยู่หรือตายไปพร้อมกับเมืองหลินอัน!
JLM-4-1_1_1_5,"Hmph, then I will satisfy you!",หึ! เช่นนั้นข้าจะสนองเจ้าให้เอง!
JLM-4-1_1_1_6,"All armies, the first to ascend will be rewarded with a thousand households, and the one who takes Duke Kang's head will be rewarded with ten thousand households!",กองทัพทั้งหลาย! ใครบุกเข้าไปได้ก่อน รับตำแหน่งขุนพลพันครัว! ใครเอาหัวของอ๋องคังมาให้ข้าได้ รับตำแหน่งขุนพลหมื่นครัว!
JLM-4-1_1_1_7,{yell} Flatten Lin'an City!,{yell} ถล่มเมืองหลินอันให้ราบเป็นหน้ากลอง!
JLM-4-1_1_2_1,"Your situation is hopeless, Lin'an City is about to fall, do you still want to resist to the end?",เจ้าสูญเสียทุกอย่างแล้ว เมืองหลินอันก็ใกล้จะแตกเต็มที เจ้ายังจะดื้อรั้นฝืนสู้ต่อไปอีกหรือ?
JLM-4-1_1_2_2,"We Zhao have only generals who die, not generals who surrender!",ในแผ่นดินจ้าว มีแต่แม่ทัพที่ตายจากการศึก! ไม่มีแม่ทัพที่ยอมจำนน!
JLM-4-1_1_2_3,"With your courage and talent, if you surrender, I can promise you high positions and great wealth.",ด้วยความกล้าหาญและสติปัญญาของเจ้า หากยอมสวามิภักดิ์ ข้าจะให้เจ้าได้ตำแหน่งสูงศักดิ์ มียศถาบรรดาศักดิ์
JLM-4-1_1_2_4,"Dream on! Today, I will live and die with Lin'an City!",ฝันไปเถอะ! วันนี้ข้าจะอยู่หรือตายไปพร้อมกับเมืองหลินอัน!
JLM-4-1_1_2_5,"Alas, what a pity... ",เฮ้อ… น่าเสียดายจริงๆ…
JLM-4-1_1_2_6,"All armies, the first to ascend will be rewarded with a thousand households, and the one who takes Duke Kang's head will be rewarded with ten thousand households!",กองทัพทั้งหลาย! ใครบุกเข้าไปได้ก่อน รับตำแหน่งขุนพลพันครัว! ใครเอาหัวของอ๋องคังมาให้ข้าได้ รับตำแหน่งขุนพลหมื่นครัว!
JLM-4-1_1_2_7,{yell} Flatten Lin'an City!,{yell} ถล่มเมืองหลินอันให้ราบเป็นหน้ากลอง!
JLM-4-1_2_1_1,"Haha, it's so refreshing to smash the heads of the Yan dogs!",ฮ่าๆ! ได้ทุบหัวสุนัขเยี่ยนแล้วมันช่างสะใจจริงๆ!
JLM-4-1_2_2_1,Chu Kuangsheng! What are you doing here?,ฉู่กวงเฉิง! เจ้ามาอยู่ที่นี่ได้อย่างไร?!
JLM-4-1_2_2_2,"Yo, isn't this the young man surnamed Zhang? I was bored down there, so I came up for some air.",โอ๊ะ นี่ไม่ใช่เจ้าเด็กนามสกุลจางหรอกหรือ? ข้าเบื่อจะอยู่ข้างล่างเลยขึ้นมาสูดอากาศสักหน่อย
JLM-4-1_2_3_1,... I didn't expect you to really be released.,…ไม่อยากเชื่อว่าเจ้าจะถูกปล่อยตัวออกมาแล้ว
JLM-4-1_2_3_2,"You little monk of wine and meat, we haven't had enough to drink yet!",เฮอะ! เจ้าหลวงจีนทุศีล เจ้ากับข้ายังดื่มสุรากันไม่หนำใจเลยนะ!
JLM-4-1_2_4_1,"Oh, this is really bad now... ",โอ้ แย่แล้วจริงๆ คราวนี้…
JLM-4-1_2_5_1,"Wanyan boy, do you still remember me?",เจ้าหนูหวังเหยียน ยังจำข้าได้หรือไม่?
JLM-4-1_2_5_2,"How could I forget? Back then under Chuxiang City, you charged into my camp alone on a horse, killed dozens of generals with your bare hands, and then retreated unscathed.",ข้าจะลืมเจ้าไปได้อย่างไร? ปีนั้น ณ เมืองฉู่เซียง เจ้าบุกค่ายทัพข้าตามลำพัง สังหารแม่ทัพข้าหลายสิบคนด้วยมือเปล่า แล้วยังลอยนวลถอยกลับไปได้
JLM-4-1_2_5_3,"Heh, you were lucky that time, I couldn't find you, otherwise you wouldn't have lived till today.",หึ คราวนั้นเจ้าโชคดีที่ข้าหาเจ้าไม่พบ มิฉะนั้น เจ้าคงไม่มีโอกาสยืนอยู่ตรงนี้แล้ว!
JLM-4-1_2_5_4,"Times have changed, now the Yan Yun Iron Army is strong and robust, and you have become an old man.",หึ! แต่เวลานี้ต่างออกไปแล้ว! กองทัพเหล็กเยี่ยนหยุนแข็งแกร่งเกรียงไกร ส่วนเจ้า ก็เป็นแค่ตาแก่คนหนึ่งเท่านั้น!
JLM-4-1_2_5_5,"Hmph, even if I'm twenty years older, I still wouldn't take you bunch of chickens and dogs seriously!",หึ! ต่อให้ข้าแก่ไปกว่านี้อีกยี่สิบปี ข้าก็ยังไม่เห็นเจ้าพวกลูกเจี๊ยบลูกหมาพวกนี้อยู่ในสายตาหรอก!
JLM-4-1_2_5_6,"You little brat, you're really slow.",เจ้าเด็กนี่ช่างอืดอาดเสียจริง
JLM-4-1_2_5_7,"It's you, senior, who are too fast.",เป็นเพราะท่านอาวุโสเร็วเกินไปต่างหาก
JLM-4-1_3_1_1,"Tie Mianren, you finally arrived!",บุรุษหน้ากากเหล็ก! เจ้าก็มาถึงแล้วรึ!
JLM-4-1_3_1_2,"Your Highness, leave this place to us, please take shelter for now.",ท่านอ๋อง! ที่นี่ปล่อยให้เป็นหน้าที่พวกเราเถิด เชิญท่านอ๋องถอยไปก่อน
JLM-4-1_3_2_1,Who... who are you?,เจ้า… เจ้าเป็นใครกันแน่?!
JLM-4-1_3_2_2,"I'm here to help you, you guys are injured and tired, go back to the city and rest.",ผู้ที่จะมาช่วยพวกเจ้า! บัดนี้พวกเจ้าบาดเจ็บกันทั่ว ไปพักผ่อนในเมืองเสียเถิด
JLM-4-1_3_3_1,Helping out? This really confuses me... ,มาช่วยรึ? นี่มัน... ข้าชักงงจริงๆ เสียแล้วสิ…
JLM-4-1_3_4_1,Could it be that the sun is rising from the north today?,หรือว่าวันนี้พระอาทิตย์ขึ้นจากทางทิศเหนือแล้วอย่างนั้นหรือ?
JLM-4-1_3_5_1,You really are late.,เจ้ามาช้ากว่าคนอื่นเสียจริง…
JLM-4-1_3_6_1,"Hmm? Who is this person, is he famous?",หืม? เจ้านี่ใครกัน? มีชื่อเสียงมากนักหรือ?
JLM-4-1_3_7_1,Tie Mianren?! How come you're here?,บุรุษหน้ากากเหล็ก?! เจ้ามาอยู่ที่นี่ได้อย่างไร?
JLM-4-1_3_8_1,"Hmph, anyway, you must be up to no good!",หึ! ยังไงก็คงมิใช่เรื่องดีแน่!
JLM-4-1_3_9_1,There must be some kind of plot!,ต้องมีแผนร้ายบางอย่าง อย่างแน่นอน!
JLM-4-1_3_10_1,"Hmph, I don't believe you!",เฮอะ ข้าไม่เชื่อเจ้าหรอก!
JLM-4-1_3_11_1,"Gentlemen, you may not believe me, but I will prove it to you with my actions.",ท่านจอมยุทธ์ทั้งหลาย แม้พวกท่านจะไม่เชื่อข้า แต่ข้าจะใช้การกระทำเป็นเครื่องพิสูจน์!
JLM-4-1_4_1_1,"As long as I'm here, these Yan people won't be able to step into Lin'an City!",ตราบใดที่ข้ายังอยู่ พวกเยียนพวกนี้อย่าหวังจะก้าวเข้ามาในเมืองหลินอันได้แม้แต่ก้าวเดียว!
JLM-4-1_4_2_1,"Tie Mianren, I'm leaving this place to you, you must win, not lose!",บุรุษหน้ากากเหล็ก! ที่นี่ขอมอบให้เจ้า! เจ้าต้องเอาชนะให้ได้ อย่าได้พ่ายแพ้!
JLM-4-1_4_2_2,Don't worry.,วางใจเถิด
JLM-4-1_4_3_1,"General, the prince has ordered us to retreat to the city, this place is left to Tie Mianren... ",ท่านแม่ทัพ! ท่านอ๋องมีรับสั่งให้ถอนกำลังกลับไปในเมือง ที่นี่มอบให้บุรุษหน้ากากเหล็กจัดการ!
JLM-4-1_4_3_2,If that's the case... Retreat!,ในเมื่อเป็นเช่นนี้... ถอนกำลัง!
JLM-4-1_4_3_3,"(Duke Kang is dead, who exactly is this prince...)",(อ๋องคังสิ้นพระชนม์ไปแล้ว อ๋องที่ว่า…เป็นใครกันแน่…?)
JLM-4-1_4_4_1,"Tie Mianren, you've confused me, what are you up to?",บุรุษหน้ากากเหล็ก! เจ้าทำให้ข้าสับสนจริง ๆ นี่มันเรื่องอะไรกันแน่?
JLM-4-1_4_4_2,"Your Highness Duke Kang has been very kind to this sect leader, and you want this sect leader to help you attack Lin'an City, it's really a dream.",ท่านอ๋องคังมีพระคุณต่อข้าอย่างล้นพ้น จะให้ข้าช่วยพวกเจ้ายึดเมืองหลินอัน ช่างเป็นความฝันของคนโง่เขลา!
JLM-4-1_4_4_3,So the Nine Factions Sect is Duke Kang's dog... That's not surprising.,ที่แท้… นิกายเก้าฝ่ายก็เป็นแค่สุนัขรับใช้ของอ๋องคัง นี่สินะที่ข้าแปลกใจ!
JLM-4-1_4_4_4,"But with just a few of you, do you really think you can stop my Yan Yun army?",แต่มีแค่พวกเจ้าสองสามคน คิดหรือว่าจะหยุดยั้งกองทัพใหญ่ของเยี่ยนหยุนได้?
JLM-4-1_4_4_5,How would we know if we don't try?,ไม่ลองดูแล้วจะรู้ได้อย่างไร?
JLM-4-1_4_5_1,"Wanyan Wuzhu, even if you have twice as many people, I wouldn't take you seriously!",หวันเหยียนอู๋จู! ต่อให้เจ้ามีไพร่พลเพิ่มขึ้นอีกเท่าตัว ข้าก็ยังไม่เห็นพวกเจ้าค่าควรแก่สายตา!
JLM-4-1_4_6_1,"Arrogant fool, overestimating your abilities!",โอหังนัก! ไม่รู้จักประมาณตน!
JLM-4-1_4_6_2,"All troops, charge!",กองทัพทั้งหลาย! บุก!
JLM-4-1_5_1_1,Just one step away... I can't accept this... ,อีกเพียงก้าวเดียวเท่านั้น… ข้ายอมไม่ได้!
JLM-4-1_5_2_1,"Tsk, you're still as weak as before, this fight wasn't satisfying!",เฮอะ! ยังอ่อนแอเหมือนเดิม สู้กันเช่นนี้ข้าไม่สะใจเลย!
JLM-4-1_5_2_2,"The martial arts of the master is truly unfathomable, I admire it.",วิทยายุทธ์ของท่านอาจารย์ปู่ช่างลึกล้ำเหนือคาด ศิษย์ขอคารวะ
JLM-4-1_5_2_3,"Being able to fight alongside me without falling behind, you should have few rivals in this world.",เจ้าสามารถประมือกับข้าโดยไม่ตกเป็นรอง ถือว่าแทบไม่มีใครในยุทธภพคู่ควรเป็นศัตรูเจ้าแล้ว!
JLM-4-1_5_3_1,The Yan Yun Iron Army is gone... ,กองทัพเหล็กเยี่ยนหยุนพินาศลงเพียงเท่านี้รึ…
JLM-4-1_5_4_1,"The arrogant Yan Yun Iron Army was defeated under Lin'an City, and Wanyan Wuzhu's ambition was ended.\nThe heroic act of Tie Mianren in repelling the Yan army will soon spread throughout the world, and the reputation of the Nine Factions Sect has completely turned around.\nYou stand tall and proud, enjoying the praises from the people of Lin'an.","กองทัพเหล็กเยียนหยุนผู้ยิ่งใหญ่กลับต้องพ่ายแพ้ ณ เมืองหลินอัน ความทะเยอทะยานของว่านเยี่ยนอูจู๋ก็ถึงจุดสิ้นสุด\nวีรกรรมของบุรุษหน้ากากเหล็กผู้พิชิตกองทัพเยียนหยุนจะสะท้านไปทั่วหล้า เก้ามรรคาซึ่งเคยเป็นที่ครหา บัดนี้กลับได้รับการยกย่องอย่างสิ้นเชิง\nเจ้าก้าวเดินด้วยความภาคภูมิ ท่ามกลางเสียงโห่ร้องแซ่ซ้องของชาวเมืองหลินอัน"
JLM-4-1_5_4_2,What a great hero!,ช่างเป็นจอมยุทธ์ผู้ยิ่งใหญ่จริงๆ!
JLM-4-1_5_4_3,Amazing!,น่ายกย่องยิ่งนัก!
JLM-4-1_5_4_4,Thank you for saving Lin'an City.,ขอบคุณท่านจอมยุทธ์ที่ช่วยปกป้องเมืองหลินอันของพวกเรา!
JLM-4-1_5_4_5,I wish my son could be like this!,หากจะมีบุตรชาย ขอให้เป็นเช่นท่านเถิด!
JLM-4-1_5_5_1,I didn't expect you to do some good deeds.,ไม่อยากเชื่อว่าเจ้าจะทำเรื่องดี ๆ ได้เหมือนกันนะ
JLM-4-1_5_6_1,"Laying down the butcher's knife, there is no greater good.",หากสามารถวางดาบลงได้ ไม่มีสิ่งใดยิ่งใหญ่กว่าคุณธรรมนี้
JLM-4-1_5_7_1,"You are truly a heroic figure, I admit defeat!",ช่างเป็นยอดวีรบุรุษ! ข้ายอมรับเจ้าแล้ว!
JLM-4-1_5_8_1,I didn't expect the Nine Factions Sect to also have a side that stands up for the Zhao Kingdom... ,ไม่คาดคิดว่านิกายเก้าฝ่ายก็มีวันนี้ ที่ยืนหยัดเพื่อแผ่นดินจ้าว!
JLM-4-1_5_9_1,"I'm not so easily convinced by you!\nBut I still have to thank you for your help.","ข้าไม่เชื่อใจเจ้าหรอก!\nแต่ถึงกระนั้น… ข้ายังคงต้องขอบคุณเจ้าที่ช่วยชีวิตพวกเราไว้"
JLM-4-1_5_10_1,"Your heroic act today is truly admirable, let's call it even for our past grudges!",วีรกรรมของเจ้าทำให้ข้านับถือยิ่งนัก อดีตที่เคยมีระหว่างเรา ถือว่าลบล้างกันไป!
JLM-4-1_5_11_1,"If you truly change your ways, I'll consider you my good brother!",หากเจ้ากลับตัวได้จริง ข้าก็จะนับเจ้าเป็นสหาย!
JLM-4-1_5_12_1,This feat is no less than the Eight Saints of the past!,วีรกรรมครั้งนี้ เทียบเคียงแปดเซียนในตำนานได้เลย!
JLM-4-1_5_12_2,Could the great hero leave an autograph for this little lady?,ท่านจอมยุทธ์ ช่วยลงนามให้แม่นางน้อยคนนี้สักฉบับได้หรือไม่?
JLM-4-1_5_12_3,"If I could find such a heroic husband, that would be wonderful.",หากข้ามีสามีที่เป็นจอมยุทธ์เช่นท่านก็คงดีไม่น้อย
JLM-4-1_5_12_4,"If all the martial artists in the world were this capable, who would dare to bully us!",หากยอดฝีมือใต้หล้ามีฝีมือเยี่ยงนี้ ใครจะกล้ารังแกพวกเราอีก?
JLM-4-1_5_12_5,"But, why does the great hero wear a mask?",แต่เหตุใดท่านจอมยุทธ์จึงต้องสวมหน้ากากด้วย?
JLM-4-1_5_12_6,"An unintentional remark makes you feel like you've fallen into an ice cave.\nYou suddenly realize that you've been wearing this cold mask on your face all along.\nThe mask seems to have merged with your face, and you can't even tell whether it's a mask or your face.\nThe cheers suddenly become unbearably harsh, and you escape from here in a panic.","คำพูดหนึ่งประโยคโดยไร้เจตนา กลับทำให้เจ้ารู้สึกดุจตกลงสู่ห้วงน้ำแข็ง\nเจ้าพึ่งตระหนักขึ้นมาอีกครั้งว่าใบหน้าของเจ้าถูกปกปิดด้วยหน้ากากเย็นเยียบนี้มาโดยตลอด\nหน้ากากนั้นเหมือนจะหลอมรวมเป็นหนึ่งเดียวกับเจ้าเอง เป็นใบหน้าหรือเป็นหน้ากาก เจ้ากลับแยกไม่ออกเสียแล้ว\nเสียงแสดงความยินดีพลันกลายเป็นสิ่งแสบแก้วหู เจ้าหลบหนีออกจากที่แห่งนั้นอย่างไร้หนทาง"
JLM-4-1_6_1_1,"Good disciple, why aren't you back at the Nine Factions Sect?",ศิษย์รัก เจ้าไม่กลับนิกายเก้าฝ่าย แล้วมาทำอะไรอยู่ที่นี่?
JLM-4-1_6_1_2,Master... ,อาจารย์ปู่...
JLM-4-1_6_1_3,I seem to be... lost.,ข้ารู้สึก… สับสนเหลือเกิน
JLM-4-1_6_1_4,Lost?,สับสนหรือ?
JLM-4-1_6_1_5,"When I first joined the Nine Factions Sect, I was persecuted by those self-proclaimed righteous people from the three religions. I wanted to tear off their hypocritical masks and take revenge on this unjust world.",แต่เดิมข้าเข้าร่วมนิกายเก้าฝ่าย เพราะถูกเหล่าผู้คนในสามสำนักใหญ่ ซึ่งอวดอ้างตนเป็นฝ่ายธรรมะข่มเหงรังแก ข้าต้องการฉีกหน้ากากจอมปลอมของพวกมัน เผาผลาญยุทธภพที่ไม่เป็นธรรมนี้ให้มอดไหม้
JLM-4-1_6_1_6,"At first, everything went smoothly. Those disciples of the three religions showed their ugly sides frequently. At that time, I thought joining the Nine Factions Sect was the best decision I've ever made.",ตอนแรกทุกอย่างราบรื่น บรรดาศิษย์ของสามสำนัก ต่างแสดงธาตุแท้ออกมาจนหมดสิ้น ข้าเคยคิดว่าการเข้าสู่นิกายเก้าฝ่าย เป็นสิ่งที่ถูกต้องที่สุดในชีวิต
JLM-4-1_6_1_7,"But... later I made a big mistake. Since then, my true identity can no longer be revealed. The sect leader let me wear this iron mask to hide my identity.",แต่แล้ว… ข้ากลับทำผิดพลาดครั้งใหญ่ ทำให้ตั้งแต่นั้นมา ข้าไม่อาจเปิดเผยตัวตนที่แท้จริงได้อีกเลย ท่านประมุขจึงสั่งให้ข้าสวมหน้ากากเหล็กนี้ไว้ เพื่อปิดบังตัวตน
JLM-4-1_6_1_8,"The sect leader also said that as long as Zhao country and those righteous factions are destroyed, I can take off the mask and be myself again.",ท่านประมุขเคยกล่าวว่า… ตราบใดที่แคว้นจ้าวล่มสลาย พวกฝ่ายธรรมะก็จะพินาศไปด้วย เมื่อนั้นข้าก็สามารถถอดหน้ากาก กลับมาเป็นตัวของข้าเองได้
JLM-4-1_6_1_9,"But now it's us who have destroyed the Yan army... \nAnd I've been wearing this iron mask for so long that I don't even know who I am anymore... ","แต่ในท้ายที่สุด… เรากลับเป็นฝ่ายทำลายกองทัพเยี่ยน…\nและหน้ากากนี้อยู่กับข้ามานานจนข้าไม่อาจแน่ใจได้อีกแล้วว่า… ข้าเป็นใครกันแน่"
JLM-4-1_6_1_10,You young people always like to think too much.,เฮอะ! เจ้าพวกคนหนุ่มสาวนี่ชอบคิดฟุ้งซ่านกันเสียจริงๆ
JLM-4-1_6_1_11,"Before I was locked up, the leaders of the three religions also had some dirty secrets. Except for me, no one stood up to accuse them.",ตอนที่ข้าถูกจับขัง เจ้าสำนักทั้งสามสำนักใหญ่พวกนั้น แต่ละคนล้วนมีมลทินอยู่ในตัว แต่ไม่มีใคร กล้าออกมาตำหนิพวกเขาเลย นอกจากข้า
JLM-4-1_6_1_12,"I exposed those dirty secrets under the sun for everyone to see, and no one called me a demon. People said that the three religions were hypocritical and that I was the hero!",หลังจากที่ข้าเปิดเผยความลับอันน่ารังเกียจเหล่านั้น ในตอนนั้นกลับไม่มีใครมองว่าข้าเป็นมารร้าย คนกลับด่าทอสามสำนักใหญ่ว่าจอมปลอม แล้วยกย่องข้าว่าเป็นวีรบุรุษ!
JLM-4-1_6_1_13,"But then I was plotted against by those guys from the three religions. Overnight, I became a demon, and the three religions became the righteous leaders who eradicated demons!",แต่พอข้าถูกใส่ร้ายเพียงข้ามคืนโดยพวกคนจากสามสำนักใหญ่นั้น พวกมันกลับตั้งตนเป็นฝ่ายธรรมะ ข้ากลับกลายเป็น มารร้ายไปเสียเอง!
JLM-4-1_6_1_14,"In my opinion, the rules of the world today are the same as when I was locked up. No one cares about the truth or right and wrong. It's still about who has the stronger fist. Even black can be turned into white!",ในสายตาข้า กฎเกณฑ์ของโลกใบนี้ ตั้งแต่อดีตจนถึงปัจจุบันไม่เคยเปลี่ยนแปลง! ไม่มีใครสนใจว่าความจริงคืออะไร สนใจเพียงว่าใครมีหมัดแข็งกว่า! ต่อให้เป็นสีดำ ก็ยังบังคับให้กลายเป็นสีขาวได้!
JLM-4-1_6_1_15,"The fact that these distractions can bother you now is ultimately because your fist is not strong enough! If you can dominate the martial world, even those so-called righteous people will stand behind you. Who would dare to accuse you then?",เหตุผลที่เจ้ารู้สึกสับสนวุ่นวายในตอนนี้ มีเพียงอย่างเดียว คือเพราะหมัดของเจ้ายังแข็งแกร่งไม่พอ หากเจ้ากลายเป็นจ้าวแห่งยุทธภพ เป็นผู้กุมอำนาจในใต้หล้า ต่อให้พวกที่เรียกตนเองว่าฝ่ายธรรมะก็ต้องก้มหัวสวามิภักดิ์ เมื่อนั้นจะมีใครกล้าตราหน้าเจ้าได้อีก?
JLM-4-1_6_1_16,Dominating the martial world... ,เป็นจ้าวแห่งยุทธภพ… ปกครองใต้หล้า…
JLM-4-1_6_1_17,Yes! That was also my wish back then. I couldn't stand the hypocrisy of the martial world and wanted to tear off the faces of those hypocrites one by one!,ถูกต้อง! นั่นเป็นสิ่งที่ข้าเคยใฝ่ฝัน ข้าไม่อาจทนมองดูยุทธภพอันจอมปลอมนี้อีกต่อไป ต้องการฉีกหน้ากากพวกมันทั้งหมด!
JLM-4-1_6_1_18,"Unfortunately, I didn't achieve it in the end, and now it's your young people's era.",เสียดายที่ข้าไม่อาจทำสำเร็จ… แต่บัดนี้เป็นยุคของพวกเจ้าแล้ว!
JLM-4-1_6_1_19,"Master's words have enlightened me. That's right, if the world doesn't accept me, then I'll define the rules of the world myself!",คำของอาจารย์ปู่ดุจแสงส่องทะลุหมอกหม่น ใช่แล้ว! ในเมื่อยุทธภพไม่ต้องการข้า ข้าก็จะเป็นผู้กำหนดกฎเกณฑ์ของยุทธภพขึ้นมาเอง!
JLM-4-1_6_1_20,"Good boy, you've finally enlightened.",ดีมาก! ในที่สุดเจ้าก็เข้าใจ!
JLM-4-1_6_1_21,"Seeing you now, I feel like I'm looking at myself when I was young!\nI'm itching to fight too, let me join you in making a big fuss in this martial world!","เห็นเจ้าในยามนี้ ข้าราวกับเห็นตัวข้าเองในวัยหนุ่ม!\nข้าเองก็รู้สึกคันไม้คันมือไม่น้อย… เช่นนั้นให้ข้าร่วมออกท่องยุทธภพกับเจ้าให้สนุกสักคราเถอะ!"
