﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2351-2_0_5_7,"Talents emerge in each generation, soon new successors rise to prominence, and you forever become a legend.\nNo one knows that the legendary figure {PlayerName}, due to his own greed, or curiosity, suffocated to death in an inconspicuous secret chamber.","ยุทธภพเปลี่ยนมือไม่หยุดยั้ง ไม่นาน คลื่นลูกใหม่ก็จะฉายแสง เจ้าจะกลายเป็นตำนานไปตลอดกาล\nไม่มีผู้ใดล่วงรู้ว่า ยอดคนแห่งยุค{PlayerName} เพราะความโลภ หรือความอยากรู้อยากเห็นของตนเอง กลับขาดใจตายอยู่ในห้องลับที่ไม่โดดเด่นแห่งหนึ่ง"
M2351-2_0_5_8,"<size=150%><color=""red"">The end.</color></size>","<size=150%><color=""red"">อวสาน</color></size>"
M2351-2_1_1_1,(Take a deep breath.),(เจ้าสูดลมหายใจเข้าลึกๆ)
M2351-2_1_1_2,"In the last moment before you suffocate, you mastered the breathing method on the stone door.\nMurky air rushed into your lungs, bitter, just like your remaining life.","ในเสี้ยววินาทีก่อนที่เจ้าจะขาดอากาศสิ้นใจ เจ้ากลับเข้าใจเคล็ดลับการหายใจบนประตูศิลานั้น\nอากาศขุ่นมัวไหลทะลักเข้าสู่ปอดของเจ้า ขมขื่น… ดั่งเช่นชีวิตที่เหลือของเจ้าเอง"
M2351-2_1_1_3,"Not far from you, in Penglai Sect, it didn't take long for Blood Rakshasa to appear in the main hall,\nHosting his long-planned Golden Basin Washing Hands Conference.","ไม่ไกลจากที่นี่ ภายในสำนักเผิงไหล ไม่นานนัก รากษสโลหิต ได้ปรากฏตัวกลางห้องโถงใหญ่\nเขาจะเป็นผู้ดำเนินพิธีล้างมือในอ่างทองคำ ที่วางแผนมาเนิ่นนานด้วยตนเอง"
M2351-2_1_1_4,"Although the Sect Leaders were prepared, without your crucial assistance, Blood Rakshasa successfully took his revenge.",แม้เหล่าเจ้าสำนักจะเตรียมการรับมือไว้แล้ว แต่ขาดซึ่งกำลังสำคัญอย่างท่านช่วยเหลือ รากษสโลหิตก็สามารถสะสางแค้นได้สำเร็จ
M2351-2_1_1_5,"Soon, this fake sect will be abandoned and turned into ruins, leaving only a legend behind.\nAnd you, {PlayerName}, due to your excellent covert work, there's no trace of you in this legend.","ไม่นาน สำนักจอมปลอมแห่งนี้จะถูกทอดทิ้ง กลายเป็นซากปรักหักพัง เหลือไว้เพียงตำนานเลือนราง\nส่วนเจ้า {PlayerName} ด้วยฝีมือการซ่อนเร้นที่ไร้ที่ติ ตำนานของที่นี่จึงไม่เคยมีเงาของเจ้าแม้แต่น้อย"
M2351-2_1_1_6,"The whereabouts of the legendary {PlayerName} became a mystery, there were eyewitnesses saying that you went out to sea to live in seclusion,\nDisappearing like a legend, just like a great hero.\nYour departure has caused a lot of rumors, some of which are extremely romantic, embodying the Vagabond's illusion of the summit.\nMany of your friends have been looking for you everywhere, going out to sea to find you, but in the end they all returned without success.","เส้นทางของยอดฝีมือผู้เป็นตำนาน {PlayerName} กลายเป็นปริศนา มีผู้พบเห็นกล่าวว่าท่านออกทะเลไปซ่อนกาย\nดั่งตำนานที่หายสาบสูญ เฉกเช่นเดียวกับท่านจอมยุทธ์ผู้ยิ่งใหญ่\nการจากไปของท่านก่อให้เกิดข่าวลือมากมาย บางเรื่องก็แสนโรแมนติก ฝากฝังไว้ซึ่งจินตนาการของชาวยุทธ์ต่อยอดเขา\nสหายของท่านมากมายต่างออกสืบหาข่าวคราวของท่าน ออกทะเลตามหาท่าน แต่สุดท้ายก็ไร้ผล"
M2351-2_1_1_7,"Talents emerge in each generation, soon new successors rise to prominence, and you forever become a legend.\nNo one knows that the legendary figure {PlayerName}, lived longer than his own legend.","ยุทธภพเปลี่ยนมือไม่หยุดยั้ง ไม่นาน คลื่นลูกใหม่ก็จะฉายแสง เจ้าจะกลายเป็นตำนานไปตลอดกาล\nไม่มีผู้ใดล่วงรู้ว่า ยอดคนแห่งยุค{PlayerName} แท้จริงแล้ว ยังมีชีวิตอยู่ ยืนยาวเกินกว่าตำนานของตนเอง"
M2351-2_1_1_8,"You are completely trapped in the silent stone Prison,\nfrom hope, to disappointment, to despair, to acceptance, and then to survival.","เจ้าถูกจองจำอยู่ในคุกหินเงียบงัน\nจากความหวัง… กลายเป็นความผิดหวัง… จากความผิดหวัง… กลายเป็นสิ้นหวัง… จากสิ้นหวัง… เจ้าก็ยอมรับมัน แล้วก็ดำรงอยู่ต่อไป"
M2351-2_1_1_9,"You don't know what's happening outside, all the grudges of the martial arts world are cut off from you, but you're still alive.\nYou don't know if you should hope for the door to open, when you're torn until you're no longer torn, the door remains silent as usual, and you're still alive.","เจ้ามิอาจล่วงรู้เหตุการณ์ภายนอก เรื่องราวแห่งยุทธภพถูกตัดขาดจากเจ้าโดยสิ้นเชิง ทว่าเจ้ายังคงมีชีวิต\nเจ้ามิอาจรู้ได้ว่าควรภาวนาให้ประตูเปิดออกหรือไม่ จนกระทั่งเจ้าหยุดคิดถึงมัน ประตูก็ยังคงปิดเงียบอยู่เช่นนั้น… และเจ้าก็ยังคงมีชีวิตอยู่"
M2351-2_1_1_10,"When every breath you exhale occupies the entire secret chamber, the candle can no longer be lit.\nYou live in eternal darkness for the rest of your life, but you are still alive.\nYou gradually lose your senses, no longer feel hungry, even if you don't drink water for several days, you won't feel thirsty, but you are alive.\nYou try to eat the food in your bag, trying to find the feeling of ""fullness"", your body is as withered as rotten wood, but you are alive.","เมื่อลมหายใจของเจ้าปกคลุมห้องลับจนทั่ว ไฟเทียนก็มิอาจจุดติดได้อีกต่อไป\nนับแต่นั้น… ชีวิตของเจ้าจมดิ่งสู่ความมืดมิดอันไร้กาลเวลา ทว่าเจ้าก็ยังคงมีชีวิต\nความรู้สึกของเจ้าค่อยๆ จางหาย เจ้าหิวโหยน้อยลง แม้กระทั่งขาดน้ำหลายวัน เจ้ากลับไม่รู้สึกกระหาย ทว่าเจ้าก็ยังคงมีชีวิต\nเจ้ากลืนกินเสบียงในย่ามของตน พยายามควานหาความรู้สึกของความอิ่ม แต่ร่างของเจ้ากลับผอมแห้งดุจซากไม้ผุพัง… ทว่าเจ้าก็ยังคงมีชีวิต"
M2351-2_1_1_11,"You thought about suicide to escape, but you found that you lost the courage to seek death, so you are alive.\nSo you count the days, hoping that this is a scam, you can die of old age when the time comes.\nThis is your last hope, you live in disappointment.\nBut you can't see the sun or the moon, and you soon lose track of time.","เจ้าเคยคิดจะจบชีวิตตนเอง ทว่ากลับมิอาจรวบรวมความกล้าสำเร็จ สุดท้ายเจ้าก็ยังคงมีชีวิต\nเจ้าคำนวณวันเวลา ฝากความหวังไว้กับการหลอกลวงนี้ เฝ้าภาวนาให้วันสิ้นอายุขัยตามกาลมาถึง\nนี่เป็นความหวังสุดท้ายของเจ้า เจ้ามีชีวิตอยู่กับความผิดหวัง\nแต่เมื่อไร้ซึ่งแสงตะวันและจันทรา เจ้าย่อมสูญเสียความสามารถในการนับวันเวลา"
M2351-2_1_1_12,"Every breath you take makes you dizzy, palpitate, and drowsy.\nYour heartbeat starts to slow down, and the time you spend in slumber gets longer and longer.\nYou always hope that maybe one day, you'll die in your sleep, but every time you wake up, you're still alive.","ลมหายใจของเจ้าหนักขึ้น หัวใจเต้นช้าลง สติของเจ้าเริ่มพร่าเลือน\nเจ้าหวังว่าสักวันหนึ่ง… เจ้าจะหลับไปชั่วนิรันดร์…\nแต่ทุกครั้ง… เจ้าก็ยังคงมีชีวิตและตื่นขึ้นมา"
M2351-2_1_1_13,"You gradually stop thinking, stop moving, like you're dead, but you are alive.\nIn this dark secret chamber, you will live, in this half-dead state, you will live.\nUntil the future you can't see, you will always live.","ความคิดของเจ้าค่อย ๆ ดับสูญ เจ้าหยุดคิด หยุดเคลื่อนไหว ร่างไร้วิญญาณดุจซากศพ…\nในห้องลับอันมืดมิดนี้ เจ้าจะยังมีชีวิต ในสภาพครึ่งเป็นครึ่งตายนี้ เจ้าจะยังมีชีวิต\nแม้ยาวนานไปถึงอนาคตที่เจ้ามองไม่เห็น เจ้าก็จะยังคงมีชีวิต"
M2351-2_1_1_13a,"Alive.\nJust alive.\nJust alive.","มีชีวิต\nแค่มีชีวิต…\nเพียงแค่มีชีวิตอยู่เท่านั้น"
M2351-2_1_1_14,"<size=150%><color=""red"">Congratulations on your Longevity.</color></size>","<size=150%><color=""red"">ขอแสดงความยินดี เจ้าบรรลุความเป็น ‘อมตะ’</color></size>"
M2348-8_0_1,"As Gongsun Hui said, the stone door is making a vibrating noise, it's estimated that it will fall at any time.",ดั่งที่กงซุนฮุ่ยกล่าวไว้ ประตูศิลาส่งเสียงสั่นสะเทือน คาดว่าคงจะปิดลงในไม่ช้า
M2348-8_0_2,"Isn't this... the jade pendant from Gongsun Hui? I saw him always holding it, I thought it was a relic left by his family. How could it be left on this stele?",นี่มัน… จี้หยกของกงซุนฮุ่ยไม่ใช่หรือ? ข้าเห็นเขากุมมันไว้ตลอด นึกว่าเป็นของตกทอดจากตระกูล ไฉนจึงถูกวางทิ้งไว้บนแท่นศิลานี้?
M2348-8_0_3,Could this be his special way of commemorating his parents? Or is this jade pendant a part of the Gongsun family's Machinery?,หรือว่านี่เป็นวิธีระลึกถึงบิดามารดาในแบบของเขา? หรือว่า… จี้หยกชิ้นนี้เป็นส่วนหนึ่งของกลไกตระกูลกงซุน?
M2348-8_0_4,"It doesn't seem like it... It seems like it was thrown away casually... Well, I'd better not interfere, just leave it there.",ดูแล้วก็ไม่น่าจะใช่… คล้ายกับว่าเขาโยนทิ้งไว้ลวก ๆ มากกว่า… อืม ข้าไม่ยุ่งดีกว่า ปล่อยไว้เช่นนั้นเถอะ
M2348-8_1_1,How did the stone door come down? Did I touch something?,ประตูศิลาไฉนปิดลงแล้ว? หรือว่าข้าไปแตะต้องอะไรเข้า?
M2348-8_1_2,"I don't want to go in again, let it fall on its own.",แต่ช่างเถิด ข้าก็ไม่คิดจะเข้าไปอีกแล้ว ปล่อยให้มันปิดไปเองเถอะ
M2348-8_2_1,"In the meantime, I'll see if I can get Shi Heng's attention...",ระหว่างนี้… ข้าลองหาทางส่งสัญญาณให้พี่สือเหิงดู ว่าจะเห็นข้าได้หรือไม่…
M2348-8_3_1,Did I just see a person in purple clothes run in?,หืม? ข้าคล้ายจะเห็นผู้ใส่ชุดม่วงคนหนึ่งวิ่งเข้าไป?
M2348-8_4_1,The figure looks like my father...,ดูจากแผ่นหลัง… คล้ายกับบิดาข้า…
M2348-8_4_2,"This! Me didn't have time to go there, and this gate was closed!",นี่มัน! ข้ายังไม่ทันได้ก้าวไป ประตูก็ปิดลงเสียแล้ว!
M2348-8_4_3,Is this person Cai Yuanchang? How did he run up and rush in?,คนผู้นั้น… ใช่ไฉหยวนฉางหรือไม่? เหตุใดเขาจึงวิ่งขึ้นมา แล้วพุ่งเข้าไปในนั้น?
M2348-8_4_4,"(Could it be... after he was absorbed by Me using the Archdemon's Soul Eating Skill, he wanted to imitate Blood Rakshasa's recovery skill?)",(หรือว่า… หลังจากถูกข้าใช้วิชามารฟ้ากลืนวิญญาณดูดพลังปราณเขาไป เขาต้องการเลียนแบบรากษสโลหิตเพื่อฟื้นคืนพลังรึ?)
M2348-8_4_5,(Or is he still not giving up on Longevity... he is desperate to go to the Longevity tomb?),(หรือว่า เขายังไม่ล้มเลิกความปรารถนาในชีวิตอมตะ... แม้ต้องเอาชีวิตเข้าแลกก็จะไปให้ถึงสุสานอมตะ?)
M2348-8_4_6,"(Whether this person masters the demonic skill or Longevity, it will be a disaster for the martial arts world in the future!)",(ไม่ว่าเขาจะสำเร็จวิชามาร หรือบรรลุเคล็ดวิชาอมตะ ต่อไปย่อมกลายเป็นหายนะของยุทธภพแน่!)
M2348-8_4_7,"It's just... he's inside now, and the stone door is a thousand pounds heavy... I don't know if he can still come out...",เพียงแต่… ตอนนี้เขาอยู่ข้างใน ส่วนประตูศิลานี้หนักกว่าพันชั่ง… ข้าไม่รู้ว่าเขาจะสามารถออกมาได้หรือไม่…
M2348-8_4_8,I should see how to contact Brother Shi Heng...,ข้าว่ามาหาทางติดต่อพี่สือเหิงก่อนเถอะ…
M2348-8_5_1,Let me see how to contact Brother Shi Heng...,ข้าจะดูว่าจะติดต่อพี่สือเหิงได้อย่างไร...
M2348-8_6_1,"Brother, I'm here!",พี่สือเหิง! ข้ามาแล้ว!
M2348-8_6_2,Brother Shi Heng! Where have you been? Are you alone?,พี่สือเหิง! เมื่อครู่ท่านหายไปไหนมา? อยู่คนเดียวหรือไม่?
M2348-8_6_3,"I have a good news and a bad news to tell you, which one do you want to hear first?",ข้ามีข่าวดีและข่าวร้ายจะบอกเจ้า เจ้าจะฟังสิ่งใดก่อน?
M2348-8_6_4,I see... I want to hear...,เช่นนั้น… ข้าอยากฟัง…
M2348-8_op1_1,Good news.,ข่าวดี
M2348-8_op1_2,Bad news.,ข่าวร้าย
M2348-8_7_1,"The good news is, do you know Ma Qingshan, the HorsePavilion Master? A painter who arrived on the same boat as us.",ข่าวดีคือ หม่าชิงซาน เจ้าสำนักหม่า ท่านรู้จักหรือไม่? จิตรกรที่ร่วมเดินทางมากับพวกเราบนเรือ
M2348-8_7_2,"He and Shen Chenxuan found a safe way to get everyone out of the prison and placed them on the War Constable's ship. Now the ship is docked in a hidden place on the north shore. I came here specially, waiting for my brother to come.",เขากับ ลู่เฉินซวน ค้นพบเส้นทางปลอดภัย ช่วยเหลือเหล่านักโทษจากคุกออกมาได้ทั้งหมด แล้วจัดการให้ขึ้นเรือของ จ้านปู่โถว ตอนนี้เรือจอดซ่อนอยู่ที่ชายฝั่งทิศเหนือ ข้ามาที่นี่โดยเฉพาะ เพื่อรอคอยพี่น้องของข้า
M2348-8_7_3,"Ma Qingshan, the Horse Pavilion Master... and Brother Shen Chenxuan? How did they get together and sneak onto the War Constable's ship?",หม่าชิงซาน เจ้าสำนักหม่าอย่างนั้นหรือ... ยังมีพี่ลู่เฉินซวน อีก? พวกเขาไปรู้จักกันได้อย่างไร แถมยังลอบขึ้นเรือของ จ้านปู่โถว อีกด้วย?!
M2348-8_7_4,"Since you're safe, that's great. What's the bad news you want to tell me?",ในเมื่อพวกท่านปลอดภัย เช่นนั้นก็ดียิ่งแล้ว แล้วข่าวร้ายที่ท่านจะบอกข้าคือ?
M2348-8_7_5,"The bad news is, Blood Rakshasa is about to return. We saw a lot of people from the Penglai Sect going to greet him on the boat.",ข่าวร้ายก็คือ… รากษสโลหิตใกล้จะกลับมาแล้ว พวกเราพบเห็นคนของสำนักเผิงไหลจำนวนมากบนเรือ พวกเขากำลังไปต้อนรับเขา
M2348-8_7_6,"Hmm... Coming back at this time, the timing is acceptable, just after I've solved the problem of the martial tomb...",อืม… กลับมาในเวลานี้งั้นหรือ นับว่าอยู่ในช่วงเวลาที่รับได้ พอดีกับที่ข้าจัดการเรื่องสุสานยุทธ์เสร็จพอดี…
M2348-8_7_7,"In a way, it's not a bad thing. If he doesn't come back, I would be worried...",มองอีกมุมหนึ่ง นี่อาจไม่ใช่เรื่องเลวร้ายเสียทีเดียว หากเขายังไม่มา ข้ากลับจะต้องกังวลเสียเอง…
M2348-8_8_1,"The bad news is, Blood Rakshasa is about to return. We saw a lot of people from the Penglai Sect going to greet him.",ข่าวร้ายก็คือ… รากษสโลหิตใกล้จะกลับมาแล้ว พวกเราพบเห็นคนของสำนักเผิงไหลจำนวนมาก กำลังไปต้อนรับเขา
M2348-8_8_2,"Hmm... Coming back at this time, the timing is acceptable, just after I've solved the problem of the martial tomb...",อืม… กลับมาในเวลานี้งั้นหรือ นับว่าอยู่ในช่วงเวลาที่รับได้ พอดีกับที่ข้าจัดการเรื่องสุสานยุทธ์เสร็จพอดี…
M2348-8_8_3,"In a way, it's not a bad thing. If he doesn't come back, I would be worried...",มองอีกมุมหนึ่ง นี่อาจไม่ใช่เรื่องเลวร้ายเสียทีเดียว หากเขายังไม่มา ข้ากลับจะต้องกังวลเสียเอง…
M2348-8_8_4,So what's the good news?,แล้วข่าวดีเล่า?
M2348-8_8_5,"The good news is, do you know Ma Qingshan, the HorsePavilion Master? A painter who arrived on the same boat as us.",ข่าวดีคือ หม่าชิงซาน เจ้าสำนักหม่า ท่านรู้จักหรือไม่? จิตรกรที่ร่วมเดินทางมากับพวกเราบนเรือ
M2348-8_8_6,"He and Shen Chenxuan found a safe way to get everyone out of the prison and placed them on the War Constable's ship. Now the ship is docked in a hidden place on the north shore. I came here specially, waiting for my brother to come.",เขากับ ลู่เฉินซวน ค้นพบเส้นทางปลอดภัย ช่วยเหลือเหล่านักโทษจากคุกออกมาได้ทั้งหมด แล้วจัดการให้ขึ้นเรือของ จ้านปู่โถว ตอนนี้เรือจอดซ่อนอยู่ที่ชายฝั่งทิศเหนือ ข้ามาที่นี่โดยเฉพาะ เพื่อรอคอยพี่น้องของข้า
M2348-8_8_7,"Ma Qingshan, the Horse Pavilion Master... and Brother Shen Chenxuan? How did they get together and sneak onto the War Constable's ship?",หม่าชิงซาน เจ้าสำนักหม่าอย่างนั้นหรือ... ยังมีพี่ลู่เฉินซวน อีก? พวกเขาไปรู้จักกันได้อย่างไร แถมยังลอบขึ้นเรือของ จ้านปู่โถว อีกด้วย?!
M2348-8_8_8,"Since you're safe, that's great.",ในเมื่อพวกท่านปลอดภัย เช่นนั้นก็ดียิ่งแล้ว
M2348-8_9_1,"The Horse Pavilion Master asked me to ask you a question, do you want to take a ride on the boat.",เจ้าสำนักหม่าให้ข้ามาถามเจ้าประโยคหนึ่ง เจ้าต้องการให้เรือพาเจ้าไปด้วยหรือไม่?
M2348-8_9_2,What do you mean? Does he want to take me away?,หมายความว่าอย่างไร? เขาคิดจะพาข้าไปหรือ?
M2348-8_9_3,"The Horse Pavilion Master said, he persuaded the War Constable to take a detour with the ship, taking you directly back to the <color=#c44b0e>Penglai Sect Pier</color>, pretending that you are visiting the island as the great hero {PlayerName}.","ท่านเจ้าสำนักหม่ากล่าวว่า เขาจะเกลี้ยกล่อมหัวหน้ามือปราบจ้าน ให้แล่นเรือวนรอบ นำท่านกลับสู่<color=#c44b0e>ท่าเรือสำนักเผิงไหล</color>โดยตรง แสร้งทำราวกับว่าท่านคือจอมยุทธ์ {PlayerName} ผู้ยิ่งใหญ่ที่เดินทางมาเยือนเกาะ"""
M2348-8_9_4,"A Blood Rakshasa who is completely unfamiliar, but a big figure whose reputation in the martial arts world is not inferior to the Eight Saints, is sure to attract his attention.",มีบุคคลสำคัญผู้หนึ่ง แม้รากษสโลหิตจะไม่รู้จักเขาโดยตรง แต่นามของเขาในยุทธภพก็หาได้ด้อยไปกว่าแปดปราชญ์ หากบุคคลผู้นี้ปรากฏตัว ย่อมสามารถดึงความสนใจของรากษสโลหิตไปได้
M2348-8_9_5,"In this way, the mess you make while acting covertly will not be noticed.",เช่นนั้นแล้ว ความวุ่นวายที่เจ้าก่อขึ้นในระหว่างปฏิบัติภารกิจลับ จะไม่มีใครสนใจอีกต่อไป…
M2348-8_9_6,Does he know about Blood Rakshasa... Could it be the War Constable who told him?,เขารู้เรื่องของรากษสโลหิต... หรือว่าเป็นจ้านปู่โถวที่บอกเขา?
M2348-8_9_7,Well... why don't you talk to him directly?,เรื่องนี้... เจ้าสู้ไปคุยกับเขาโดยตรงจะดีกว่า
M2348-8_9_8,"Should I get on the boat? It seems that there is nothing to investigate on this island, reappearing might be a good choice, and it's also a good time to chat with the Master of Horse Pavilion...",ข้าควรขึ้นเรือดีหรือไม่? ดูเหมือนว่าบนเกาะนี้จะไม่มีอะไรให้สืบสวนอีกแล้ว การกลับไปปรากฏตัวใหม่อาจเป็นทางเลือกที่ดี แถมยังได้คุยกับเจ้าสำนักหม่าอีกด้วย...
M2348-8_op2_1,Don't get on the boat.,ไม่ขึ้นเรือ
M2348-8_op2_2,Get on the boat.,ขึ้นเรือ
M2348-8_10_1,"In that case, I'll take my leave first and stay away from this place of right and wrong. Brother, take care and we'll meet again if fate allows.",ในเมื่อเป็นเช่นนี้ ข้าคงต้องขอลาไปก่อน ขออยู่ให้ห่างจากวังวนภัยพิบัตินี้เถอะ น้องชายจงระวังตัว ภายหน้าหากมีวาสนา คงได้พบกันอีก
M2348-8_10_2,"Farewell, Brother Shi Heng.",พี่สือเหิง ลาก่อน
M2348-8_11_1,"Okay, you follow Me to the north, the place Horse Pavilion Master found is quite hidden.",ดี เจ้าตามข้าไปทางเหนือเถอะ เจ้าสำนักหม่าจัดหาสถานที่ไว้ได้ค่อนข้างลับตาคนทีเดียว
M2348-8_11_2,"You follow Shi Heng to the north of Penglai Island, along the way, you indeed see a large number of corpses abandoned in the valley.",เจ้าติดตามสือเหิง มุ่งหน้าไปทางทิศเหนือของเกาะเผิงไหล ระหว่างทาง เจ้าได้พบเห็นซากศพจำนวนมาก ถูกทิ้งอยู่ในหุบเขา
M2348-8_11_3,"After winding through the woods, you see a boat indeed docked in a hidden and dangerous harbor.",หลังจากเดินวกวนอยู่กลางป่ารกหลายรอบ ในที่สุด เจ้าก็มองเห็นเรือลำหนึ่งจอดอยู่ ณ อ่าวเร้นลับ อันเต็มไปด้วยโขดหินอันตราย
M2348-8_11_4,"War Constable, Horse Pavilion Master... Brother Lu is also here.",ท่านจ้านปู่โถว เจ้าสำนักหม่า... พี่ลู่ก็อยู่ที่นี่ด้วย
M2348-8_11_5,"Indeed, you are the hero {PlayerSurName}, when HorsePavilion Master mentioned you, I thought he was mistaken.",เป็นท่านจริงๆ จอมยุทธ์{PlayerSurName} ตอนที่เจ้าสำนักหม่าพูดถึงท่าน ข้ายังคิดว่าเขาคงเข้าใจผิดเสียอีก
M2348-8_11_6,"Hero {PlayerSurName}, did you gain anything from this trip to the island? Did you find those books?",ท่านจอมยุทธ์{PlayerSurName} การเดินทางขึ้นเกาะครานี้ ท่านได้อะไรติดมือกลับมาบ้างหรือไม่? ท่านหาตำราพบหรือไม่?
M2348-8_11_7,"Those books are now hidden by Gongsun Hui, he promised that as long as I help him kill his enemy, he will return those books.",ตำรานั้นถูกกงซุนฮุ่ยเก็บซ่อนไว้แล้ว เขาสัญญาว่าหากข้าช่วยเขาล้างแค้นศัตรู เขาจะคืนตำราให้
M2348-8_11_8,To kill his enemy... Does he have any difficulties?,ล้างแค้นศัตรูงั้นหรือ… หรือว่าเขามีความคับแค้นใจบางอย่าง?
M2348-8_11_9,"He does have difficulties, but his story... Let's talk about it after Blood Rakshasa is dead.",เขามีเหตุผลของเขาเอง... แต่เรื่องของเขา ข้าว่ารอให้รากษสโลหิตตายก่อนแล้วค่อยว่ากันเถอะ
M2348-8_11_10,"Hero {PlayerSurName}, I have a favor to ask.",ท่านจอมยุทธ์{PlayerSurName} ข้ามีเรื่องอยากให้ท่านช่วย
M2348-8_11_11,Go ahead.,ว่ามาเถอะ
M2348-8_11_12,"After you subdue Blood Rakshasa and retrieve those books, please help me arrest Gongsun Hui!",หลังจากที่ท่านกำราบรากษสโลหิต และนำตำรากลับคืนมาแล้ว ขอให้ท่านช่วยข้าจับกุมกงซุนฮุ่ยด้วย!
M2348-8_11_13,"So... you mean, first gain his trust, deceive him to get those books, and then arrest him?",นี่หมายความว่า... ท่านต้องการให้ข้าทำทีเป็นให้ความไว้วางใจเขา หลอกให้เขาคืนตำรา แล้วหันกลับมาจับตัวเขาในภายหลังงั้นหรือ?
M2348-8_11_14,"Yes, Gongsun Hui's crimes must be arrested. As for his difficulties, which of the criminals in the Crime Investigation Bureau who committed murder and arson does not have difficulties?",ถูกต้อง ความผิดของกงซุนฮุ่ย ไม่อาจปล่อยให้ลอยนวลได้ ส่วนเหตุผลที่เขาใช้เป็นข้ออ้าง... ในคุกของสำนักเทพมือปราบ มีนักโทษที่ฆ่าคนวางเพลิงอยู่มากมาย เจ้าเคยเห็นสักคนที่ไม่มีเหตุผลของตนเองหรือไม่?
M2348-8_11_15,……,……
M2348-8_11_16,I will consider it carefully.,ข้าจะคิดให้ดี...
M2348-8_11_17,"Young hero {PlayerSurName}, I wanted to paint a scene of many ships welcoming Blood Rakshasa when I saw the scene. Unfortunately, for the sake of concealment, I couldn't find a good angle, what a pity, what a pity.",ท่านจอมยุทธน้อย{PlayerSurName} ข้ายืนมองเรือมากมายที่เตรียมต้อนรับรากษสโลหิต ข้าตั้งใจจะวาดภาพฉากนี้ไว้ แต่เพื่อความปลอดภัย ข้าหามุมมองดีๆ ไม่ได้ น่าเสียดาย น่าเสียดายจริงๆ
M2348-8_11_18,"After the martial arts competition, I wandered around, and the HorsePavilion Master suddenly sought me out, hiring me to protect him.",หลังประลองเสร็จ ข้าเดินเที่ยวไปทั่ว อยู่ๆ เจ้าสำนักหม่าก็มาหาข้า จ้างให้ข้าคุ้มครองเขา
M2348-8_11_19,"I originally wanted to compete and go to the main hall to have a look, but following HorsePavilion Master through the mountains and forests, I saw another side of this island and this faction, these villains... It's really eye-opening.",แต่เดิม ข้ากะจะเข้าห้องโถงใหญ่เพื่อดูสถานการณ์ แต่พอเดินตามเจ้าสำนักหม่าขึ้นเขาลงห้วย ก็ได้เห็นอีกด้านของเกาะและสำนักนี้ พวกคนชั่วเหล่านี้... เปิดหูเปิดตาข้าไม่น้อยเลยทีเดียว
M2348-8_11_20,"Master of Horse Pavilion, shall we speak frankly? You knew about Blood Rakshasa early on, and you came to investigate him, right?",เจ้าสำนักหม่า เรามาเปิดอกคุยกันเถอะ? ความจริงแล้ว ท่านรู้เรื่องของรากษสโลหิตตั้งแต่แรก และเดินทางมาเพื่อตรวจสอบเขา ใช่หรือไม่?
M2348-8_11_21,"Alas, this is just an incidental task. My real goal is to paint a good painting. However, someone insisted that I change my route here.",เฮ้อ... ก็แค่ภารกิจที่ได้รับมอบหมายโดยบังเอิญเท่านั้น ความตั้งใจจริงของข้า คืออยากวาดภาพดีๆ สักภาพ แต่แล้วก็มีคนผู้หนึ่งดึงข้ามายังที่แห่งนี้เสียก่อน
M2348-8_11_22,Who is this person you're talking about...?,คนที่ท่านพูดถึง... คือผู้ใดกัน?
M2348-8_11_23,"He's an acquaintance of yours. He was also invited, but he didn't want to come, so he asked me to come. Normally, this kind of thing is handled by someone with the surname Lu, but this time I don't know what excuse he found to dump this task on me.",เป็นคนที่เจ้ารู้จักดี เดิมที เขาควรได้รับจดหมายเชิญเช่นกัน แต่เจ้าตัวไม่อยากมา จึงให้ข้ามาแทน ปกติเรื่องแบบนี้ต้องเป็นหน้าที่ของตระกูลลู่ แต่ครั้งนี้ไม่รู้ว่าเขาหาข้ออ้างอะไรมา ถึงโยนงานนี้มาให้ข้าแทน
M2348-8_11_24,"Forget it, I won't ask anymore, I can't stand you people's secretive nature.",ช่างเถอะ ข้าไม่อยากถามแล้ว ข้าทนพวกท่านพูดวกไปวนมาไม่ไหวแล้ว
M2348-8_11_25,"Blood Rakshasa is rushing here in a hurry, and even though you want to act covertly, you still caused some trouble.",รากษสโลหิตกำลังเร่งเดินทางมา ขณะที่เจ้าเอง แม้จะพยายามปกปิดการกระทำ แต่ก็ยังสร้างปัญหาเล็กน้อยอยู่ดี
M2348-8_11_26,"When Blood Rakshasa came out of seclusion, he saw that the whole sect was in chaos. The island that was not in charge of logistics was in chaos. Now that he's back from the logistics island, how could he not carefully check all aspects?",เมื่อรากษสโลหิตออกจากการเร้นกายฝึกฝน พอกลับมา ก็พบว่าสำนักของเขาวุ่นวายไปหมด ไม่มีผู้ดูแลเกาะหลังบ้าน เกาะนั้นก็ปั่นป่วน ตอนนี้เขากลับมาจากเกาะหลังบ้านแล้ว มีหรือที่จะไม่ตรวจสอบทุกอย่างให้ถี่ถ้วน?
