﻿BuffEffect_OnEnable,{0} gains <#00FF00>{1}</color> status,{0} ได้รับ สถานะ <#00FF00>{1}</color> 
BuffName_内功_兽吼功_光环,Beast Howling Move
BuffName_内功_霓裳羽衣经1_光环,Dancing Garment Sutra
BuffName_内功_霓裳羽衣经2_光环,Dancing Garment Sutra
BuffName_内功_通天伏魔功_光环,Omnipotent Demon Sealing Move
BuffName_内功_黄帝阴符经_光环,Internal break
BuffName_暗器入门,
BuffName_毒术入门,
BuffName_短兵入门,
BuffName_拳掌入门,
BuffName_耍刀入门,
BuffName_医术入门,
BuffName_音律入门,
BuffName_御剑入门,
BuffName_长兵入门,
BuffName_福泽深厚,Good fortune
BuffName_身强体健,Hardened
BuffName_龙精虎猛,Stalwart
BuffName_聪颖灵巧,Smart,ฉลาด
BuffName_深仁厚泽,
BuffName_慷慨仗义,
BuffName_文质彬彬,
BuffName_才智过人,
BuffName_一诺千金,
BuffName_力拔山河,
BuffName_先天邪气,
BuffName_手脚灵活,Quick reflex,โต้ตอบว่องไว
BuffName_身材矮小,Short stature
BuffName_剧情暗器入门,
BuffName_剧情毒术入门,
BuffName_剧情短兵入门,
BuffName_剧情拳掌入门,
BuffName_剧情耍刀入门,
BuffName_剧情医术入门,
BuffName_剧情音律入门,
BuffName_剧情御剑入门,
BuffName_剧情长兵入门,
BuffName_剧情福泽深厚,
BuffName_剧情身强体健,
BuffName_剧情龙精虎猛,
BuffName_剧情聪颖灵巧,
BuffName_剧情深仁厚泽,
BuffName_剧情慷慨仗义,
BuffName_剧情文质彬彬,
BuffName_剧情才智过人,
BuffName_剧情一诺千金,
BuffName_剧情力拔山河,
BuffName_剧情先天邪气,
BuffName_剧情手脚灵活,Quick reflex,โต้ตอบว่องไว
BuffName_剧情身材矮小,Short stature
BuffName_暗器精通,Throwing Mastery
BuffName_毒术精通,Toxicology Mastery
BuffName_短兵精通,Short Mastery,เชี่ยวชาญอาวุธสั้น
BuffName_拳掌精通,Fist Mastery,เชี่ยวชาญหมัดมวย
BuffName_耍刀精通,Blade master,ปรมาจารย์ดาบ
BuffName_医术精通,Medical Mastery,เชี่ยวชาญการแพทย์
BuffName_音律精通,Musical Mastery,เชี่ยวชาญดนตรี
BuffName_御剑精通,Sword master,ปรมาจารย์กระบี่
BuffName_长兵精通,Long Mastery,เชี่ยวชาญอาวุธยาว
BuffName_骨骼清奇,Unique Skeleton
BuffName_良才美玉,Talented Beauty
BuffName_越战越勇,Battle maniac,คลั่งการต่อสู้
BuffName_速战速决,Blitz attack
BuffName_得心应手,Upwind,อยู่เหนือลม
BuffName_熟能生巧,Practice makes perfect
BuffName_山林猎手,Wild hunter,พรานป่า
BuffName_误打误撞,Random attack,ตีมั่ว
BuffName_见招拆招,Good blocker,ปัดป้องเก่ง
BuffName_剧情暗器精通,Throwing Mastery
BuffName_剧情毒术精通,Toxicology Mastery
BuffName_剧情短兵精通,Short Mastery,เชี่ยวชาญอาวุธสั้น
BuffName_剧情拳掌精通,Fist Mastery,เชี่ยวชาญหมัดมวย
BuffName_剧情耍刀精通,Blade master,ปรมาจารย์ดาบ
BuffName_剧情医术精通,Medical Mastery,เชี่ยวชาญการแพทย์
BuffName_剧情音律精通,Musical Mastery,เชี่ยวชาญดนตรี
BuffName_剧情御剑精通,Sword master,ปรมาจารย์กระบี่
BuffName_剧情长兵精通,Long Mastery,เชี่ยวชาญอาวุธยาว
BuffName_剧情骨骼清奇,Unique Skeleton
BuffName_剧情良才美玉,Talented Beauty
BuffName_剧情越战越勇,Battle maniac,คลั่งการต่อสู้
BuffName_剧情速战速决,Blitz attack
BuffName_剧情得心应手,Upwind,อยู่เหนือลม
BuffName_剧情熟能生巧,Practice makes perfect
BuffName_剧情山林猎手,Wild hunter,พรานป่า
BuffName_暗器奇才,Throwing talent
BuffName_毒术奇才,Toxicology talent
BuffName_短兵奇才,Short weapon talent,พรสวรรค์อาวุธสั้น
BuffName_拳掌奇才,Fist talent,พรสวรรค์หมัดมวย
BuffName_耍刀奇才,Blade talent,พรสวรรค์ด้านดาบ
BuffName_医术奇才,Medical talent,พรสวรรค์การแพทย์
BuffName_音律奇才,Musical talent,พรสวรรค์ดนตรี
BuffName_御剑奇才,Sword talent,พรสวรรค์กระบี่
BuffName_长兵奇才,Long weapon talent
BuffName_特异毒体,Poisonous body,กายพิษ
BuffName_暗器精研,Throwing master
BuffName_动如雷霆,Mighty as the Thunder,รวดเร็วดุจอัสนี
BuffName_雪上加霜,Poison expert
BuffName_妙手仁心,Medical expert
BuffName_身先士卒,Front guard
BuffName_身轻如燕,Light body,ตัวเบา
BuffName_目无全牛,Beast killer
BuffName_免疫中毒,Poison Immunity,ต้านทานพิษ
BuffName_免疫封穴,Seal Immunity
BuffName_免疫流血,Bleed Immunity,ต้านทานเลือดไหล
BuffName_免疫致盲,Blind Immunity,ต้านสถานะตาบอด
BuffName_免疫内伤,Internal Injury Immunity,ต้านทานบาดเจ็บภายใน
BuffName_触类旁通,Analyzing,นักวิเคราะห์
BuffName_大器晚成,Slow starter
BuffName_庄周梦蝶,Dream training
BuffName_手到擒来,Easy as pie,ง่ายเหมือนปอกกล้วย
BuffName_心灵手巧,Dexterous hands
BuffName_火眼金睛,Eye for details
BuffName_谋生有道,Survival expert
BuffName_歪门邪道,Street boy
BuffName_道貌岸然,Pretentious
BuffName_惺惺相惜,Sympathetic
BuffName_异性相吸,Sex appeal
BuffName_乐不思蜀,Optimistic
BuffName_立竿见影,Regenerative body,กายวิเศษ
BuffName_身如鬼魅,Rapid response
BuffName_随手烟尘,Dust thrower
BuffName_精通兽语,Animal whisperer
BuffName_辣手摧花,Female hater
BuffName_嫉恶如仇,Evil slayer
BuffName_战意凛然,Burning spirit
BuffName_妙手空空,Sleight of hand
BuffName_明察秋毫,Discerning eyes
BuffName_玄门正宗,Authentic sect
BuffName_众志成城,United we stand
BuffName_飞星连珠,Throwing expert
BuffName_九流杂学,Streetwise
BuffName_逆流而上,Upstream walk
BuffName_兵器亲和,Weapon expert
BuffName_医术精研,Medical master,ปรมาจารย์แพทย์
BuffName_儒者之风,Disciples of Confucius
BuffName_菩提禅心,Buddha heart
BuffName_摸金校尉,Tomb raider
BuffName_日进斗金,Daily income,รายได้รายวัน
BuffName_毒蛊寄生,Poisonous parasite
BuffName_皮糙肉厚,Hardy,แข็งกร้าว
BuffName_心宽体胖,Happy fatty,อารมณ์ดี
BuffName_酩酊醉意,Bad drunker
BuffName_交游广阔,Resourceful
BuffName_动如脱兔,Like a rabbit,รวดเร็วดั่งกระต่าย
BuffName_护花使者,Feminism,ชื่นชมสตรี
BuffName_国公世子,Son of noble
BuffName_文武状元,Top achiever
BuffName_剧情暗器奇才,Throwing talent
BuffName_剧情毒术奇才,Toxicology talent
BuffName_剧情短兵奇才,Short weapon talent
BuffName_剧情拳掌奇才,Fist talent
BuffName_剧情耍刀奇才,Blade talent
BuffName_剧情医术奇才,Medical talent
BuffName_剧情音律奇才,Musical talent
BuffName_剧情御剑奇才,Sword talent
BuffName_剧情长兵奇才,Long weapon talent
BuffName_剧情特异毒体,Poisonous body
BuffName_剧情暗器精研,Throwing master
BuffName_剧情动如雷霆,Mighty as the Thunder,รวดเร็วดุจอัสนี
BuffName_剧情雪上加霜,Poison expert
BuffName_剧情妙手仁心,Medical expert
BuffName_剧情身先士卒,Front guard
BuffName_剧情身轻如燕,Light body
BuffName_剧情目无全牛,Beast killer
BuffName_剧情免疫中毒,Poison Immunity
BuffName_剧情免疫封穴,Seal Immunity
BuffName_剧情免疫流血,Bleed Immunity
BuffName_剧情免疫致盲,Blind Immunity,ต้านสถานะตาบอด
BuffName_剧情免疫内伤,Internal Injury Immunity,ต้านทานบาดเจ็บภายใน
BuffName_剧情触类旁通,Analyzing,นักวิเคราะห์
BuffName_剧情大器晚成,Slow starter
BuffName_剧情庄周梦蝶,Dream training
BuffName_剧情手到擒来,Easy as pie,ง่ายเหมือนปอกกล้วย
BuffName_剧情心灵手巧,Dexterous hands
BuffName_剧情火眼金睛,Eye for details
BuffName_剧情谋生有道,Survival expert
BuffName_剧情歪门邪道,Street boy
BuffName_剧情道貌岸然,Pretentious
BuffName_剧情惺惺相惜,Sympathetic
BuffName_剧情异性相吸,Sex appeal
BuffName_剧情乐不思蜀,Optimistic
BuffName_剧情立竿见影,Regenerative body,กายวิเศษ
BuffName_剧情身如鬼魅,Rapid response
BuffName_剧情随手烟尘,Dust thrower
BuffName_剧情精通兽语,Animal whisperer
BuffName_剧情辣手摧花,Female hater
BuffName_剧情嫉恶如仇,Evil slayer
BuffName_剧情战意凛然,Burning spirit
BuffName_剧情妙手空空,Sleight of hand
BuffName_剧情明察秋毫,Discerning eyes
BuffName_剧情玄门正宗,Authentic sect
BuffName_剧情众志成城,United we stand
BuffName_剧情飞星连珠,Throwing expert
BuffName_剧情九流杂学,Streetwise
BuffName_剧情逆流而上,Upstream walk
BuffName_剧情兵器亲和,Weapon expert
BuffName_剧情医术精研,Medical master,ปรมาจารย์แพทย์
BuffName_剧情儒者之风,Disciples of Confucius
BuffName_剧情菩提禅心,Buddha heart
BuffName_剧情摸金校尉,Tomb raider
BuffName_剧情日进斗金,Daily income,รายได้รายวัน
BuffName_剧情毒蛊寄生,Poisonous parasite
BuffName_剧情皮糙肉厚,Hardy,แข็งกร้าว
BuffName_剧情心宽体胖,Happy fatty,อารมณ์ดี
BuffName_剧情酩酊醉意,Bad drunker
BuffName_剧情交游广阔,Resourceful
BuffName_剧情国公世子,Son of noble
BuffName_剧情文武状元,Top achiever
BuffName_所向披靡,Undefeated,ไร้พ่าย
BuffName_天煞孤星,Lone wanderer,พเนจร​เดียวดาย
BuffName_财大气粗,Power of money,พลังเงินตรา
BuffName_死里逃生,Survival instinct,สัญชาตญาณการอยู่รอด
BuffName_兵器精通,Weapon master,ปรมาจาย์อาวุธ
BuffName_影子护卫,Secret guardian,ผู้อารักขาลับ
BuffName_神行无忌,Fast runner,นักวิ่งลมกรด
BuffName_草木皆兵,Perfect adaptation,การปรับตัวที่สมบูรณ์แบบ
BuffName_无师自通,Ravenous reader
BuffName_心有灵犀,Effective learner
BuffName_万里独行,Loner,ผู้สันโดษ
BuffName_自带毒疮,Poisonous skin,กายพิษ
BuffName_贪生怕死,Coward,ขลาดเขลา
BuffName_劫后余生,Quick recover,ฟื้นฟูรวดเร็ว
BuffName_体力充沛,Wholesome
BuffName_圣贤传人,The Saint,วิญญูชน
BuffName_邪魔外道,The Devil,มารร้าย
BuffName_天命弱鸡,Absolute weakling
BuffName_扮猪吃虎,Fake newcomer
BuffName_武林盟主,Jianghu Master,ผู้นำยุทธภพ
BuffName_武林霸主,Jianghu Conqueror,ผู้พิชิตยุทธภพ
BuffName_多情浪子,Romantic lover
BuffName_千王之王,God of gambling,เทพพระเจ้าการพนัน
BuffName_转世佛子,Reincarnated monk,พุทธองค์กลับชาติ
BuffName_碧血丹心,Path of loyalty
BuffName_知行合一,Unity of Knowledge and Action
BuffName_替天行道,Acting for the heavens
BuffName_替天行道1_光环,Acting for the heavens
BuffName_替天行道2_光环,Acting for the heavens
BuffName_匹夫有责,Every man has his duty
BuffName_匹夫有责_光环,Every man has his duty
BuffName_博采众长,Learn from everyone
BuffName_追命阎罗,Death master,ปรมาจารย์แห่งความตาย
BuffName_剧情所向披靡,Undefeated,ไร้พ่าย
BuffName_剧情天煞孤星,Lone wanderer,พเนจร​เดียวดาย
BuffName_剧情财大气粗,Power of money,พลังเงินตรา
BuffName_剧情死里逃生,Survival instinct,สัญชาตญาณการอยู่รอด
BuffName_剧情兵器精通,Weapon master,ปรมาจาย์อาวุธ
BuffName_剧情影子护卫,Secret guardian,ผู้อารักขาลับ
BuffName_剧情神行无忌,Fast runner,นักวิ่งลมกรด
BuffName_剧情草木皆兵,Perfect adaptation,การปรับตัวที่สมบูรณ์แบบ
BuffName_剧情无师自通,Ravenous reader
BuffName_剧情心有灵犀,Effective learner
BuffName_剧情万里独行,Loner,ผู้สันโดษ
BuffName_剧情自带毒疮,Poisonous skin,กายพิษ
BuffName_剧情贪生怕死,Coward,ขลาดเขลา
BuffName_剧情劫后余生,Quick recover,ฟื้นฟูรวดเร็ว
BuffName_剧情体力充沛,Wholesome
BuffName_剧情圣贤传人,The Saint,วิญญูชน
BuffName_剧情邪魔外道,The Devil,มารร้าย
BuffName_剧情天命弱鸡,Absolute weakling
BuffName_剧情扮猪吃虎,Fake newcomer
BuffName_剧情武林盟主,Jianghu Master,ผู้นำยุทธภพ
BuffName_剧情武林霸主,Jianghu Conqueror,ผู้พิชิตยุทธภพ
BuffName_剧情多情浪子,Romantic lover
BuffName_剧情千王之王,God of gambling,เทพพระเจ้าการพนัน
BuffName_剧情转世佛子,Reincarnated monk,พุทธองค์กลับชาติ
BuffName_剧情碧血丹心,Path of loyalty
BuffName_剧情知行合一,Unity of Knowledge and Action
BuffName_剧情替天行道,Acting for the heavens
BuffName_剧情匹夫有责,Every man has his duty
BuffName_剧情博采众长,Learn from everyone
BuffName_剧情追命阎罗,Death master,ปรมาจารย์แห่งความตาย
BuffName_伙伴特征身材矮小,Short stature
BuffName_伙伴特征妙手空空,Sleight of hand
BuffName_伙伴特征手脚灵活,Quick reflex,โต้ตอบว่องไว
BuffName_伙伴特征酩酊醉意,Bad drunker
BuffName_伙伴特征酩酊醉意没酒,Depression
BuffName_伙伴特征皮糙肉厚,Hardy,แข็งกร้าว
BuffName_伙伴特征暴躁失控,Berserker
BuffName_伙伴特征毒不走空,Fast poisoner
BuffName_伙伴特征掌中带毒,Poisonous touch
BuffName_伙伴特征衣袖藏毒,Hidden poison
BuffName_伙伴特征心宽体胖,Happy fatty,อารมณ์ดี
BuffName_伙伴特征行动迟缓,Sluggish
BuffName_伙伴特征先发制人,First strike
BuffName_伙伴特征动如脱兔,Like a rabbit,รวดเร็วดั่งกระต่าย
BuffName_伙伴特征狐假虎威,Dependant
BuffName_伙伴特征金针刺穴,Meridian piercer
BuffName_伙伴特征医有所成,Medical knowledge
BuffName_伙伴特征妙手仁心,Medical expert
BuffName_伙伴特征不解风情,Unaffectionate
BuffName_伙伴特征子凭父贵,Powerful father
BuffName_伙伴特征落井下石,Chance taker
BuffName_伙伴特征山林猎手,Wild hunter
BuffName_伙伴特征如履平地,Walker
BuffName_伙伴特征多年积习,Trash sweeper
BuffName_伙伴特征远离是非,Back away
BuffName_伙伴特征粗通拳脚,Fist user
BuffName_伙伴特征道听途说,Rumour listener
BuffName_伙伴特征医者自医,Self-healing doctor
BuffName_伙伴特征柔情似水,Gentle care
BuffName_伙伴特征柔情似水_光环,Gentle care
BuffName_伙伴特征冷若冰霜,Icy glare
BuffName_伙伴特征冷若冰霜_光环,Icy glare
BuffName_伙伴特征锱铢必较,Accountant
BuffName_伙伴特征金刚体魄,Diamond body
BuffName_伙伴特征偃武息戈,Blow over
BuffName_伙伴特征来去飘忽,Gone with the wind
BuffName_伙伴特征春燕回翔,Swallow flight
BuffName_伙伴特征疏而不漏,Precision
BuffName_伙伴特征刀剑无眼,Sharp edge
BuffName_伙伴特征暴虐不仁,Tyrannical
BuffName_伙伴特征勇猛无挡,Bravery
BuffName_伙伴特征锐不可当,Dangerous aura
BuffName_伙伴特征身形鬼魅,Ghostly mirage
BuffName_伙伴特征滚滚波涛,Force waves
BuffName_伙伴特征淬毒手段,Poisonous strike
BuffName_伙伴特征势不可挡,Unstoppable
BuffName_伙伴特征玄门正宗,Authentic sect
BuffName_伙伴特征毒蛊寄生,Poisonous parasite
BuffName_伙伴特征不求甚解,Skimming
BuffName_伙伴特征风头正盛,Eminent
BuffName_伙伴特征兄妹双簧,Brother and sister
BuffName_伙伴特征隐身匿形,Unseen visage
BuffName_伙伴特征前朝皇族,Royal blood
BuffName_伙伴特征免死金牌,Death-exemption Plate
BuffName_伙伴特征孟尝遗风,Good comrades
BuffName_伙伴特征孟尝遗风_队友,Good comrades
BuffName_伙伴特征醉生梦死,Drunken life
BuffName_伙伴特征醉生梦死没酒,Depression
BuffName_伙伴特征灵台清明,Clear mind
BuffName_伙伴特征逍遥二仙,Carefree duo
BuffName_伙伴特征金刚护体,Vajra protection
BuffName_伙伴特征佛法加持,Buddhism protection
BuffName_伙伴特征佛法加持_队友,Buddhism protection
BuffName_伙伴特征涅槃重生,Nirvana restoration
BuffName_伙伴特征离经叛道,Deviant
BuffName_伙伴特征荤腥不忌,Meat eater
BuffName_伙伴特征磨刀霍霍,Sharpened edge
BuffName_伙伴特征得心应手,Upwind,อยู่เหนือลม
BuffName_伙伴特征水寨寨主,Lord of Water Camp
BuffName_伙伴特征暗劲激发,Hidden force
BuffName_伙伴特征喜怒无常,Moody
BuffName_伙伴特征铁骨铮铮,Fearless
BuffName_伙伴特征目不视物,Eyesight lost
BuffName_伙伴特征听声辨位,Auditory sight
BuffName_伙伴特征连珠射艺,Continuous throwing
BuffName_伙伴特征暗器奇才,Throwing talent
BuffName_伙伴特征琴棋书画,Four arts
BuffName_伙伴特征步步为营,Careful step
BuffName_伙伴特征势大力沉,Muscular
BuffName_伙伴特征大器晚成,Slow starter
BuffName_伙伴特征识破剑招,Sword breaker
BuffName_伙伴特征武道奇才,Martial prodigy
BuffName_伙伴特征剑锋披靡,Lethal sword
BuffName_伙伴特征国色天香,Gorgeous beauty
BuffName_伙伴特征自惭形秽,Ashamed
BuffName_伙伴特征倾国倾城,Overwhelming beauty
BuffName_伙伴特征暗送无常,Secret strike
BuffName_伙伴特征深究其理,Careful examiner
BuffName_伙伴特征脏街之主,Street master
BuffName_伙伴特征如封似闭,Sealing wind
BuffName_伙伴特征死里逃生,Survival instinct,สัญชาตญาณการอยู่รอด
BuffName_伙伴特征日进斗金,Daily income,รายได้รายวัน
BuffName_伙伴特征雁过拔毛,Dirty hands
BuffName_伙伴特征斤斤计较,Economical
BuffName_伙伴特征野心勃勃,Ambitious
BuffName_伙伴特征众将听命,Give orders
BuffName_伙伴特征众将听命_队友,Give orders
BuffName_伙伴特征先斩后奏,Executioner
BuffName_伙伴特征余音绕梁,Reverberation
BuffName_伙伴特征余音绕梁1_光环,Reverberation
BuffName_伙伴特征余音绕梁2_光环,Reverberation
BuffName_伙伴特征大音稀声,Precious sound
BuffName_伙伴特征大音稀声1_光环,Precious sound
BuffName_伙伴特征大音稀声2_光环,Precious sound
BuffName_伙伴特征江湖郎中,Street doctor
BuffName_伙伴特征久病成医,Long illness
BuffName_伙伴特征目无全牛,Beast killer
BuffName_伙伴特征九黎圣女,Jiuli Saintess
BuffName_伙伴特征九黎圣女_队友,Jiuli Saintess
BuffName_伙伴特征心有灵犀,Effective learner
BuffName_伙伴特征武学奇才,Martial genius
BuffName_伙伴特征举一反三,Fast learner
BuffName_伙伴特征三花聚顶,Three flowers converge
BuffName_伙伴特征尽忠报国,Loyalty
BuffName_伙伴特征血战到底,To the death
BuffName_伙伴特征绝境逢生,Against all odds
BuffName_伙伴特征舍身修罗,Shura sacrifice
BuffName_伙伴特征杀生护生,Kill to protect
BuffName_伙伴特征内劲反震,Internal impact
BuffName_伙伴特征随心所欲,Arbitrarily
BuffName_伙伴特征一招生死,Life or death
BuffName_伙伴特征剑意勃发,Sword Qi Explosion
BuffName_伙伴特征战意凛凛,Raging spirit
BuffName_伙伴特征杀意盎然,Killing intent
BuffName_伙伴特征不留余力,All-out attack
BuffName_伙伴特征七星阵眼,Formation center
BuffName_伙伴特征七星阵眼_光环,Formation center
BuffName_伙伴特征我见犹怜,Lovely visage
BuffName_伙伴特征天生神力,Herculean strength
BuffName_伙伴特征金枝玉叶,Rich maiden
BuffName_伙伴特征叶家统帅,Ye faction leader
BuffName_伙伴特征叶家统帅_光环,Ye faction leader
BuffName_伙伴特征近身侍卫,Bodyguards
BuffName_伙伴特征铁血近卫,Blood guards
BuffName_伙伴特征气场威压,Suppressing aura
BuffName_伙伴特征气场威压_光环,Suppressing aura
BuffName_伙伴特征气劲贯体,Suppressing attack
BuffName_伙伴特征绵里藏针,Force reflection
BuffName_伙伴特征皇室贵胄,Royal noble
BuffName_伙伴特征侠肝义胆,Courageous
BuffName_伙伴特征御剑精通,Sword master
BuffName_伙伴特征熟能生巧,Practice makes perfect
BuffName_伙伴特征将门虎女,General's daughter
BuffName_伙伴特征身先士卒,Front guard
BuffName_伙伴特征发挥失常,Capriciousness
BuffName_伙伴特征皇权特许,Royal prestige
BuffName_伙伴特征身如鬼魅,Rapid response
BuffName_伙伴特征随手烟尘,Dust thrower
BuffName_伙伴特征长兵奇才,Long weapon talent
BuffName_伙伴特征邋遢道人,Ragged Taoist
BuffName_伙伴特征先天罡气,Origin Qi
BuffName_伙伴特征以静制动,Readied
BuffName_伙伴特征道玄宗主,Taoist sect leader
BuffName_伙伴特征九转回魂,Reversal technique
BuffName_伙伴特征真气护体,Reflective Qi
BuffName_伙伴特征立竿见影,Regenerative body,กายวิเศษ
BuffName_伙伴特征谦谦君子,Modest gentleman
BuffName_伙伴特征触类旁通,Analyzing,นักวิเคราะห์
BuffName_伙伴特征儒家传人,Confucius's successor
BuffName_伙伴特征袖里青蛇,Hidden snake
BuffName_伙伴特征恨天不公,World hater
BuffName_伙伴特征繁华楼主,Bustling House owner
BuffName_伙伴特征妙手空空2,Sleight of hand
BuffName_伙伴特征好事成双,Lucky
BuffName_伙伴特征踏雪无痕,Traceless step
BuffName_伙伴特征释家传人,Qi family's successor
BuffName_伙伴特征所向披靡2,Undefeated,ไร้พ่าย
BuffName_伙伴特征杀意腾腾,Killing aura
BuffName_伙伴特征战意昂扬,Spirited
BuffName_伙伴特征越战越勇,Battle maniac,คลั่งการต่อสู้
BuffName_伙伴特征速战速决,Blitz attack
BuffName_伙伴特征耍刀精通,Blade master
BuffName_伙伴特征医术精研,Medical master,ปรมาจารย์แพทย์
BuffName_伙伴特征医者自医2,Self-healing doctor
BuffName_伙伴特征嫉恶如仇,Evil slayer
BuffName_伙伴特征战意凛然,Burning spirit
BuffName_伙伴特征剑不空回,Bloodied sword
BuffName_伙伴特征法不容情,No mercy
BuffName_伙伴特征志得意满,Exhilarated
BuffName_伙伴特征飞燕凌波,Swallow ascend
BuffName_伙伴特征身轻如燕,Light body
BuffName_伙伴特征特异毒体,Poisonous body
BuffName_伙伴特征皇室贵胄2,Royal noble
BuffName_伙伴特征扬名立万,Storyteller
BuffName_伙伴特征去伪存真,Verification
BuffName_伙伴特征一目十行,Fast reader
BuffName_伙伴特征势如破竹,Unrelenting attack
BuffName_伙伴特征荒蛮狼性,Wild instinct
BuffName_伙伴特征燕军元帅,Yan Army commander
BuffName_伙伴特征燕军元帅_光环,Encouraged
BuffName_伙伴特征扇里藏针,Hidden needle
BuffName_伙伴特征聚沙成塔,Power of unity
BuffName_伙伴特征力破千钧,Heroic vigor
BuffName_伙伴特征一触即发,Nerve-racking
BuffName_伙伴特征天煞孤星,Lone wanderer,พเนจร​เดียวดาย
BuffName_伙伴特征催心夺魄,Soul attacker
BuffName_伙伴特征罡气护体,Protective Qi
BuffName_伙伴特征追命阎罗,Death master,ปรมาจารย์แห่งความตาย
BuffName_伙伴特征移花接木,Spirit transfer
BuffName_伙伴特征宠妹狂人,Sister complex
BuffName_伙伴特征生无可恋,Suicidal rage
BuffName_伙伴特征生无可恋_附属2,Suicidal rage
BuffName_伙伴特征书狂画痴,Art lover
BuffName_伙伴特征银钩铁画,Pen of steel
BuffName_伙伴特征画痴书狂,Book lover
BuffName_伙伴特征妙笔生花,Colorful pen
BuffName_伙伴特征天生媚骨,Born charming
BuffName_伙伴特征天生媚骨_附属1,Charm
BuffName_伙伴特征怜香惜玉,Cherish beauty
BuffName_伙伴特征裙下之臣,Servant under the skirt
BuffName_伙伴特征裙下之臣_光环附属1,Servant under the skirt
BuffName_伙伴特征不让须眉,Brave and fearless
BuffName_伙伴特征厚积薄发,Accumulate slowly and strike swiftly
BuffName_伙伴特征血战不退,Fight to the death
BuffName_伙伴特征品萧弄笛,Play the flute,เป่าขลุ่ย
BuffName_伙伴特征风情万种,Full of charm
BuffName_伙伴特征风情万种_光环附属1,Full of charm
BuffName_伙伴特征生财有道,Know how to make money
BuffName_伙伴特征燕国郡主,Lady of Yan Kingdom
BuffName_伙伴特征杀伐果决,Decisive in killing
BuffName_伙伴特征杀敌立威,Gain reputation through killing enemies
BuffName_伙伴特征窈窕淑女,Gentle and graceful lady
BuffName_伙伴特征窈窕淑女_光环附属1,Gentle and graceful lady
BuffName_伙伴特征花中魁首,Leader among flowers
BuffName_伙伴特征断情绝欲,Cut off all desires
BuffName_伙伴特征天籁妙音,Heavenly music
BuffName_伙伴特征此恨绵绵,Endless regret
BuffName_伙伴特征绝代风华,Peerless Elegance
BuffName_伙伴特征听声辩位,Identify location by sound
BuffName_伙伴特征以小博大,Achieve big with small
BuffName_伙伴特征输赢天定,"Win or lose, it's fate"
BuffName_伙伴特征九黎之主,Lord of Jiuli
BuffName_伙伴特征养蛊为患,Raising gu causes trouble
BuffName_伙伴特征精研毒术,Deep study of Toxicology
BuffName_伙伴特征酒酣尽兴,Enjoying the wine
BuffName_伙伴特征战意盎然,Spirit is abundant
BuffName_伙伴特征古之恶来,Evil comes from the ancient times
BuffName_伙伴特征目盲耳聪,"Blind in sight, sharp in hearing"
BuffName_劫后余生_附属,Recover 10% HP and MP
BuffName_撕咬,Bite
BuffName_重击,Power attack
BuffName_冲撞,Slam
BuffName_出血,Bleeding
BuffName_啄眼,Eye pecking
BuffName_蝎毒,Scorpion poison
BuffName_蛇毒,Snake poison
BuffName_血气方刚,Robust
BuffName_聪颖过人,Genius
BuffName_好事成双,Lucky
BuffName_先发制人,First strike
BuffName_以力破巧,Brutal
BuffName_人畜无害,Harmless
BuffName_恶名赫赫,Infamy
BuffName_义薄云天,Virtuous
BuffName_见利忘义1,Selfish
BuffName_见利忘义2,Selfish
BuffName_彬彬有礼,Courteous
BuffName_无礼之徒,Uncivilized
BuffName_童叟无欺,Sincere
BuffName_以次充好,Knockoff
BuffName_万夫之勇1,Valiant
BuffName_万夫之勇2,Valiant
BuffName_狐假虎威,Dependant
BuffName_七窍玲珑,Clever
BuffName_傻人傻福,Nitwit
BuffName_唯命是从丹解药,Mind control pill - Antidote
BuffName_唯命是从丹之毒,Obedience to the Command of the Pill
BuffName_腰伤,Back injured
BuffName_复仇,Revenge
BuffName_内息紊乱,Internal Energy Confuse
BuffName_七日断肠蛊,Seven-day Heartbreak Gu
BuffName_皮开肉绽,Flesh wounds
BuffName_伤筋痛骨,Muscle injuries
BuffName_骨断筋折,Broken bones
BuffName_黥面,Tattooed Face
BuffName_腹泻,Diarrhea
BuffName_七日断肠蛊解药,Fatigued body
BuffName_拘魂丹毒,Soul taker poison pill
BuffName_兵器受潮,Broken weapons
BuffName_兵粮寸断,Supply route cut off
BuffName_陈年旧疾,Old illness
BuffName_绳索缚身,Tightly roped
BuffName_身负重伤,Heavy injured
BuffName_肩上抗人,Tightly roped
BuffName_毒发身亡,Dead by poison
BuffName_经行腹痛,Stomachache
BuffName_经行腹痛_附属,Abdominal Pain
BuffName_丁家血蛊,Ding family blood worm
BuffName_丁家姑爷,Ding family's son in law
BuffName_废除内力,Energy lost
BuffName_神采奕奕,Good spirits
BuffName_皇室驸马,Royal son in law
BuffName_蚀心穿肠,Heart eater
BuffName_养兵千日1,Trained army
BuffName_养兵千日2,Trained army
BuffName_养兵千日3,Trained army
BuffName_养兵千日4,Trained army
BuffName_养兵千日5,Trained army
BuffName_军纪涣散,Morale lost
BuffName_琳琅棋局1,Coming late
BuffName_琳琅棋局2,Selfless
BuffName_琳琅棋局3,Flanked
BuffName_逆血行气,Blood reversal
BuffName_内息错乱,Internal disorder
BuffName_旧病缠身,Old illness
BuffName_他人期许,Bearing hopes
BuffName_护佑少主,Protect little master
BuffName_私家小厨,Little housewife
