﻿UI_InstantKill,Instant death,เสียชีวิตทันที
UIWorldMapManager_Map_1002_Viewport_Content_Test_Taohuayuan_boxName_txtName,Peach Blossom Village,หมู่บ้านดอกเหมย
UIWorldMapManager_Map_1002_Viewport_Content_Test_Taihuashandao_boxName_txtName,Mount Taihua,เขาไท่ฮัว
UIWorldMapManager_Map_1002_Viewport_Content_Test_Wumingshandong_boxName_txtName,Nameless cave,ถ้ำไร้นาม
UIWorldMapManager_Map_1002_Viewport_Content_Test_Wanshoushanzhuang_boxName_txtName,Ten Thousand Beast Manor,หมู่ตึกหมื่นอสูร
UIWorldMapManager_Map_1002_Viewport_Content_Test_Yemofang_boxName_txtName,Night Demon House,ตำหนักปีศาจราตรี
UIWorldMapManager_Map_1002_Viewport_Content_Test_Yancheng_boxName_txtName,Flame City,เมืองอัคคี
UIWorldMapManager_Map_1002_Viewport_Content_Test_Yanyuntiejun_boxName_txtName,Yan Yun Iron Army,กองทัพเหล็กเยี่ยนหยุน
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2010_boxName_txtName,Taoist Sect,สำนักเต๋า
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2020_boxName_txtName,Shifa Temple,อารามฉีฟา
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2031_boxName_txtName,Confucius Temple,วัดขงจื้อ
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2041_boxName_txtName,Nine Factions Sect,นิกายเก้าฝ่าย
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2050_boxName_txtName,Jiujiang Fotress,ค่ายน้ำจิ่วเจียง
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2060_boxName_txtName,Tiger Escort,สำนักคุ้มภัยพยัคฆา
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2070_boxName_txtName,Melody House,ตำหนักบทเพลง
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2080_boxName_txtName,Ye Family Battalion,กองพันตระกูลเย่
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2111_boxName_txtName,Black Robe Group,กลุ่มเสื้อคลุมดำ
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2121_boxName_txtName,Swallow Nest,รังนกนางแอ่น
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2131_boxName_txtName,Crime Investigation Bureau,สำนักสืบสวน
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2141_boxName_txtName,Chaiwang Pavilion,จวนอ๋องไฉ
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2151_boxName_txtName,Linlang Temple,วัดหลินหลาง
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_2161_boxName_txtName,Tomb Raider Guild,พรรคโจรปล้นสุสาน
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_1600_boxName_txtName,Cross Hill,หุบเขาทางแยก
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_1100_boxName_txtName,Nameless village,หมู่บ้านไร้นาม
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_1200_boxName_txtName,Blue Wind Camp,ค่ายวายุคราม
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_1301_boxName_txtName,Ruined shrine,ศาลเจ้าร้าง
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_1400_boxName_txtName,Lost Forest,ป่าสาปสูญ
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_1500_boxName_txtName,Wild Wolf Valley,หุบเขาหมาป่า
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_5007_boxName_txtName,Ferry,ท่าเรือ
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_10010_boxName_txtName,Emperor Wu Mausoleum,สุสานฮ่องเต้อู่ตี้
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_10020_boxName_txtName,Ancient Ruin of Shoufang,ซากปรักหักพังโบราณสถานโชวฟาง
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_20100_boxName_txtName,Chuxiang City,เมืองฉู่เซียง
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_20200_boxName_txtName,Daliang City,เมืองต้าเหลียง
UIWorldMapManager_Map_1002_Viewport_Content_CityIcon_20300_boxName_txtName,Lin'an City,เมืองหลินอัน
UIWorldMapManager_Map_1002_Viewport_Content_StandTag_btnEnter_Text(TMP),Enter,เข้า
UIWorldMapManager_Map_1003_Viewport_Content_Test_Baiyuecun_boxName_txtName,Baiyue Village,หมู่บ้านไป๋เยว่
UIWorldMapManager_Map_1003_Viewport_Content_Test_Bencaomen_boxName_txtName,Plant Sect,สำนักพฤกษา
UIWorldMapManager_Map_1003_Viewport_Content_Test_Cuipingshan_boxName_txtName,Cuiping Mountain,เขาซุยผิง
UIWorldMapManager_Map_1003_Viewport_Content_Test_Dapubu_boxName_txtName,Big Waterfall,น้ำตกยักษ์
UIWorldMapManager_Map_1003_Viewport_Content_Test_Daxueshan_boxName_txtName,Mount Daxue,เขาต้าซือ
UIWorldMapManager_Map_1003_Viewport_Content_Test_Feilongbang_boxName_txtName,Flying Dragon Gang,พรรคมังกรบิน
UIWorldMapManager_Map_1003_Viewport_Content_Test_Huaximen_boxName_txtName,Flower Creek Village,หมู่บ้านธารบุปผา
UIWorldMapManager_Map_1003_Viewport_Content_Test_Hailongbang_boxName_txtName,Sea Dragon Gang,พรรคมังกรสมุทร
UIWorldMapManager_Map_1003_Viewport_Content_Test_Jiulibulou_boxName_txtName,Jiuli Tribe,เผ่าจิ่วลี่
UIWorldMapManager_Map_1003_Viewport_Content_Test_Lingxiaodong_boxName_txtName,Lingxiao Cave,ถ้ำหลิงเซียว
UIWorldMapManager_Map_1003_Viewport_Content_Test_Langyajiange_boxName_txtName,Langya Sword Pavilion,ศาลากระบี่หลางหยา
UIWorldMapManager_Map_1003_Viewport_Content_Test_Longmenkezhan_boxName_txtName,Dragon Gate Inn,โรงเตี๊ยมประตูมังกร
UIWorldMapManager_Map_1003_Viewport_Content_Test_Moyadong_boxName_txtName,Moyue Cave,ถ้ำโม่หยา
UIWorldMapManager_Map_1003_Viewport_Content_Test_Mawangdong_boxName_txtName,Horse King Cave,ถ้ำราชาม้า
UIWorldMapManager_Map_1003_Viewport_Content_Test_Qiucibuluo_boxName_txtName,Kucha Tribe,เผ่ากุยจือ
UIWorldMapManager_Map_1003_Viewport_Content_Test_Qionghuagu_boxName_txtName,Epiphyllum Valley,หุบเขาโบตั๋น
UIWorldMapManager_Map_1003_Viewport_Content_Test_Shenghuozong_boxName_txtName,Holy Fire Sect,นิกายไฟศักดิ์สิทธิ์
UIWorldMapManager_Map_1003_Viewport_Content_Test_Tianjiugong_boxName_txtName,Tianjiu Palace,วังเทียนจิ่ว
UIWorldMapManager_Map_1003_Viewport_Content_Test_Taohuayuan_boxName_txtName,Peach Blossom Village,หมู่บ้านดอกเหมย
UIWorldMapManager_Map_1003_Viewport_Content_Test_Taihuashandao_boxName_txtName,Mount Taihua,เขาไท่ฮัว
UIWorldMapManager_Map_1003_Viewport_Content_Test_Wumingshandong_boxName_txtName,Nameless cave,ถ้ำไร้นาม
UIWorldMapManager_Map_1003_Viewport_Content_Test_Wanshoushanzhuang_boxName_txtName,Ten Thousand Beast Manor,หมู่ตึกหมื่นอสูร
UIWorldMapManager_Map_1003_Viewport_Content_Test_Yemofang_boxName_txtName,Night Demon House,ตำหนักปีศาจราตรี
UIWorldMapManager_Map_1003_Viewport_Content_Test_Yancheng_boxName_txtName,Flame City,เมืองอัคคี
UIWorldMapManager_Map_1003_Viewport_Content_Test_Yanyuntiejun_boxName_txtName,Yan Yun Iron Army,กองทัพเหล็กเยี่ยนหยุน
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2010_boxName_txtName,Taoist Sect,สำนักเต๋า
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2020_boxName_txtName,Shifa Temple,อารามฉีฟา
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2031_boxName_txtName,Confucius Temple,วัดขงจื้อ
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2041_boxName_txtName,Nine Factions Sect,นิกายเก้าฝ่าย
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2050_boxName_txtName,Jiujiang Fotress,ค่ายน้ำจิ่วเจียง
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2060_boxName_txtName,Tiger Escort,สำนักคุ้มภัยพยัคฆา
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2070_boxName_txtName,Melody House,ตำหนักบทเพลง
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2080_boxName_txtName,Ye Family Battalion,กองพันตระกูลเย่
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2111_boxName_txtName,Black Robe Group,กลุ่มเสื้อคลุมดำ
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2121_boxName_txtName,Swallow Nest,รังนกนางแอ่น
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2131_boxName_txtName,Crime Investigation Bureau,สำนักสืบสวน
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2141_boxName_txtName,Chaiwang Pavilion,จวนอ๋องไฉ
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2151_boxName_txtName,Linlang Temple,วัดหลินหลาง
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_2161_boxName_txtName,Tomb Raider Guild,พรรคโจรปล้นสุสาน
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_1600_boxName_txtName,Cross Hill,หุบเขาทางแยก
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_1100_boxName_txtName,Nameless village,หมู่บ้านไร้นาม
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_1200_boxName_txtName,Blue Wind Camp,ค่ายวายุคราม
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_1301_boxName_txtName,Ruined shrine,ศาลเจ้าร้าง
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_1400_boxName_txtName,Lost Forest,ป่าสาปสูญ
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_1500_boxName_txtName,Wild Wolf Valley,หุบเขาหมาป่า
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_5007_boxName_txtName,Ferry,ท่าเรือ
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_10010_boxName_txtName,Emperor Wu Mausoleum,สุสานฮ่องเต้อู่ตี้
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_10020_boxName_txtName,Ancient Ruin of Shoufang,ซากปรักหักพังโบราณสถานโชวฟาง
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_20100_boxName_txtName,Chuxiang City,เมืองฉู่เซียง
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_20200_boxName_txtName,Daliang City,เมืองต้าเหลียง
UIWorldMapManager_Map_1003_Viewport_Content_CityIcon_20300_boxName_txtName,Lin'an City,เมืองหลินอัน
UIWorldMapManager_Map_1003_Viewport_Content_StandTag_btnEnter_Text(TMP),Enter,เข้า
UICommonInfo_title_title_txt,Black Iron Heavy Sword,กระบี่เหล็กดำ
UIDemo1_Window_Button_Text(TMP),Button,ปุ่ม
UIDemo1_Window_Button(1)_Text(TMP),Button,ปุ่ม
UIDemo1_Window_Close_Text(TMP),Close,ปิด
UIDemo2_Button_Text(TMP),Button,ปุ่ม
UIDemo2_Button(1)_Text(TMP),Button,ปุ่ม
UIDemo2_Button(2)_Text(TMP),Button,ปุ่ม
UIDemo2_Button(3)_Text(TMP),Button,ปุ่ม
UIDemo2_Panel_Main_Image_Label_Name,Name,ชื่อ
UIDemo2_Panel_Main_Button_Label,Button,ปุ่ม
UIDemo2_Panel_Main_Button(1)_Label,Button,ปุ่ม
UIDemo2_Panel_Main_Close_Label,Close,ปิด
UIDetailed_RoleInfo_lv,59,59
UIDetailed_RoleInfo_lv_Text(TMP),Level,ระดับ
UIDetailed_RoleInfo_Radar_txt,Constitution,พลังกาย
UIDetailed_RoleInfo_Radar_Text1,Intelligence,สติปัญญา
UIDetailed_RoleInfo_Radar_Text2,Luck,โชค
UIDetailed_RoleInfo_Radar_Text3,Dexterity,คล่องแคล่ว
UIDetailed_RoleInfo_Radar_Text4,Strength,พละกำลัง
UIDetailed_RoleInfo_Radar_BaseProperties_txt_tizhi,50,50
UIDetailed_RoleInfo_Radar_BaseProperties_txt_wuxing,70,70
UIDetailed_RoleInfo_Radar_BaseProperties_txt_fuyuan,10,10
UIDetailed_RoleInfo_Radar_BaseProperties_txt_minjie,20,20
UIDetailed_RoleInfo_Radar_BaseProperties_txt_bili,30,30
UIDetailed_RoleInfo_Features_Features1_jiesuo_Text(TMP),Kitty,ลูกแมว
UIDetailed_RoleInfo_Features_Features1(1)_jiesuo_Text(TMP),Kitty,ลูกแมว
UIDetailed_RoleInfo_Features_Features1(2)_jiesuo_Text(TMP),Kitty,ลูกแมว
UIDetailed_RoleInfo_RoleInfor_tag_Text(10),HP,HP
UIDetailed_RoleInfo_RoleInfor_tag_Text,Attack power,พลังโจมตี
UIDetailed_RoleInfo_RoleInfor_tag_Text(1),Qinggong,วิชาตัวเบา
UIDetailed_RoleInfo_RoleInfor_tag_Text(2),Fist,หมัด
UIDetailed_RoleInfo_RoleInfor_tag_Text(3),Blade,ดาบ
UIDetailed_RoleInfo_RoleInfor_tag_Text(4),Short,อาวุธสั้น
UIDetailed_RoleInfo_RoleInfor_tag_Text(5),Accuracy,ความแม่นยำ
UIDetailed_RoleInfo_RoleInfor_tag_Text(6),Critical,คริติคอล
UIDetailed_RoleInfo_RoleInfor_tag_Text(7),Medical,วิชาแพทย์
UIDetailed_RoleInfo_RoleInfor_tag_Text(8),Throwing,อาวุธลับ
UIDetailed_RoleInfo_RoleInfor_tag_Text(9),Knowledge,ความเข้าใจวรยุทธ
UIDetailed_RoleInfo_RoleInfor_tag1_Text(10),MP,MP
UIDetailed_RoleInfo_RoleInfor_tag1_Text,Defense power,พลังป้องกัน
UIDetailed_RoleInfo_RoleInfor_tag1_Text(1),Initial Action Point,ปราณเคลื่อนที่เริ่มต้น
UIDetailed_RoleInfo_RoleInfor_tag1_Text(2),Sword,กระบี่
UIDetailed_RoleInfo_RoleInfor_tag1_Text(3),Long,อาวุธยาว
UIDetailed_RoleInfo_RoleInfor_tag1_Text(4),Musical,ดนตรี
UIDetailed_RoleInfo_RoleInfor_tag1_Text(5),Evasion,หลบหลีก
UIDetailed_RoleInfo_RoleInfor_tag1_Text(6),Parry,ปัดป้อง
UIDetailed_RoleInfo_RoleInfor_tag1_Text(7),Toxicology,ศาสตร์พิษ
UIDetailed_RoleInfo_RoleInfor_tag1_Text(8),Spar,ประลอง
UIDetailed_RoleInfo_RoleInfor_tag1_Text(9),Combat,สู้จริง
UIDetailed_RoleInfo_RoleInfor_RoleInfo_shengming,1000/2000,1000/2000
UIDetailed_RoleInfo_RoleInfor_RoleInfo_gongji,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo_qinggong,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo_quanzhang,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo_shuadao,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo_duanbing,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo_mingzhong,10%,10%
UIDetailed_RoleInfo_RoleInfor_RoleInfo_baoji,10%,10%
UIDetailed_RoleInfo_RoleInfor_RoleInfo_yishu,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo_anqi,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo_wuxuechangshi,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_nieli,1000/2000,1000/2000
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_fangyu,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_jiqi,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_yujian,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_changbing,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_yinlv,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_shanbi,10%,10%
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_gedang,10%,10%
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_dushu,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_hubo,100,100
UIDetailed_RoleInfo_RoleInfor_RoleInfo1_shizhannengli,100,100
UIDetailed_RoleInfo_RoleInfor_Additional_gongji,+20,+20
UIDetailed_RoleInfo_RoleInfor_Additional_qinggong,+20,+20
UIDetailed_RoleInfo_RoleInfor_Additional1_fangyu,+20,+20
UIDetailed_RoleInfo_RoleInfor_Additional1_jiqi,+20,+20
UIDetailed_RoleInfo_RoleInfor_neili_yang_Text(TMP),Yang,หยาง
UIDetailed_RoleInfo_RoleInfor_neili_yin_Text(TMP),Yin,หยิน
UIDetailed_RoleInfo_KongFu_Skill_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(1)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(1)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(1)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(1)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(2)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(2)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(2)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(2)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(3)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(3)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(3)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(3)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(4)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(4)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(4)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(4)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(5)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(5)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(5)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(5)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(6)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(6)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(6)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(6)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(7)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(7)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(7)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(7)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(8)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(8)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(8)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(8)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIDetailed_RoleInfo_KongFu_Skill(9)_KongFu_zhuneigong_Text,In the Sect,ในสำนัก
UIDetailed_RoleInfo_KongFu_Skill(9)_KongFu_Level,Six,หก
UIDetailed_RoleInfo_KongFu_Skill(9)_KongFu_waigong_Text(TMP),External,ภายนอก
UIDetailed_RoleInfo_KongFu_Skill(9)_KongFu_neigong_Text(TMP),Internal,ภายใน
UIGiveaway_Image3_Text(TMP),Gift,ของขวัญ
UIGiveaway_Image5_Text,Tip: Give the other party their favorite items to improve your relations,ทิป: ให้สิ่งของที่ผู้อื่นชอบเพื่อเพิ่มความสัมพันธ์
UIGiveaway_Button_Text(TMP),Confirm,ยืนยัน
UINewRole_KongFu_Title,Initial Martial Arts,วรยุทธเริ่มต้น
UINewRole_KongFu_KongFu_Name,Kitty Eighteen Palms,ฝ่ามือสิบแปดแมวเหมียว
UINewRole_KongFu_KongFu_Text(TMP),Martial arts description martial arts description martial arts description martial arts description martial arts description martial arts description martial arts description martial arts description martial arts description martial arts description martial arts description.,คำอธิบายวรยุทธ
UINewRole_Item_Title,Initial Carry
UINewRole_Item_Item_Item_num,22,22
UINewRole_Item_Item_Item(1)_num,22,22
UINewRole_Item_Item_Item(2)_num,22,22
UINewRole_RoleInfo_RoleInfor_tag_Text,HP,HP
UINewRole_RoleInfo_RoleInfor_tag_Text(1),MP,MP
UINewRole_RoleInfo_RoleInfor_tag_Text(2),Attack,โจมตี
UINewRole_RoleInfo_RoleInfor_tag_Text(3),Defense,ป้องกัน
UINewRole_RoleInfo_RoleInfor_tag_Text(4),Qinggong,วิชาตัวเบา
UINewRole_RoleInfo_RoleInfor_tag_Text(5),Accuracy,ความแม่นยำ
UINewRole_RoleInfo_RoleInfor_tag1_Text,Evasion,หลบหลีก
UINewRole_RoleInfo_RoleInfor_tag1_Text(1),Critical,คริติคอล
UINewRole_RoleInfo_RoleInfor_tag1_Text(2),Parry,ปัดป้อง
UINewRole_RoleInfo_RoleInfor_tag1_Text(3),Medical,วิชาแพทย์
UINewRole_RoleInfo_RoleInfor_tag1_Text(4),Toxicology,ศาสตร์พิษ
UINewRole_RoleInfo_RoleInfor_tag1_Text(5),Throwing,อาวุธลับ
UINewRole_RoleInfo_RoleInfor_tag2_Text,Fist,หมัด
UINewRole_RoleInfo_RoleInfor_tag2_Text(1),Sword,กระบี่
UINewRole_RoleInfo_RoleInfor_tag2_Text(2),Blade,ดาบ
UINewRole_RoleInfo_RoleInfor_tag2_Text(3),Long,อาวุธยาว
UINewRole_RoleInfo_RoleInfor_tag2_Text(4),Short,อาวุธสั้น
UINewRole_RoleInfo_RoleInfor_tag2_Text(5),Musical,ดนตรี
UINewRole_RoleInfo_RoleInfor_tag3_Text,Benevolence,ศีลธรรม
UINewRole_RoleInfo_RoleInfor_tag3_Text(1),Righteous,คุณธรรม
UINewRole_RoleInfo_RoleInfor_tag3_Text(2),Propriety,มารยาท
UINewRole_RoleInfo_RoleInfor_tag3_Text(3),Wisdom,ภูมิปัญญา
UINewRole_RoleInfo_RoleInfor_tag3_Text(4),Trustworthy,ซื่อสัตย์
UINewRole_RoleInfo_RoleInfor_tag3_Text(5),Brave,กล้าหาญ
UINewRole_RoleInfo_RoleInfor_RoleInfo_shengming,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo_neili,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo_gongji,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo_fangyu,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo_qinggong,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo_mingzhong,100%,100%
UINewRole_RoleInfo_RoleInfor_RoleInfo(1)_shanbi,100%,100%
UINewRole_RoleInfo_RoleInfor_RoleInfo(1)_baoji,100%,100%
UINewRole_RoleInfo_RoleInfor_RoleInfo(1)_gedang,100%,100%
UINewRole_RoleInfo_RoleInfor_RoleInfo(1)_yishu,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(1)_dushu,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(1)_anqi,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(2)_quanzhang,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(2)_yujian,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(2)_shuadao,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(2)_changbing,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(2)_duanbing,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(2)_yinlv,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(3)_rende,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(3)_yiqi,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(3)_lijie,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(3)_zhihui,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(3)_xinyong,100,100
UINewRole_RoleInfo_RoleInfor_RoleInfo(3)_yongmeng,100,100
UINewRole_RoleInfo_RoleInfor_Additional_shengming,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional_neili,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional_gongji,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional_fangyu,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional_qinggong,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional_mingzhong,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(1)_shanbi,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(1)_baoji,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(1)_gedang,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(1)_yishu,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(1)_dushu,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(1)_anqi,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(2)_quanzhang,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(2)_yujian,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(2)_shuadao,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(2)_changbing,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(2)_duanbing,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(2)_yinlv,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(3)_rende,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(3)_yiqi,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(3)_lijie,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(3)_zhihui,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(3)_xinyong,+20,+20
UINewRole_RoleInfo_RoleInfor_Additional(3)_yongmeng,+20,+20
UINewRole_RoleInfo_RoleInfor_Reduced_shengming,-20,-20
UINewRole_RoleInfo_RoleInfor_Reduced_neili,-20,-20
UINewRole_RoleInfo_RoleInfor_Reduced_gongji,-20,-20
UINewRole_RoleInfo_RoleInfor_Reduced_fangyu,-20,-20
UINewRole_RoleInfo_RoleInfor_Reduced_qinggong,-20,-20
UINewRole_RoleInfo_RoleInfor_Reduced_mingzhong,-20,-20
UINewRole_RoleInfo_RoleInfor_Reduced(1)_shanbi,-20,-20
