﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา บ้านสามารถเป็นได้ทุกที่ที่เจ้ารู้สึกสบายใจ
Main10099-2_7_1,"When your Relations with others reach a certain level, you may be asked to help complete some tasks. It's best to help others, as you may receive unexpected rewards.",เมื่อความสัมพันธ์ของเจ้ากับผู้อื่นถึงระดับหนึ่ง เจ้าอาจถูกขอให้ช่วยทำบางอย่างที่ได้รับมอบหมายให้สำเร็จ ในเวลานี้ เป็นการดีที่สุดที่จะช่วยเหลือผู้อื่น เพราะเจ้าอาจได้รับผลตอบแทนที่ไม่คาดคิด
Main10099-2_7_2,"Try to help the physician complete his tasks, as it is his long-held wishes.",ลองไปช่วยหมอทำภารกิจของเขาให้สำเร็จ นี่เป็นความปรารถนาของเขามาหลายปีแล้ว
Main10099-2_8_1,"You have fulfilled his wish, now you can <color=#c44b0e>Invite</color> him to join your team.",เจ้าได้เติมเต็มความปรารถนาของเขาแล้ว ตอนนี้เจ้าสามารถ <color=#c44b0e>เชิญชวน</color> เขาเข้าร่วมกลุ่มของเจ้าได้
Main10099-2_9_1,"Well, now that you have a physician who is good at healing in your party, the threats you might face in the future will be significantly reduced.",ตอนนี้ เจ้ามีหมอที่เก่งในการรักษาในงานกลุ่มของเจ้าแล้ว ต่อไปภัยคุกคามที่เจ้าต้องเผชิญในอนาคตจะลดลงอย่างมาก
R10099-1_1_1,"Disciple, the <color=#c44b0e>Lost Forest</color> is a dwelling place for vipers and wild boars. It's an excellent place for you to enhance your cultivation in the early stages. Eliminating these beasts will earn you EXP, and as you accumulate it up to a certain level, you will level up."
R10099-1_1_2,"First, level up to <color=#c44b0e>Level 10</color>, and then I will formally teach you the unique martial arts of our sect."
R10099-1_1_3,"Keep this medicine with you, don't hesitate to use it.",รับยานี่ไป อย่าลังเลที่จะใช้มันล่ะ
R10099-1_2_1,"Well done, well done. My disciple is indeed extraordinary. It's time for you to start practicing our sect's martial arts now.",ดี ดีมาก ศิษย์ของข้าไม่ธรรมดาจริงๆ ถึงเวลาที่เจ้าจะได้เรียนรูวรยุทธของสำนักเราแล้ว
R10099-1_2_2,"I'm responsible for developing our sect's martial arts. They were developed through combining the strengths of various martial arts into a cohesive whole. It is believed that one technique can encompass all techniques. Although our sect's martial arts primarily focus on fist and palm techniques, they also confer substantial benefits to other forms of martial arts!",วรยุทธของสำนักเราถูกคิดค้นโดยท่านปรมาจารย์ โดยหลอมรวมจากวรยุทธหลายแขนง กล่าวกันว่าหากเข้าใจเพียงหนึ่ง ก็จะสามารถเข้าใจได้ทั้งหมด แม้ว่าวรยุทธของเราจะเป็นวิชาหมัดและฝ่ามือ แต่ก็มีประโยชน์อย่างมากเมื่อสู้กับวรยุทธอื่นๆ!
R10099-1_2_3,"I will now officially impart our sect's martial arts to you. You must practice diligently and not slack off. I hope that in the future, you can bring glory to our sect, so that my efforts can be passed down to the next generations.",ตอนนี้อาจารย์จะสอนวรยุทธให้ เจ้าต้องหมั่นฝึกฝนอย่าได้เกียจคร้าน ข้าหวังว่าเจ้าจะนำพาสำนักเราให้เจริญรุ่งเรืองในอนาคต เพื่อสืบทอดปณิธานของอาจารย์ต่อไป
R10099-1_2_4,"Don't forget to <color=#c44b0e>locate this manual in the [Item] section, select 'Learn,' and then you can level up in actual combat.</color> Once you've practiced this palm technique to the sixth level, you can learn the internal strengths of our sect.",จงอย่าลืม<color=#c44b0e>ค้นหาตำรานี้จาก【สิ่งของ】เลือกตำราเรียน แล้วเจ้าจะสามารถเพิ่มระดับได้จากการสู้จริง</color> เมื่อเจ้าฝึกฝนวิชาฝ่ามือนี้ถึงระดับหนึ่งแล้ว เจ้าจะสามารถเรียนวิชากำลังภายในของสำนักต่อไปได้
R10099-1_3_1,"Good lad, you are now qualified to practice our sect's internal skill, and I shall teach you now.",เจ้าลูกศิษย์ทำได้ดีมาก ตอนนี้เจ้ามีคุณสมบัติที่จะเรียนวรยุทธ์ภายในของสำนักแล้ว และข้าจะสอนเจ้าเดียวนี้
R10099-1_3_2,"Learning martial arts is like rowing upstream; if you don't advance, you'll regress. You can't slack off for a day.\nGo and practice the 'Sigh Method' I just taught you to the sixth level.","การเรียนรู้วิทยายุทธก็เหมือนกับการแล่นทวนกระแสน้ำ ถ้าไม่ก้าวหน้าก็จะถอย เจ้าไม่สามารถหย่อนยานได้สักวัน\nไปฝึกฝน ""เคล็ดปรับลมปราณ"" ที่ข้าเพิ่งสอนเจ้าให้ถึงระดับที่หก"
R10099-1_4_1,"Now, to test if you have truly made progress, I will assign you an important task!"
R10099-1_4_2,"Suddenly, speaking so seriously, I have a bad feeling about this."
R10099-1_4_3,There is a red-haired wild boar in the depths of the Lost Forest. Go and kill or subdue it to prove your current strength.
R10099-1_4_4,"Before attempting this task, it's best to <color=#c44b0e>level up to Level 20</color>, so you won't be at too much of a disadvantage and have no chance of defending yourself."
R10099-1_5_1,"Master, I have completed the ""important task"" you assigned me. What reward will I get this time?"
R10099-1_5_2,……,……
R10099-1_5_3,Master? Master! Master~~~~,อาจารย์? อาจารย์! อาจารย์~~~~
R10099-1_5_4,"Oh, you're so noisy. You've done such a trivial thing and you're disturbing my dream. You're really unfilial!"
R10099-1_5_5,(Master is really grumpy when he wakes up.)
R10099-1_5_6,"Take this manual and practice diligently. If you can master it, the lowlifes in the martial arts world won't pose much of a threat to you."
R10099-1_5_7,"Since you have completed the task arranged by the master, there is naturally a special benefit..."
R10099-2_1_1,"The <color=#c44b0e>Bandit Chief Stronghold</color> in the Nameless Region is a menace to the community and ravages the neighbors. As the founding elder disciple of this sect, you have the responsibility to eliminate these demons that harm the world!",<color=#c44b0e>ค่ายหัวหน้าโจร</color> ในพื้นที่ไร้นามกำลังสร้างปัญหาและสร้างความเดือดร้อนแก่เพื่อนมนุษย์ ในฐานะศิษย์อาวุโสผู้ก่อตั้งสำนัก เจ้ามีหน้าที่รับผิดชอบในการกำจัดมารร้ายที่ก่อความวุ่นวายในยุทธภพเหล่านี้!
R10099-2_2_1,"Master, you seem to have forgotten something. \nDidn't I already wipe out this Bandit Chief Stronghold?","อาจารย์ ดูเหมือนท่านจะลืมอะไรบางอย่าง\nค่ายหัวหน้าโจรนี้ถูกข้ากวาดล้างไปแล้วไม่ใช่หรือ?"
R10099-2_2_2,"Ah, well done! I'm very pleased to see that you have such a righteous heart, my disciple.",โอ้ ทำได้ดีมาก ลูกศิษย์ของข้า ข้าดีใจมากที่เห็นว่าเจ้ามีใจคุณธรรมเช่นนี้ 
R10099-2_3_1,"Master, you've only had me kill a few snakes and wild boars before, but now you want me to wipe out a bandit camp. Are you trying to end our sect?",ท่านอาจารย์ ท่านเคยให้ข้าฆ่างูและหมูป่าเพียงไม่กี่ตัวเท่านั้น แต่ตอนนี้ ท่านต้องการให้ข้ากวาดล้างค่ายโจร ท่านกำลังพยายามที่จะยุบสำนักของเรางั้นหรือ?
R10099-2_3_2,"Is the Frost Fist taught by the master just for show? If you can't even destroy a nameless bandit den, you'd better go home and stay away from the Martial World.",หมัดเหมันต์ที่อาจารย์สอนไม่ใช่เพียงเพื่อการแสดง? หากเจ้าไม่สามารถทำลายค่ายหัวหน้าโจรได้ เจ้าควรกลับบ้านและอยู่ให้ห่างจากยุทธภพจะดีกว่า
R10099-2_4_1,"With the Bandit Camp easily wiped out, Master, if you know of any other bandit hideouts or thief dens, please let me know, and I'll eliminate them one by one, for the sake of the people!",เมื่อค่ายหัวหน้าโจรถูกกวาดล้างอย่างง่ายดาย ท่านอาจารย์ถ้าท่านรู้จักค่ายโจรหรือรังโจรอื่นๆ โปรดบอกข้า แล้วข้าจะกำจัดพวกมันทีละคน เพื่อกำจัดภัยคุกคามเหล่านี้ให้ผู้คน!
R10099-2_4_2,"Just because you've wiped out a group of insignificant bandits and you're already getting ahead of yourself? Not to mention that there are always bigger fish to fry, not all bandits and thieves in this world are bad people. Many of them have been forced by the authorities to take up such a path."
R10099-2_4_3,"If you can't distinguish between good and evil and resort to brute force, aren't you ultimately aiding the wicked?"
R10099-2_4_4,They don't have labels on their faces indicating who's good or evil. How should I distinguish between them?
R10099-2_4_5,"Reading ten thousand books is not as good as traveling ten thousand miles, and it's the same for us martial artists. We shouldn't just focus on martial arts but also need to travel to various places, experience the hardships of the common people, Then you will gradually understand how to distinguish things for yourself."
R10099-2_4_6,Where are we going to travel now?
R10099-2_4_7,"First, let's go to the Nameless village and find the Coachman. Have him take us to <color=#c44b0e>Chuxiang City</color> for a visit. It's been a while since master lived comfortably."
R10099-2_4_8,"Aren't we supposed to walk ten thousand miles? Although riding a horse carriage is convenient, won't we miss a lot of the scenery along the way?"
R10099-2_4_9,"Master has worked hard for half of his life and doesn't want to waste time in such a meaningless place. If you don't mind the effort, you can capture a pet to use as a means of transportation. It might even be faster than a carriage."
R10099-2_5_1,"I forgot to tell you, it will take some time for the Coachman to arrive. In the meantime, you can go to the Lost Forest to practice your skills, so you'll be prepared for the future."
R10099-2_6_1,I have finally returned to Chuxiang City. I wonder if my old friends are still the same as before...
R10099-3_1_1,"Disciple, since we're in Chuxiang City, let's go visit an old friend with your master.",เจ้าลูกศิษย์ พวกเรามา ถึงเมือง  Chuxiang City แล้ว พวกเราไปหาเพื่อนเก่าของอาจารย์เจ้ากันเถอะ
R10099-3_1_2,"Who is this old friend of yours, Master?",ท่านใดคือ เพื่อนเก่าของท่านอาจารย์?
R10099-3_1_3,"Back then, he was just an insignificant figure, but now he's the pacifying envoy that is responsible for guarding the city.",เมื่อก่อนเจ้านั้นเป็นเพียงบุคคลไม่สำคัญ แต่ตอนนี้เขาคือทูตความสงบสุขที่รับผิดชอบในการปกป้องเมือง
R10099-3_1_4,Where can we meet this pacifying envoy?,เราจะพบทูตความสงบสุขท่านนี้ได้ที่ไหน?
R10099-3_1_5,"You'll probably find him in the General's mansion in Chuxiang City, but with your current status, it might not be easy to meet him. Try to adapt to the situation accordingly.",เจ้าอาจพบเขาในทําจวนแม่ทัพในฉู่เซียง แต่ด้วยสถานะปัจจุบันของเจ้า อาจไม่ใช่เรื่องง่ายที่จะพบเขา พยายามปรับตัวให้เข้ากับสถานการณ์ให้เหมาะสม
R10099-3_2_1,"General Lü, long time no see."
R10099-3_2_2,Who are you... Identify yourself!
R10099-3_2_3,"""Obtaining shelters of ten thousand spacious houses, protecting all the poor smiling scholars under the sky!"""
R10099-3_2_4,"The sorrow and joy finger method, you are, you are Yan Gexing!!!\nIt's been many years, and you've changed so much."
R10099-3_2_5,"(So Master's real name is Yan Gexing, why didn't he tell me before?)"
R10099-3_2_6,What brings you here?
R10099-3_2_7,"Back then, it was you who invited my second senior brother to a feast in Chuxiang City, and after that, he went missing. Meanwhile, you became the pacifying envoy of Chuxiang City. This is the reason I've come to see you today."
R10099-3_2_8,"Yan Gexing, times have changed. Who in the martial arts world doesn't know that you've lost all your martial skills, and your meridians are ruined? In the past, you and your brothers were invincible, but now, hehe..."
R10099-3_2_9,"If I capture you, I can exchange favors with those martial arts sects."
R10099-3_2_10,"My disciple, they want to capture me to exchange favors, what do you think?"
R10099-3_2_11,Whoever dares to disrespect you will have to pass me first!
R10099-3_3_1,"I didn't expect the pretty boy to be quite powerful.\nSir, how about letting us to play with him?"
R10099-3_3_2,"Beauty, this kid has received Yan Gexing's true teachings, you have to be careful, don't hurt yourself."
R10099-3_3_3,"Thank you for your concern, my lord."
R10099-3_4_1,"I'm incompetent; please punish me, my lord."
R10099-3_4_2,"The beauty is innocent. Quickly, go and rest aside."
R10099-3_4_3,"Yan Gexing, I never expected a wastrel like you would take in such a prominent disciple. It seems like you intend to accomplish some tasks through this disciple of yours, don't you?"
R10099-3_4_4,"Indeed, this young one has unlimited potential. The things I couldn't achieve in the past, he might be able to accomplish."
R10099-3_4_5,"The incident back then was orchestrated by Cai Yuanchang of the Confucius Temple, all the three religious sect was invovled as well. Your senior brother was ambushed by them, defeated. However, I've no idea about his whereabouts."
R10099-3_4_6,Aren't you planning to capture me and hand me over in exchange for their favor?
R10099-3_4_7,"Now that I am living a life of luxury, why should I get involved in your messy affairs, don't bother me in the future."
R10099-3_4_8,"Disciple, don't disturb General Lü's indulgent life in his paradise. Let's go."
R10099-4_1_1,I don't know where the three religions have taken my senior brother. The matter of Nine Factions Sect still needs my senior brother to solve.
R10099-4_1_2,"At this point, it is necessary to go to Confucius Temple as soon as possible."
R10099-4_2_1,"Master isn't able to come forward, so I need you to inquire Cai Yuanchang whether he knows about the whereabouts of Chu Kuangsheng."
R10099-4_3_1,Where did this junior come from? How dare you trespass into the Confucius Temple!
R10099-4_4_1,What brings Young Master {PlayerSurName} to the Confucius Temple?
R10099-4_5_1,I'm here to seek for information about the whereabouts of Chu Kuangsheng.
R10099-4_5_2,Where did you hear this person's name?
R10099-4_5_3,"No comment, I was commissioned to inquire about this person's whereabouts."
R10099-4_5_4,"It's no harm to tell you, he is being held in <color=#c44b0e>Lin'an City Yunlin Temple</color>, and I will take you to see him soon!"
R10099-4_5_5,"{yell} Come here, catch the remnants of the devil!"
R10099-4_5_6,I have a feeling you wouldn't readily share his whereabouts.
R10099-4_5_7,"Because I'm about to take you to meet him, there's no need to hide anything."
R10099-4_5_8,Not good!
R10099-4_6_1,"Your kung fu seems a bit familiar, could it be..."
R10099-4_6_2,"Step back, my disciple!"
R10099-4_6_3,"Yan Gexing, you're still alive!"
R10099-4_6_4,I didn't expect you to recognize me in the end.
R10099-4_6_5,"You sent this little one to inquire about that person's whereabouts, didn't you? Even if I let you know, what's the use? You think you are capable of saving that person? Besides, do you think I will let you leave?"
R10099-4_6_6,How dare a puny dojokeeper from Confucius Temple show off in front of me.
R10099-4_6_7,Let's go!
R10099-4_6_8,It turns out to be bluffing...
R10099-4_6_9,"As expected, there's not much left of your skills..."
R10099-4_6_10,"Master, what should we do next?"
R10099-4_6_11,"Since our whereabouts have been exposed, we can't be foolish enough to go to the Yunlin Temple.\nYou need to quickly enhance your cultivation, master on the other hand needs to eliminate the injury on his body."
R10099-4_6_12,How do you plan to rid yourself of the injury?
R10099-4_6_13,"Over these years, master has traveled extensively and has already learned a way to eliminate his injury. However, due to a lack of reliable escorts, he has not been able to make the trip."
R10099-4_6_14,"Your strength and character are passable. Now that I have accepted you as a disciple, whether the master can achieve Nirvana restoration this time depends on you."
R10099-4_6_15,"Before this long journey, let's go back to <color=#c44b0e>Nameless village</color> first. The master once left some things there, and it's time to take them out."
R10099-5_1_1,"Disciple, do you find this stone tower a bit strange?"
R10099-5_1_2,Don't see anything unusual?
R10099-5_1_3,Ya—Hei—
R10099-5_1_4,"Master Yan, this old monk has been waiting for a long time!"
R10099-5_1_5,"Hmph, I thought there would be a grand welcome for me. It seems that my reputation is about to be forgotten. Well, let me play with you today!"
R10099-5_1_6,"Master, you are still recovering from your injuries, can you handle it?"
R10099-5_1_7,"Master spends his days eating, sleeping, and enhancing his cultivation, which is not comparable to ordinary people. Today, let me show you the master's methods!"
R10099-5_2_1,"Master Yan's skills are indeed extraordinary, but there are more than just us monks blocking your way..."
R10099-5_3_1,"Master has a premonition that this trip will not be smooth sailing, and you may encounter some difficult enemies. Your cultivation level must reach at least <color=#c44b0e>level 70</color> to barely cope."
R10099-5_4_1,"Disciple, this step is unpredictable, your current cultivation level is shallow, do you really want to enter the temple?"
R10099-5_4_2,"(With my current strength, the master thinks that my cultivation is shallow. Do I need to reach level 70 or 80 to be sure? Should I insist on entering Yunlin Temple now?)",(ด้วยความแข็งแกร่งของข้าในปัจจุบัน อาจารย์คิดว่าการฝึกฝนของข้ายังตื้นเขินเกินไป ข้าจำเป็นต้องเร่งฝึกไปถึงระดับ 70 หรือ 80 เพื่อให้แน่ใจหรือไม่? ข้าควรยืนกรานที่จะเข้าสู่วัดป่าเมฆาตอนนี้หรือไม่?)
R10099-5_5_1,"Since you are so determined, be extra careful."
R10099-6_1_1,"Master, master, how are you?"
R10099-6_1_2,"Disciple, you finally came out... Did you save the person?"
R10099-6_1_3,"I, as a disciple, was incompetent, and uncle master has succumbed to his internal demons, and perished due to an explosion of his own body."
R10099-6_1_4,"{yell} What, what did you say!!!"
R10099-6_1_5,"Second senior brother, why do you have to compete with me for everything, even death, why do you have to die before me...","ศิษย์พี่รอง, ทำไมท่านต้องแข่งขันกับข้าเพื่อทุกสิ่ง แม้แต่ความตาย ทำไมท่านต้องตายก่อนข้า..."
R10099-6_1_6,"Disciple, your master can't hold on any longer, I'm going to follow your uncle master. When I took you as a disciple, I planned to make you surpass your uncle master, to show him that the disciple I trained is a thousand times stronger than his disciple..."
R10099-6_1_7,"Your master and your uncle master were as close as brothers, but because of the past, there was a rift between us. We had different philosophies, and eventually went separate ways, leading to today's disaster..."
R10099-6_1_8,"Cough, cough, cough...",แค่ก แค่ก แค่ก...
R10099-6_1_9,"Before master leaves, I'll leave you a memento..."
R10099-6_1_10,"One should worry before everyone's concern, and enjoy after everyone's rejoice—"
R10099-6_1_11,"Thinking of the vastness of the world, I can't help but shed tears in solitude—"
R10099-6_1_12,"With this move in your arsenal, there are few in the martial arts world who can match you. Your master can now leave with a peace of mind..."
R10099-6_1_13,<size=200%>Master—</size>
R10099-6_2_1,"If I hadn't rushed out in time, your old life would have been lost!"
R10099-6_2_2,"Hehe, my senior brother can't bear to see me die, our bet is not over yet."
R10099-6_2_3,"{PlayerName}, come and kowtow to your uncle master."
R10099-6_2_4,"Junior {PlayerName}, pay his respects to uncle master."
R10099-6_2_5,"The boy you took in has extraordinary roots and a temperament that suits my taste. If one day you kick him out of the sect because you don't like him, I'll take him in."
R10099-6_2_6,"Dream on, I'm counting on him to take care of me in my old age."
R10099-6_2_7,"Senior brother, you have been imprisoned for these years and know nothing about the outside world. Do you know what the Nine Factions Sect has become now?"
R10099-6_2_8,"Junior brother, are you still thinking about the position of the Nine Factions Sect? Are you still holding onto some resentment from back then?"
R10099-6_2_9,"Pah, who cares about this crappy position. I just can't bear to see it ruined!"
R10099-6_2_10,It seems you still have prejudice against my disciple!
R10099-6_2_11,"Senior Brother! Over the years, you've been imprisoned and cut off from the world. The Nine Factions Sect is now causing chaos and wreaking havoc everywhere. If we don't take action, it will surely lead to a great disaster!"
R10099-6_2_12,Sigh... still this bad temper.
R10099-6_2_13,Master and Uncle Master seem to have a deep connection with the Nine Factions Sect. What exactly is this Nine Factions Sect?
R10099-6_2_14,"The Nine Factions Sect was originally created by your master and uncle master to shelter the poor and unfortunate children across the world. But eventually, the Nine Factions Sect became a gathering place for all kinds of people, causing trouble everywhere, stirring up trouble for fear of the world not being chaotic."
R10099-6_2_15,"Master and your Senior Uncle had a disagreement over the future direction of the Nine Factions Sect, and were forced to run away. Since then, the Nine Factions Sect has become increasingly reckless, even disregarding the three schools, and has finally been suppressed by their joint forces."
R10099-6_2_16,"Your uncle master was obsessed with martial arts, disinterested in managing the Nine Factions Sect, and left everything in the care of his disciple. Unfortunately, his disciple, although expanding the Nine Factions Sect, also led it into an irreparable situation."
R10099-6_2_17,"Now, master can no longer allow Nine Factions Sect to run rampant, it's time to clean up Nine Factions Sect and return it to its original essence."
R10099-6_2_18,The disciple will do everything possible to help Master achieve his wish!
R10099-6_2_19,"Our master-disciple relationship is a matter of fate, we won't have many opportunities to be together in the future, I want to leave you with some memories, so as not to leave regrets later..."
R10099-6_2_20,"Disciple, watch carefully~"
R10099-6_2_21,Burp~~~
R10099-6_2_22,"With this move in your arsenal, there are few in the martial arts world who can match you."
R10099-6_3_1,"The location of the Nine Factions Sect's main hall has been moved multiple times, and even Master doesn't know its whereabouts now. Your team is full now, so Master will return to the Nameless Village first. If you find out the location of the Nine Factions Sect's main hall, don't forget to inform Master."
R10099-6_4_1,"The location of the Nine Factions Sect's main hall has been moved multiple times, and even Master doesn't know its whereabouts now. We are weak and can only hope that those well-informed forces can help us find clues."
R10099-7_1_1,May I ask if the clan leader knows where the Eternal Spring is located?
R10099-7_2_1,"Given our relations, I don't want to reveal such important information to you."
R10099-7_3_1,"Hehe, the Eternal Spring is at the end of the Melody House. Cross a pavilion, and you'll see it. If you see something you shouldn't, it's up to your luck."
R10099-7_4_1,May I ask if Lady Caidie knows where the Eternal Spring is?
R10099-7_4_2,"Caidie seems to have overheard brother mentioning the ""Eternal Spring"", but Caidie doesn't know where it is."
R10099-7_5_1,May I ask if the abbess knows where the Eternal Spring is?
R10099-7_5_2,Huh? You dare to inquire about the Eternal Spring. Are you trying to die?
R10099-7_6_1,May I ask if Lady Qingcheng knows where the Eternal Spring is?
R10099-7_7_1,"I'm sorry, Young Master {PlayerSurName}, this matter cannot be disclosed."
R10099-7_8_1,"The Eternal Spring is at the end of Melody House, just beyond a pavilion. However, I advise Young Master {PlayerSurName} not to go there casually."
R10099-7_9_1,"Hmm, the Eternal Spring... I seem to have heard the abbess mentioned about it, but I can't quite remember."
R10099-8_1_1,"The place ahead must be the legendary Eternal Spring. It seems inconvenient now, let's wait a while before we come."
R10099-8_2_1,This must be the legendary Eternal Spring...
R10099-8_2_2,"Disciple, go and keep a lookout for your master. Your master needs to heal his injuries."
R10099-8_2_3,"The highest good is like water. Water benefits all things and does not compete with them. It dwells in places that all dislike. Therefore it is close to the Way. Living in a good place; Heart remains calm yet unfathemable; Treating others with kindness and sincerity; Words are trustworthy; Governance with simple dealing; Matters are solved by utilizing talents; Movement is timely. Only by not competing, there is no mistakes nor blames..."
R10099-8_2_4,Ah--Ha!!!
R10099-8_3_1,"Congratulations, Master, congratulations, Master!"
R10099-8_8_1,"To go to the southwest, you need to pass through the <color=#c44b0e>West Border Patrol</color> of the Nameless area. The guards there are somewhat unreasonable, it's best not to have a conflict with them."
Dead10099-1_1_1,"The master is no longer there, and now I am the only one left in the sect. Should I continue to persist for this sect?",อาจารย์เองก็ไม่อยู่แล้ว และข้าก็เป็นคนเดียวที่เหลืออยู่ของสำนัก ข้าควรคงสำนักไว้ต่อไปไหม
Dead10099-1_2_1,"What does it matter to me to glorify the sect? The ambition I promised to the old man was just nonsense when I was hot-headed, who would remember it?"
Dead10099-1_2_2,"How could I possibly hang myself on a tree, there are more and stronger martial arts waiting for me in other sects!"
Dead10099-1_3_1,"Even if I am the only one left in the sect, for the sake of my master's legacy and the ambitions I promised to fulfill to my master, I will persevere!"
Guide10099-1_1_1,"I heard that someone at <color=#c44b0e>Hotel Prosperous</color> is discussing the <color=#c44b0e>Chu Xiang Hero Meeting</color>, you go and find out what this Hero Meeting is all about.",ได้ยินคนที่ <color=#c44b0e>โรงเตี๊ยมรุ่งโรจน์</color> คุยกันเรื่อง <color=#c44b0e>ชุมนุมวีรบุรุษแห่งฉู่เซียง</color> เจ้าลองไปดูว่าชุมนุมที่ว่านั้นคืออะไร
Guide10099-1_2_1,"Disciple, this is a great opportunity for you to show your face, you must win the championship of this Hero Meeting!",ศิษย์ข้า นี่เป็นโอกาสอันดีที่เจ้าจะได้สร้างชื่อ เจ้าต้องเป็นผู้ชนะของงานชุมนุมนี้ให้ได้!
Guide10099-1_3_1,"A good teacher produces a good student, my first disciple is not comparable to these mediocre people.",อาจารย์ที่ดีย่อมสั่งสอนศิษย์ที่ดี ศิษย์คนแรกของข้าย่อมเหนือกว่าคนทั่วไปพวกนั้น
Guide10099-1_3_2,"Today you won the championship in the field, taking this opportunity, the master will teach you a second-class finger method to add icing on the cake!",วันนี้เจ้าได้เป็นผู้ชนะ เป็นโอกาสอันดี อาจารย์จะสอนวิชาดรรชนีขั้นที่สองแก่เจ้าเพื่อให้นี่เป็นโอกาสที่ดียิ่งไปอีก!
Guide10099-2_1_1,"Disciple, do you know what is the most famous place in this Lin'an City?",ศิษย์ข้า เจ้ารู้หรือไม่ว่าสถานที่ใดมีชื่อที่สุดในเมืองหลินอัน
Guide10099-2_1_2,"How would I know, it's my first time here.",ข้าจะรู้ได้ยังไง นี่เป็นครั้งแรกที่ข้ามาที่นี่นะ
Guide10099-2_1_3,"It's the most famous place for entertainment and pleasure in Wu Yue - Maiden House.\nWhen I was young, tsk tsk..."
Guide10099-2_1_4,So Master is a regular customer there.,ที่แท้อาจารย์ก็เป็นลูกค้าประจำนี่เอง
Guide10099-2_1_5,"Nonsense, I was handsome when I was young, I didn't need to go to such places!",ไร้สาระ สมัยหนุ่มๆข้าน่ะรูปงามขนาดไหน ไม่จำเป็นต้องไปสถานที่เช่นนี้หรอก!
Guide10099-2_1_6,"When one reaches old age, there's a bit of regret upon realizing they haven't seen enough of the world. Just right, I'll take you to broaden your horizons."
Guide10099-2_2_1,"Hey, so this is what it's like inside Maiden House...","เฮ้, ภายในตำหนักพิสุทธิ์เป็นแบบนี้นี่เอง..."
Guide10099-2_2_2,"Alas, they are all vulgar, only the owner of this place is barely acceptable.",เฮอะ พวกนี้ล้วนเป็นของชั้นต่ำ มีเพียงเจ้าของนั่นที่พอใช้ได้
Guide10099-2_2_3,"With such high standards, it's not easy to serve you here.",ท่านมาตรฐานสูงเช่นนี้ คงยากนักจะทำให้ท่านพอใจ
Guide10099-2_3_1,"Hey, so this is what it's like inside Maiden House...","เฮ้, ภายในตำหนักพิสุทธิ์เป็นแบบนี้นี่เอง..."
Guide10099-2_3_2,"Alas, they are all vulgar, this Maiden House is not as good as its name.",อนิจจาพวกเขาล้วนหยาบคาย ตำหนักพิสุทธิ์แห่งนี้ไม่ได้ดีเท่ากับชื่อของมัน
Guide10099-2_3_3,"With such high standards, it's not easy to serve you here.",ท่านมาตรฐานสูงเช่นนี้ คงยากนักจะทำให้ท่านพอใจ
Guide10099-3_1_1,"Good disciple, you forced Tong Daofu of the Imperial City Division to fight you with Blood reversal, it shows that you are not only talented, but also diligent and hardworking, I am really proud of you!"
Guide10099-4_1_1,"The Wind and Cloud Arena in Daliang City is quite famous in the martial arts world, with numerous experts at the fourth tier of the Heaven, Earth, Mysterious and Yellow level. I wonder where my first disciple ranks in the hierarchy.",ลานประลองวายุเมฆาแห่งเมืองต้าเหลียงนี้ได้รับการยกย่องเป็นอย่างยิ่งในยุทธภพ ด้วยลำดับชั้นการประลองถึง 4 ระดับ สวรรค์ โลก ลึกลับ เหลือง ไม่รู้ว่าศิษย์คนแรกของข้าจะไปได้ถึงขั้นไหนกันนะ
Guide10099-4_1_2,"Why not go and fight a match to find out, as the first disciple, if you can't become the first of the Heavenly Tier, it's a bit unreasonable."
Guide10099-4_2_1,"Master, your disciple is now the top of the Heavenly Tier, aren't you going to praise me?"
Guide10099-4_2_2,"What's there to be proud of for defeating a bunch of small fry? \nIf you have the guts, go and win the Peak of Jianghu to make your master proud.","มีอะไรน่าภาคภูมิใจในการเอาชนะแมลงตัวเล็กๆ ได้บ้าง?\nหากเจ้ามีความกล้า จงไปและพิชิตหนึ่งในใต้หล้าเพื่อทำให้อาจารย์ของเจ้าภูมิใจ"
Guide10099-5_1_1,"Master, all the Coins on the disciple can't add up to 1 Guan, if this continues, I will have to sleep on the streets.",อาจารย์ ศิษย์มีเงินติดตัวไม่ถึง 1 ตำลึงด้วยซ้ำ ถ้ายังเป็นอย่างงี้ต่อไป ข้าคงต้องนอนกลางถนนแล้ว
Guide10099-5_1_2,"You're really usless. When I was young, I wasn't as miserable as you."
Guide10099-5_1_3,"Well, I'll take you to make some money, let's get through the current difficulties first. There is a <color=#c44b0e>Relic House</color> in the city, you go there and ""borrow"" a few Guan for emergency."
Guide10099-5_2_1,"Disciple, I must earnestly warn you that making money here is not the right path. You must know when to stop and not get addicted. Don't forget your ambition."
